"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0042651","GO:0042651","thylakoid membrane","36/371","94/2476",1.3326963978466e-08,1.9590637048345e-06,1.75354789190342e-06,"sll0519/sll0520/sll0522/sll0629/sll0689/sll1316/sll1322/sll1323/sll1324/sll1325/sll1326/sll1867/slr0228/slr0261/slr0782/slr0906/slr0927/slr1279/slr1280/slr1281/slr1291/slr1311/slr1329/slr1513/slr1623/slr1655/slr1796/sml0001/smr0006/smr0007/smr0008/smr0009/ssl2615/ssl3335/ssr1386/ssr3451",36
"GO:0008137","GO:0008137","NADH dehydrogenase (ubiquinone) activity","13/371","19/2476",1.82214491238196e-07,1.33927651060074e-05,1.19877954761971e-05,"sll0027/sll0520/sll0521/sll0522/sll1732/sll1733/slr0261/slr1279/slr1280/slr1281/slr1291/slr2007/slr2009",13
"GO:0019684","GO:0019684","photosynthesis, light reaction","13/371","20/2476",4.50542884434467e-07,2.20766013372889e-05,1.97606528260731e-05,"sll0519/sll0520/sll0522/sll1867/slr0261/slr0906/slr0927/slr1279/slr1280/slr1281/slr1311/smr0006/ssr3451",13
"GO:0048038","GO:0048038","quinone binding","13/371","21/2476",1.02358133000224e-06,3.76166138775822e-05,3.36704384869156e-05,"sll0519/sll0520/sll0521/sll0522/sll1732/slr0261/slr1279/slr1280/slr1281/slr1623/slr2007/slr2009/ssr1386",13
"GO:0042773","GO:0042773","ATP synthesis coupled electron transport","10/371","14/2476",2.90884856209528e-06,8.55201477256012e-05,7.65486463709284e-05,"sll0027/sll0522/sll1732/sll1733/slr1136/slr1291/slr2006/slr2007/slr2008/slr2009",10
"GO:0015986","GO:0015986","ATP synthesis coupled proton transport","8/371","10/2476",8.10053087383013e-06,0.000198463006408838,0.000177643220917327,"sll1321/sll1322/sll1323/sll1324/sll1325/sll1326/slr1329/ssl2615",8
"GO:0055114","GO:0055114","oxidation-reduction process","51/371","202/2476",4.60713947469205e-05,0.00096749928968533,0.0008660036606564,"sll0019/sll0027/sll0209/sll0262/sll0373/sll0519/sll0520/sll0521/sll0522/sll0541/sll1091/sll1214/sll1308/sll1316/sll1342/sll1363/sll1732/sll1733/sll1908/slr0116/slr0261/slr0338/slr0348/slr0591/slr0710/slr0749/slr0782/slr0940/slr1096/slr1137/slr1164/slr1279/slr1280/slr1281/slr1291/slr1350/slr1517/slr1623/slr1743/slr1747/slr1843/slr1934/slr1986/slr1992/slr2006/slr2007/slr2008/slr2009/slr2067/ssr0330/ssr1386",51
"GO:0015979","GO:0015979","photosynthesis","27/371","85/2476",5.5269619364916e-05,0.00101557925583033,0.000909039792186118,"sll0427/sll0629/sll1028/sll1029/sll1030/sll1031/sll1032/sll1091/sll1214/sll1316/sll1398/sll1471/sll1796/slr0169/slr0611/slr1030/slr1655/slr1986/slr2067/sml0001/smr0006/smr0007/smr0008/smr0009/ssr0330/ssr3383/ssr3451",27
"GO:0031470","GO:0031470",NA,"8/371","12/2476",6.74085413592625e-05,0.00110100617553462,0.000985504990632492,"sll1028/sll1029/sll1030/sll1031/sll1032/slr0009/slr0012/slr0169",8
"GO:0015977","GO:0015977","carbon fixation","8/371","13/2476",0.000152494590023091,0.00224167047333944,0.00200650776346172,"sll1028/sll1029/sll1030/sll1031/sll1032/slr0009/slr0012/slr0169",8
"GO:0022625","GO:0022625","cytosolic large ribosomal subunit","10/371","20/2476",0.000229277849171455,0.00306398580256398,0.00274255800444324,"sll0767/sll1244/sll1740/sll1743/sll1745/sll1803/sll1805/sll1811/ssl1426/ssl3436",10
"GO:0030096","GO:0030096","plasma membrane-derived thylakoid photosystem II","11/371","27/2476",0.000999331176812203,0.0122418069159495,0.0109575786931163,"sll0427/sll1398/sll1867/slr0906/slr0927/slr1311/sml0001/smr0006/smr0007/smr0008/ssr3451",11
"GO:0009060","GO:0009060","aerobic respiration","6/371","10/2476",0.00133876804615704,0.0151383771373142,0.0135502838679862,"sll0027/sll0519/sll1733/slr1137/slr1280/slr1291",6
