"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalues","rank","leading_edge","core_enrichment"
"GO:0055114","GO:0055114","oxidation-reduction process",202,-0.427613499116323,-2.11258931462842,6.0734825931943e-10,6.04088554743394e-08,4.44395288477497e-08,1403,"tags=42%, list=25%, signal=33%","sll1224/sll0329/slr1795/sll1825/slr0876/slr1289/slr0506/slr1808/slr0886/sll0428/sll1341/sll1484/slr0545/sll0867/slr0844/slr1643/sll1394/sll1468/sll1185/slr0229/slr2136/sll0026/slr0335/sll1182/slr1470/ssr3304/slr0293/slr1299/sll0223/sll1262/sll1510/slr1185/slr1894/sll0330/sll1908/sll1363/sll1091/slr0710/slr1096/slr1279/sll1316/slr1137/slr1747/sll1342/sll1308/slr1743/slr1934/sll0027/slr1164/slr0940/slr0116/ssr1386/slr1517/sll0519/slr0261/slr0782/sll0373/slr1843/slr1992/sll0541/sll1214/slr0749/slr0348/slr0338/slr1623/slr1280/sll0522/sll0209/sll0520/slr1281/sll0019/slr1350/sll0521/slr0591/slr2009/slr2067/ssr0330/sll0262/slr1986/sll1733/slr2008/slr1291/slr2007/sll1732/slr2006"
"GO:0042651","GO:0042651","thylakoid membrane",94,-0.549996608087453,-2.39909607171618,6.86464266753857e-10,6.04088554743394e-08,4.44395288477497e-08,1276,"tags=59%, list=23%, signal=46%","slr0083/slr1645/slr1835/ssl2009/slr0575/slr1643/smr0003/sll0223/sll1262/sll1327/slr1949/sll0616/slr1185/slr1834/sll0226/smr0010/slr1034/smr0004/slr1279/smr0008/slr1329/sll0047/sll1316/slr1655/slr0906/slr1796/sml0001/sll1326/ssr1386/slr1311/slr0228/sll0519/smr0006/slr0261/slr0782/smr0007/smr0009/ssr3451/sll0629/slr0927/sll0689/sll1322/slr1623/slr1280/sll1324/ssl2615/sll1325/sll1323/sll0522/sll0520/sll1867/slr1513/slr1281/ssl3335/slr1291"
"GO:0015979","GO:0015979","photosynthesis",85,-0.549463850457833,-2.36999023563311,8.05943570838077e-09,4.08443374921114e-07,3.00469707627375e-07,1601,"tags=61%, list=29%, signal=44%","ssr0390/sll0554/slr0525/ssl3093/slr0342/sml0005/ssl2598/smr0005/slr2051/slr0506/slr0737/slr1835/slr1055/smr0003/sll0819/slr0335/ssr3304/slr1839/slr1185/slr1834/sll0226/smr0010/smr0004/sll1317/sll0427/sll1091/smr0008/sll1796/sll0047/sll1316/slr1655/slr0611/sml0001/slr0169/sll1028/smr0006/smr0007/ssr3383/smr0009/ssr3451/slr1030/sll0629/sll1032/sll1214/sll1031/sll1471/sll1030/slr2067/ssr0330/sll1029/sll1398/slr1986"
"GO:0006412","GO:0006412","translation",89,-0.535041718270488,-2.32125578700911,9.28280397547987e-09,4.08443374921114e-07,3.00469707627375e-07,1724,"tags=71%, list=31%, signal=49%","ssl2233/slr0742/slr1356/slr1678/sll1800/sll1260/sll1822/sll1074/slr0070/ssl0438/slr0638/sll1801/sll1096/sll1821/sll1799/sll1808/ssr1604/sll1824/sll1816/slr1884/sll1802/ssr1398/sll1804/sll1813/slr0923/sll1806/sll0179/ssl1784/sll1097/sll1807/ssr1399/sll0495/ssl3437/sll1809/ssl3432/sll1553/sll0145/slr0877/ssr0482/sll1362/slr1720/sll1746/sll1812/sll1817/ssl3436/ssr1736/sll1803/sll1805/sll1811/sll1244/slr1550/slr1031/sll0767/slr1703/ssl1426/sll1743/sll1740/slr0557/slr1278/sll1745/slr1984/slr0922/smr0011"
"GO:0003735","GO:0003735","structural constituent of ribosome",55,-0.606586362010267,-2.38536220022233,5.03370028432874e-08,1.77186250008371e-06,1.30346344204723e-06,1667,"tags=80%, list=30%, signal=56%","slr1356/slr1678/sll1800/sll1260/sll1822/ssl0438/sll1801/sll1096/sll1821/sll1799/sll1808/ssr1604/sll1824/sll1816/sll1802/ssr1398/sll1804/sll1813/slr0923/sll1806/ssl1784/sll1097/sll1807/ssr1399/ssl3437/sll1809/ssl3432/ssr0482/sll1746/sll1812/sll1817/ssl3436/ssr1736/sll1803/sll1805/sll1811/sll1244/sll0767/ssl1426/sll1743/sll1740/sll1745/slr1984/smr0011"
"GO:0005840","GO:0005840","ribosome",54,-0.600302873647276,-2.35898001779864,1.34755514628445e-07,3.95282842910104e-06,2.9078821577717e-06,1667,"tags=80%, list=30%, signal=56%","slr1356/slr1678/sll1800/sll1260/sll1822/ssl0438/sll1801/sll1096/sll1821/sll1799/sll1808/ssr1604/sll1824/sll1816/sll1802/ssr1398/sll1804/sll1813/slr0923/sll1806/ssl1784/sll1097/sll1807/ssr1399/ssl3437/sll1809/ssl3432/ssr0482/sll1746/sll1812/sll1817/ssl3436/sll1803/sll1805/sll1811/sll1244/sll0767/ssl1426/sll1743/sll1740/sll1745/slr1984/smr0011"
"GO:0042773","GO:0042773","ATP synthesis coupled electron transport",14,-0.843302367012007,-2.3317210158252,9.14078766676575e-07,2.29825518478682e-05,1.69070207971758e-05,229,"tags=64%, list=4%, signal=62%","slr1136/sll0522/slr2009/sll1733/slr2008/slr1291/slr2007/sll1732/slr2006"
"GO:0048038","GO:0048038","quinone binding",21,-0.734600704830512,-2.31543692699198,6.84217091403617e-06,0.000150527760108796,0.000110735134529796,1208,"tags=81%, list=22%, signal=63%","slr0844/sll0026/sll0223/sll1262/slr1279/ssr1386/sll0519/slr0261/slr1623/slr1280/sll0522/sll0520/slr1281/sll0521/slr2009/slr2007/sll1732"
"GO:0008137","GO:0008137","NADH dehydrogenase (ubiquinone) activity",19,-0.766116523056474,-2.36147200198671,7.89530261653282e-06,0.000154397028945531,0.000113581546413279,707,"tags=68%, list=13%, signal=60%","slr1279/sll0027/slr0261/slr1280/sll0522/sll0520/slr1281/sll0521/slr2009/sll1733/slr1291/slr2007/sll1732"
"GO:0019684","GO:0019684","photosynthesis, light reaction",20,-0.721035695401094,-2.22568447146636,2.0148679135442e-05,0.00035461675278378,0.000260872371964144,707,"tags=65%, list=13%, signal=57%","slr1279/slr0906/slr1311/sll0519/smr0006/slr0261/ssr3451/slr0927/slr1280/sll0522/sll0520/sll1867/slr1281"
"GO:0030096","GO:0030096","plasma membrane-derived thylakoid photosystem II",27,-0.622690911003372,-2.1376729446333,4.72891214655768e-05,0.000756625943449229,0.000556608798111574,1496,"tags=63%, list=27%, signal=46%","sll0849/sml0005/ssl2598/sll1414/slr1645/sll1130/sll0427/smr0008/slr0906/sml0001/slr1311/smr0006/smr0007/ssr3451/slr0927/sll1867/sll1398"
"GO:0005622","GO:0005622","intracellular",123,-0.373383022519132,-1.71667850777889,0.000162383465059201,0.00238162415420161,0.00175203212300717,1488,"tags=47%, list=27%, signal=35%","sll1209/ssl0438/sll1961/slr1959/sll1615/sll1801/slr1072/sll1096/sll1821/sll1799/slr0312/sll1808/ssr1604/sll1824/sll1816/slr1428/sll1098/sll1802/ssr1398/sll1804/sll1813/slr0923/sll1806/ssl1784/sll1097/sll1807/ssr1399/ssl3437/sll1809/sll1099/ssl3432/slr0115/ssr0482/slr0161/sll1746/sll1812/sll0664/slr0707/sll1817/ssl3436/sll1803/slr1909/sll1805/sll1811/sll0245/slr1529/sll1244/sll0767/sll0320/sll0792/ssl0564/slr0346/sll1212/ssl1426/slr1105/sll1740/sll1745/smr0011"
"GO:0015986","GO:0015986","ATP synthesis coupled proton transport",10,-0.798078604606463,-1.99858245880051,0.000218420409953079,0.00295707631936477,0.00217536116795375,965,"tags=90%, list=18%, signal=74%","sll1327/slr1329/sll1326/sll1322/sll1324/ssl2615/sll1325/sll1323/sll1321"
