"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalues","rank","leading_edge","core_enrichment"
"GO:0008137","GO:0008137","NADH dehydrogenase (ubiquinone) activity",19,-0.921884326318982,-2.68225982439081,1e-10,1.76e-08,1.41052631578947e-08,120,"tags=68%, list=2%, signal=67%","slr0261/slr1279/sll0223/slr1280/sll0521/sll0520/sll0522/slr1281/slr2009/slr1291/sll1733/slr2007/sll1732"
"GO:0042773","GO:0042773","ATP synthesis coupled electron transport",14,-0.916396868520064,-2.46482912095433,2.7481149767469e-09,2.41834117953727e-07,1.93814424675834e-07,98,"tags=64%, list=2%, signal=63%","sll0223/sll0522/slr2009/slr1291/slr2008/sll1733/slr2007/slr2006/sll1732"
"GO:0048038","GO:0048038","quinone binding",21,-0.839744474512281,-2.46569837540751,8.17725827813117e-09,4.79732485650362e-07,3.84474599743711e-07,120,"tags=62%, list=2%, signal=61%","slr1623/slr0261/slr1279/sll0223/sll0519/slr1280/sll0521/sll0520/sll0522/slr1281/slr2009/slr2007/sll1732"
"GO:0055114","GO:0055114","oxidation-reduction process",201,-0.442319586525566,-1.96167439447818,3.03075868417434e-07,1.33353382103671e-05,1.06874122020884e-05,899,"tags=28%, list=18%, signal=24%","sll0631/slr1986/sll0026/sll0554/sll1262/sll1214/slr0348/slr1517/sll1611/slr0710/slr0591/sll0686/sll1484/slr1791/slr1843/sll0816/slr0940/sll0329/slr1137/slr1992/slr0749/sll1308/slr0782/sll0330/ssr0330/slr0750/slr1424/slr0338/sll1468/slr0116/slr1299/slr0884/slr1623/slr1795/sll0541/sll0019/sll1440/sll1709/sll0209/slr0261/slr1279/sll0223/slr1350/sll0519/slr1280/sll0521/sll0520/sll0522/slr1281/slr2009/sll0262/slr1291/slr2008/sll1733/slr2007/slr2006/sll1732"
"GO:0019684","GO:0019684","photosynthesis, light reaction",20,-0.778467751197567,-2.26198009935391,4.91374794170913e-06,0.000172963927548162,0.000138619415618742,120,"tags=40%, list=2%, signal=39%","slr0261/slr1279/sll0223/sll0519/slr1280/sll0520/sll0522/slr1281"
"GO:0015977","GO:0015977","carbon fixation",13,-0.82572448372376,-2.16558614397705,1.89411938887903e-05,0.000555608354071182,0.000445284207210158,266,"tags=62%, list=5%, signal=58%","slr0169/sll1028/sll1029/sll1030/slr0009/sll1031/sll1032/slr0012"
"GO:0031470","GO:0031470",NA,12,-0.829244043868882,-2.08745248984095,5.01361690321196e-05,0.00126056653566472,0.00101026265418106,266,"tags=67%, list=5%, signal=63%","slr0169/sll1028/sll1029/sll1030/slr0009/sll1031/sll1032/slr0012"
"GO:0009058","GO:0009058","biosynthetic process",74,-0.484203089400467,-1.8417571068376,0.000151007855477341,0.00332217282050149,0.00266250692552153,1363,"tags=49%, list=27%, signal=36%","slr0926/slr0847/slr1508/sll1723/sll0513/slr1085/slr1211/sll1958/slr0528/slr1332/sll0480/slr1077/sll1178/slr1066/sll1612/slr1118/slr1979/sll1231/slr0738/slr0384/sll1528/slr0983/slr1176/slr1076/sll0899/sll1069/slr1166/slr1064/slr1063/sll2010/slr0213/sll0380/slr1351/sll1466/slr0007/slr5055"
"GO:0016757","GO:0016757","transferase activity, transferring glycosyl groups",32,-0.634785367206439,-2.05039157519152,0.000178458144448596,0.00348984815810588,0.00279688787790782,921,"tags=53%, list=19%, signal=44%","slr1077/slr1066/slr1857/sll1231/slr0384/sll1528/slr7102/slr1867/slr1064/slr0592/slr1063/sll1538/sll0736/sll0380/sll1466/slr1070/slr5054"
"GO:0006310","GO:0006310","DNA recombination",27,0.591197294333096,1.97276021625373,0.000530070274598029,0.00932923683292531,0.00747678071538272,108,"tags=22%, list=2%, signal=22%","slr7005/slr5010/slr8029/sll6109/sll6059/sll0832"
"GO:0042651","GO:0042651","thylakoid membrane",94,-0.443451879581483,-1.76538839846083,0.000608974301673077,0.00974358882676924,0.00780885707408539,838,"tags=33%, list=17%, signal=28%","slr0228/sll1262/sml0004/sll1322/sll0226/slr1796/smr0003/sll1323/slr0782/ssl2009/ssl2615/ssl3335/slr1330/slr1623/sll1327/sll1326/sll1324/sll1325/smr0009/slr0083/slr0261/slr1279/sll0689/sll0223/sll0519/slr1280/sll0520/sll0522/slr1281/slr1291/slr1513"
"GO:0005886","GO:0005886","plasma membrane",240,-0.334798276964033,-1.5248541850714,0.000889757805621396,0.0130497811491138,0.0104585566625673,754,"tags=22%, list=15%, signal=19%","slr1925/sll1941/slr1596/sll0063/sll0312/slr0014/slr0964/sll1321/sll1270/slr1652/sll0260/slr0774/slr1453/slr1366/slr1136/slr1137/slr0765/slr0949/slr1365/sll0932/slr2012/sll1870/sll1263/slr1454/sll0815/slr1509/slr1727/sll1450/sll1326/slr0510/sll0615/sll0383/sll1452/sll1325/sll0834/sll0273/slr0083/sll1451/sll1703/slr1723/sll0481/slr1875/slr2131/slr0732/slr0041/slr2011/slr1350/slr1046/slr2010/slr0040/sll0218/slr1513"
"GO:0005840","GO:0005840","ribosome",54,-0.479096586567939,-1.72352450185135,0.00137357748544156,0.0185961259567473,0.0149035937691635,1547,"tags=46%, list=31%, signal=32%","sll1821/slr0808/ssr1604/ssl2233/sll1809/ssr1398/sll1824/sll1244/sll1817/ssl0601/ssl1784/sll1743/ssl0438/smr0011/sll1097/slr0628/slr0923/slr1356/slr1984/ssl3445/sll1746/ssl1426/sll1745/sll1101/sll0767"
"GO:0005515","GO:0005515","protein binding",33,0.541401229675602,1.88558186472922,0.00157761504953054,0.0198328749083839,0.0158947681682024,842,"tags=39%, list=17%, signal=33%","slr2076/slr1204/slr1641/sll0416/sll1427/slr0257/sll1679/slr1653/slr1751/slr1668/sll0100/sll0020/slr0665"
"GO:0015986","GO:0015986","ATP synthesis coupled proton transport",10,-0.788649608676867,-1.93127784903894,0.00188135679644955,0.0215629107881904,0.0172812801771382,790,"tags=100%, list=16%, signal=84%","sll1322/sll1321/sll1323/ssl2615/slr1330/sll1327/sll1326/sll1324/sll1325"
"GO:0004673","GO:0004673","protein histidine kinase activity",43,0.487419710951283,1.81655740368831,0.00196026461710822,0.0215629107881904,0.0172812801771382,1732,"tags=58%, list=35%, signal=38%","slr0533/slr2104/slr1285/slr1212/sll0790/sll1905/slr1400/slr0222/slr0210/sll1296/slr1731/slr1759/slr1147/sll1871/sll1003/sll0043/slr1805/slr1393/sll0094/sll1672/slr2098/sll1555/sll0698/sll1888/sll1124"
"GO:0007165","GO:0007165","signal transduction",75,0.39472571509888,1.6068982029055,0.00250266739329526,0.025298123125432,0.0202748115957409,1632,"tags=47%, list=33%, signal=32%","slr0533/sll0040/sll0041/slr2104/slr1285/slr1212/sll0790/slr0257/sll1905/slr1400/sll0042/slr1751/slr0222/slr0210/sll1296/slr0829/slr1759/sll1673/slr0487/slr1147/sll1871/sll1687/sll1003/sll1294/sll0043/slr1805/slr1393/sll0094/sll1672/slr1305/sll1334/slr2098/slr0658/sll1555/sll0698"
"GO:0000155","GO:0000155","phosphorelay sensor kinase activity",54,0.449910534208019,1.75651618078832,0.00258730804691918,0.025298123125432,0.0202748115957409,1732,"tags=56%, list=35%, signal=37%","slr0533/slr2104/slr1285/slr1212/sll0790/sll1905/slr1400/slr0222/slr0210/sll1296/slr0829/slr1731/slr1759/slr0487/slr1147/sll1871/sll1687/sll1003/sll0043/slr1805/slr1393/sll0094/sll1672/slr1305/sll1334/slr2098/sll1555/sll0698/sll1888/sll1124"
"GO:0018106","GO:0018106","peptidyl-histidine phosphorylation",42,0.481732841667751,1.78236056062152,0.00294907350217219,0.0273177334938055,0.021893398852691,1732,"tags=57%, list=35%, signal=38%","slr0533/slr2104/slr1285/slr1212/sll0790/sll1905/slr1400/slr0222/slr0210/sll1296/slr1759/slr1147/sll1871/sll1003/sll0043/slr1805/slr1393/sll0094/sll1672/slr2098/sll1555/sll0698/sll1888/sll1124"
"GO:0006412","GO:0006412","translation",89,-0.412504537440595,-1.63356845107793,0.00318418948756112,0.0280208674905379,0.0224569153333258,1208,"tags=45%, list=24%, signal=35%","sll1821/slr0357/ssr1604/slr0033/ssl2233/sll1809/ssr1398/sll1824/sll1244/ssr1736/slr0922/sll1817/ssl0601/slr1639/ssl1784/sll1743/slr1031/ssl0438/slr0877/smr0011/slr0557/sll1097/sll1074/slr0628/slr0923/slr1884/slr1356/slr1703/slr1984/sll0145/slr1550/ssl3445/sll1362/sll1746/ssl1426/sll1745/slr1720/sll1101/sll0767/slr1278"
"GO:0050662","GO:0050662","coenzyme binding",20,-0.634442102708702,-1.84348729708024,0.00395557951715056,0.0331515235723095,0.0265688047768509,806,"tags=60%, list=16%, signal=50%","slr0809/slr1020/slr1067/sll0576/slr1223/sll0329/slr1299/slr0583/sll0244/sll1213/slr0984/sll1212"
"GO:0003735","GO:0003735","structural constituent of ribosome",55,-0.469552122478875,-1.70203741806534,0.00430567636977912,0.033261751912965,0.0266571456718739,1391,"tags=45%, list=28%, signal=33%","sll1821/ssr1604/ssl2233/sll1809/ssr1398/sll1824/sll1244/ssr1736/sll1817/ssl0601/ssl1784/sll1743/ssl0438/smr0011/sll1097/slr0628/slr0923/slr1356/slr1984/ssl3445/sll1746/ssl1426/sll1745/sll1101/sll0767"
"GO:0009060","GO:0009060","aerobic respiration",10,-0.762540329901268,-1.86734036501698,0.00434670621589883,0.033261751912965,0.0266571456718739,528,"tags=90%, list=11%, signal=81%","sll0027/sll0823/slr2082/slr1137/sll0450/sll0519/slr1280/slr1291/sll1733"
"GO:0010181","GO:0010181","FMN binding",13,-0.677405392514538,-1.77659711053885,0.00645469353828517,0.0473344192807579,0.0379354795671146,261,"tags=23%, list=5%, signal=22%","sll1440/sll0219/sll0217"
"GO:0051082","GO:0051082","unfolded protein binding",15,0.62077636933747,1.7213014358845,0.00702255211726055,0.0494387669055142,0.0396219782615963,740,"tags=40%, list=15%, signal=34%","slr2075/slr2076/sll0416/sll0170/sll0430/sll1988"
