locus_tag	GOterm
sll0005	GO:0006468
sll0005	GO:0005524
sll0005	GO:0004672
sll0006	GO:0009058
sll0006	GO:0003824
sll0006	GO:0030170
sll0006	GO:0016769
sll0006	GO:0008483
sll0010	GO:0003676
sll0012	GO:0006313
sll0012	GO:0003677
sll0012	GO:0004803
sll0016	GO:0009254
sll0016	GO:0019867
sll0016	GO:0004553
sll0016	GO:0005887
sll0016	GO:0008933
sll0016	GO:0009253
sll0016	GO:0016829
sll0016	GO:0071555
sll0017	GO:0033014
sll0017	GO:0003824
sll0017	GO:0042286
sll0017	GO:0030170
sll0017	GO:0008483
sll0017	GO:0005737
sll0017	GO:0006779
sll0017	GO:0006782
sll0017	GO:0015995
sll0018	GO:0006096
sll0018	GO:0008152
sll0018	GO:0003824
sll0018	GO:0004332
sll0018	GO:0008270
sll0019	GO:0008299
sll0019	GO:0008152
sll0019	GO:0055114
sll0019	GO:0030604
sll0019	GO:0005488
sll0019	GO:0003824
sll0019	GO:0046872
sll0019	GO:0030145
sll0019	GO:0051484
sll0019	GO:0070402
sll0020	GO:0006289
sll0020	GO:0019538
sll0020	GO:0005524
sll0020	GO:0003677
sll0020	GO:0004518
sll0020	GO:0017111
sll0020	GO:0000166
sll0020	GO:0005515
sll0020	GO:0005737
sll0020	GO:0008233
sll0020	GO:0016887
sll0021	GO:0006259
sll0021	GO:0004527
sll0021	GO:0016787
sll0021	GO:0003677
sll0021	GO:0004519
sll0021	GO:0004529
sll0021	GO:0006274
sll0021	GO:0006281
sll0021	GO:0006310
sll0021	GO:0008408
sll0026	GO:0042773
sll0026	GO:0055114
sll0026	GO:0008137
sll0026	GO:0003954
sll0026	GO:0015990
sll0026	GO:0016021
sll0026	GO:0048038
sll0027	GO:0042773
sll0027	GO:0055114
sll0027	GO:0008137
sll0027	GO:0009060
sll0027	GO:0015990
sll0027	GO:0016021
sll0027	GO:0045272
sll0027	GO:0048039
sll0030	GO:0006355
sll0030	GO:0003700
sll0030	GO:0000976
sll0030	GO:0005737
sll0031	GO:0009055
sll0031	GO:0051536
sll0031	GO:0005506
sll0031	GO:0005524
sll0031	GO:0006413
sll0031	GO:0006415
sll0031	GO:0043024
sll0033	GO:0016117
sll0033	GO:0016853
sll0033	GO:0016491
sll0033	GO:0046608
sll0034	GO:0006508
sll0034	GO:0008233
sll0034	GO:0016021
sll0036	GO:0007205
sll0036	GO:0019242
sll0036	GO:0004143
sll0036	GO:0008929
sll0036	GO:0003951
sll0037	GO:0009236
sll0037	GO:0016829
sll0037	GO:0046872
sll0037	GO:0016852
sll0037	GO:0051539
sll0038	GO:0006355
sll0038	GO:0000160
sll0038	GO:0000156
sll0039	GO:0006355
sll0039	GO:0000160
sll0039	GO:0000156
sll0042	GO:0006935
sll0042	GO:0007165
sll0042	GO:0016020
sll0042	GO:0004871
sll0043	GO:0006935
sll0043	GO:0018106
sll0043	GO:0016310
sll0043	GO:0006355
sll0043	GO:0007165
sll0043	GO:0000160
sll0043	GO:0005737
sll0043	GO:0005622
sll0043	GO:0005524
sll0043	GO:0004673
sll0043	GO:0004871
sll0043	GO:0016772
sll0043	GO:0000156
sll0043	GO:0000155
sll0044	GO:0006935
sll0044	GO:0007165
sll0044	GO:0005622
sll0044	GO:0004871
sll0045	GO:0009058
sll0045	GO:0005985
sll0045	GO:0016157
sll0051	GO:0003824
sll0051	GO:0016787
sll0051	GO:0008270
sll0051	GO:0006152
sll0051	GO:0047974
sll0053	GO:0008152
sll0053	GO:0005524
sll0053	GO:0009374
sll0053	GO:0003824
sll0053	GO:0016874
sll0053	GO:0003989
sll0053	GO:0004075
sll0053	GO:0006633
sll0053	GO:0046872
sll0053	GO:2001295
sll0055	GO:0006508
sll0055	GO:0003824
sll0055	GO:0046872
sll0055	GO:0004222
sll0055	GO:0008270
sll0055	GO:0008233
sll0057	GO:0006457
sll0057	GO:0030150
sll0057	GO:0005739
sll0057	GO:0000774
sll0057	GO:0051087
sll0057	GO:0005515
sll0057	GO:0042803
sll0057	GO:0005737
sll0057	GO:0051082
sll0058	GO:0006457
sll0058	GO:0005524
sll0058	GO:0051082
sll0063	GO:0017004
sll0063	GO:0015886
sll0063	GO:0016020
sll0063	GO:0015232
sll0063	GO:0005886
sll0063	GO:0016021
sll0063	GO:0055085
sll0064	GO:0006810
sll0064	GO:0030288
sll0064	GO:0005215
sll0065	GO:0009082
sll0065	GO:0008152
sll0065	GO:0003984
sll0065	GO:0016597
sll0065	GO:0005829
sll0065	GO:0009097
sll0065	GO:0009099
sll0065	GO:1990610
sll0070	GO:0006189
sll0070	GO:0009058
sll0070	GO:0008152
sll0070	GO:0016597
sll0070	GO:0008864
sll0070	GO:0016742
sll0070	GO:0006730
sll0071	GO:0009058
sll0072	GO:0043565
sll0072	GO:0003677
sll0078	GO:0043039
sll0078	GO:0006418
sll0078	GO:0006435
sll0078	GO:0006412
sll0078	GO:0005737
sll0078	GO:0005524
sll0078	GO:0004812
sll0078	GO:0016876
sll0078	GO:0000166
sll0078	GO:0004829
sll0078	GO:0000049
sll0078	GO:0005829
sll0078	GO:0046872
sll0080	GO:0006526
sll0080	GO:0008652
sll0080	GO:0006520
sll0080	GO:0008152
sll0080	GO:0005737
sll0080	GO:0003942
sll0080	GO:0051287
sll0080	GO:0005488
sll0080	GO:0003824
sll0080	GO:0016620
sll0080	GO:0046983
sll0083	GO:0009244
sll0083	GO:0005737
sll0083	GO:0008968
sll0083	GO:0005975
sll0083	GO:0008270
sll0083	GO:0097367
sll0083	GO:2001061
sll0084	GO:0000105
sll0084	GO:0008152
sll0084	GO:0003824
sll0084	GO:0004401
sll0084	GO:0005737
sll0084	GO:0005975
sll0084	GO:0016791
sll0084	GO:0046872
sll0086	GO:0006875
sll0086	GO:0005524
sll0086	GO:0015446
sll0086	GO:0016887
sll0086	GO:0046685
sll0094	GO:0018106
sll0094	GO:0016310
sll0094	GO:0007165
sll0094	GO:0016020
sll0094	GO:0005524
sll0094	GO:0004673
sll0094	GO:0016772
sll0094	GO:0000155
sll0094	GO:0005887
sll0094	GO:0009927
sll0094	GO:0046777
sll0096	GO:0008152
sll0096	GO:0005488
sll0096	GO:0003824
sll0096	GO:0010257
sll0096	GO:0032981
sll0096	GO:0051082
sll0098	GO:0006364
sll0098	GO:0005737
sll0098	GO:0008173
sll0098	GO:0003824
sll0098	GO:0051536
sll0098	GO:0000049
sll0098	GO:0002935
sll0098	GO:0019843
sll0098	GO:0030488
sll0098	GO:0046872
sll0098	GO:0051539
sll0098	GO:0070040
sll0098	GO:0070475
sll0099	GO:0009236
sll0099	GO:0008152
sll0099	GO:0006400
sll0099	GO:0008168
sll0099	GO:0046025
sll0099	GO:0008276
sll0099	GO:0008176
sll0100	GO:0008152
sll0100	GO:0016787
sll0100	GO:0005515
sll0108	GO:0055085
sll0108	GO:0006810
sll0108	GO:0016020
sll0108	GO:0008519
sll0108	GO:0005886
sll0108	GO:0016021
sll0136	GO:0009987
sll0136	GO:0006508
sll0136	GO:0004177
sll0136	GO:0030145
sll0136	GO:0008235
sll0136	GO:0005829
sll0136	GO:0008233
sll0136	GO:0070006
sll0141	GO:0009306
sll0141	GO:0016020
sll0141	GO:0008565
sll0141	GO:0022857
sll0142	GO:0006810
sll0142	GO:0016020
sll0142	GO:0005215
sll0142	GO:0016021
sll0142	GO:0022857
sll0144	GO:0008652
sll0144	GO:0006221
sll0144	GO:0005737
sll0144	GO:0033862
sll0144	GO:0009041
sll0144	GO:0005524
sll0144	GO:0005829
sll0144	GO:0006225
sll0144	GO:0044210
sll0145	GO:0006412
sll0145	GO:0006415
sll0145	GO:0005737
sll0145	GO:0043023
sll0146	GO:0006810
sll0146	GO:0016020
sll0146	GO:0005215
sll0146	GO:0005886
sll0146	GO:0015658
sll0146	GO:0015803
sll0146	GO:0016021
sll0148	GO:0006508
sll0148	GO:0004197
sll0148	GO:0016020
sll0158	GO:0005975
sll0158	GO:0005978
sll0158	GO:0003844
sll0158	GO:0003824
sll0158	GO:0043169
sll0158	GO:0004553
sll0158	GO:0005737
sll0158	GO:0005829
sll0158	GO:0102752
sll0160	GO:0022904
sll0160	GO:0016020
sll0160	GO:0009055
sll0160	GO:0016491
sll0160	GO:0005886
sll0160	GO:0016021
sll0161	GO:0006313
sll0161	GO:0003677
sll0161	GO:0004803
sll0166	GO:0008152
sll0166	GO:0055114
sll0166	GO:0006779
sll0166	GO:0033014
sll0166	GO:0008168
sll0166	GO:0004852
sll0166	GO:0004851
sll0166	GO:0019354
sll0166	GO:0032259
sll0169	GO:0031072
sll0169	GO:0000921
sll0169	GO:0016021
sll0170	GO:0006457
sll0170	GO:0005524
sll0170	GO:0051082
sll0171	GO:0006546
sll0171	GO:0005737
sll0171	GO:0004047
sll0171	GO:0005829
sll0171	GO:0008483
sll0171	GO:0019464
sll0173	GO:0017001
sll0173	GO:0046677
sll0173	GO:0016835
sll0173	GO:0000287
sll0173	GO:0016787
sll0173	GO:0030288
sll0174	GO:0006810
sll0174	GO:0030288
sll0174	GO:0005215
sll0175	GO:0016491
sll0177	GO:0006310
sll0177	GO:0003677
sll0177	GO:0000150
sll0178	GO:0006355
sll0178	GO:0005634
sll0178	GO:0043565
sll0178	GO:0003700
sll0178	GO:0016021
sll0179	GO:0006424
sll0179	GO:0006418
sll0179	GO:0006412
sll0179	GO:0005737
sll0179	GO:0005524
sll0179	GO:0004812
sll0179	GO:0004818
sll0179	GO:0000166
sll0179	GO:0000049
sll0179	GO:0005829
sll0179	GO:0008270
sll0180	GO:0009306
sll0180	GO:0016020
sll0180	GO:0008565
sll0180	GO:0015562
sll0180	GO:1990281
sll0182	GO:0055085
sll0182	GO:0006810
sll0182	GO:0016021
sll0182	GO:0016020
sll0182	GO:0005524
sll0182	GO:0016887
sll0182	GO:0042626
sll0182	GO:0017111
sll0182	GO:0000166
sll0182	GO:0005324
sll0182	GO:0005778
sll0182	GO:0005886
sll0182	GO:0006635
sll0182	GO:0007031
sll0182	GO:0015910
sll0182	GO:0042760
sll0183	GO:0005488
sll0184	GO:0006355
sll0184	GO:0006352
sll0184	GO:0003677
sll0184	GO:0016987
sll0184	GO:0003700
sll0185	GO:0006353
sll0185	GO:0003715
sll0189	GO:0003677
sll0189	GO:0003676
sll0189	GO:0004518
sll0195	GO:0006508
sll0195	GO:0004176
sll0199	GO:0005507
sll0199	GO:0009055
sll0199	GO:0042651
sll0202	GO:0008033
sll0202	GO:0002098
sll0202	GO:0050660
sll0202	GO:0005737
sll0202	GO:0030488
sll0204	GO:0008152
sll0204	GO:0008033
sll0204	GO:0005737
sll0204	GO:0050660
sll0204	GO:0005488
sll0204	GO:0003824
sll0204	GO:0047151
sll0204	GO:0002098
sll0204	GO:0005829
sll0204	GO:0030488
sll0204	GO:0030698
sll0207	GO:0009058
sll0207	GO:0016779
sll0207	GO:0016740
sll0208	GO:0055114
sll0208	GO:0016491
sll0208	GO:0046914
sll0208	GO:0009924
sll0208	GO:1990465
sll0209	GO:0008152
sll0209	GO:0055114
sll0209	GO:0005737
sll0209	GO:0005488
sll0209	GO:0003824
sll0209	GO:0004764
sll0209	GO:0016491
sll0210	GO:0016311
sll0210	GO:0016020
sll0210	GO:0050380
sll0210	GO:0005886
sll0210	GO:0008360
sll0210	GO:0009252
sll0210	GO:0016021
sll0210	GO:0046677
sll0210	GO:0071555
sll0217	GO:0010181
sll0217	GO:0016787
sll0217	GO:0016491
sll0217	GO:0046872
sll0219	GO:0010181
sll0219	GO:0009055
sll0219	GO:0016787
sll0219	GO:0016491
sll0220	GO:0016051
sll0220	GO:0005975
sll0220	GO:0008152
sll0220	GO:0005737
sll0220	GO:0004360
sll0220	GO:0005529
sll0220	GO:0005829
sll0220	GO:0006002
sll0220	GO:0006047
sll0220	GO:0006487
sll0220	GO:0006541
sll0220	GO:0097367
sll0221	GO:0045454
sll0221	GO:0016209
sll0221	GO:0016491
sll0222	GO:0016787
sll0222	GO:0003993
sll0222	GO:0016021
sll0223	GO:0042773
sll0223	GO:0055114
sll0223	GO:0008137
sll0223	GO:0016021
sll0223	GO:0019684
