"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0015979","GO:0015979","photosynthesis","27/153","86/2593",5.81397072463324e-14,7.26746340579154e-12,6.42596764301568e-12,"sll1214/slr0737/sll1194/sll1184/sll0928/sml0005/slr2051/ssl3093/sll1580/sll1579/sll1578/sll1577/slr1834/slr1835/sll1281/sml0007/slr1986/sml0008/sll0819/sll1091/ssr2831/sll0258/slr0335/smr0001/slr0342/slr1459/smr0004",27
"GO:0018298","GO:0018298","protein-chromophore linkage","15/153","31/2593",2.4702318784019e-11,1.54389492400119e-09,1.36512814332736e-09,"slr1311/sll0928/slr0687/sll1578/sll1577/slr1834/slr1835/sll0851/slr1986/slr1963/sll1867/slr0335/slr0906/sll0041/slr1459",15
"GO:0042651","GO:0042651","thylakoid membrane","25/153","96/2593",5.85026924893442e-11,2.43761218705601e-09,2.15536235487058e-09,"slr1311/sll1326/ssl2615/sll1322/sml0005/sll1814/slr1834/slr1835/sll1281/sml0007/sll0851/slr0261/slr1513/slr1330/sml0008/sll1867/ssr2831/sll0258/ssl0563/smr0001/slr0342/sll0199/slr0906/slr0083/smr0004",25
"GO:0030089","GO:0030089","phycobilisome","12/153","24/2593",1.70542778664396e-09,5.32946183326239e-08,4.71236625256885e-08,"sll0928/slr2051/ssl3093/sll1580/sll1579/sll1578/sll1577/slr1986/slr1963/slr1687/slr0335/slr1459",12
"GO:0030096","GO:0030096","plasma membrane-derived thylakoid photosystem II","10/153","28/2593",1.99854284048784e-06,4.99635710121959e-05,4.41783154213101e-05,"slr1311/sll1194/sml0005/sll1281/sml0007/sll0851/sll1867/sll0258/smr0001/slr0906",10
"GO:0016168","GO:0016168","chlorophyll binding","6/153","10/2593",6.61193872268745e-06,0.000137748723389322,0.0001217988712074,"slr1311/slr1834/slr1835/sll0851/sll1867/slr0906",6
"GO:0003723","GO:0003723","RNA binding","12/153","62/2593",0.000190749664134404,0.00340624400240008,0.00301183680212217,"slr1129/slr1130/sll1043/slr0679/sll1910/sll1744/slr1356/ssr1480/slr1678/slr0083/sll0517/slr0551",12
"GO:0003735","GO:0003735","structural constituent of ribosome","11/153","56/2593",0.000310898221919062,0.00485778471748534,0.00429530438177651,"ssr1736/sll1824/ssl3445/sll1819/sll1744/slr1356/sll1260/slr1678/ssr2799/sll0767/slr0628",11
"GO:0019684","GO:0019684","photosynthesis, light reaction","6/153","21/2593",0.000990419546986275,0.013755827041476,0.0121630470682525,"slr1311/sll0851/slr0261/sll1867/sll0258/slr0906",6
"GO:0005840","GO:0005840","ribosome","10/153","55/2593",0.00111251039003757,0.0139063798754697,0.0122961674688363,"sll1824/ssl3445/sll1819/sll1744/slr1356/sll1260/slr1678/ssr2799/sll0767/slr0628",10
"GO:0015986","GO:0015986","ATP synthesis coupled proton transport","4/153","10/2593",0.00185070993125712,0.0210307946733763,0.0185956500269854,"sll1326/ssl2615/sll1322/slr1330",4
"GO:0006935","GO:0006935","chemotaxis","4/153","12/2593",0.00397432056906477,0.0413991725944247,0.0366055841887545,"slr1044/slr0322/sll0041/sll0040",4
"GO:0022625","GO:0022625","cytosolic large ribosomal subunit","5/153","20/2593",0.00504064212298247,0.0484677127209853,0.0428556617743449,"sll1824/sll1819/sll1744/ssr2799/sll0767",5
