"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0042651","GO:0042651","thylakoid membrane","42/438","96/2593",2.65679549469223e-10,2.69696213708982e-08,2.28833151025803e-08,"slr1311/sll1327/sll1326/sll1324/sll1323/ssl2615/sll1322/slr1291/slr1295/smr0005/slr1604/sml0005/smr0006/sll1814/slr1834/slr1835/sll1463/sll1281/ssl2501/sml0007/sll0851/sll0849/slr0261/slr1513/slr1329/slr1330/sml0008/sll1867/slr1281/ssr2831/sll0258/ssl0563/sml0001/smr0001/slr0342/sll0199/slr0906/slr0083/sll0047/sll0520/sll0519/smr0004",42
"GO:0015979","GO:0015979","photosynthesis","39/438","86/2593",3.26904501465433e-10,2.69696213708982e-08,2.28833151025803e-08,"sll1214/slr0737/sll1031/sll1029/sll1194/sll1184/sll0928/smr0005/slr1055/sml0005/smr0006/slr2051/ssl3093/sll1580/sll1579/sll1578/sll1577/slr1834/slr1835/sll1281/sml0007/slr2067/slr1986/ssr3383/sml0008/sll0819/slr1347/sll1091/ssr2831/sll0427/sll0258/slr0335/sml0001/smr0001/slr0342/slr0436/sll0047/slr1459/smr0004",39
"GO:0018298","GO:0018298","protein-chromophore linkage","17/438","31/2593",1.45427523690584e-06,7.99851380298212e-05,6.78661777222725e-05,"slr1311/sll0928/slr0687/sll1578/sll1577/slr1834/slr1835/sll0851/sll0849/slr2067/slr1986/slr1963/sll1867/slr0335/slr0906/sll0041/slr1459",17
"GO:0030089","GO:0030089","phycobilisome","14/438","24/2593",4.81231039884837e-06,0.000198507803952495,0.000168430863959693,"sll0928/slr2051/ssl3093/sll1580/sll1579/sll1578/sll1577/slr2067/slr1986/ssr3383/slr1963/slr1687/slr0335/slr1459",14
"GO:0015986","GO:0015986","ATP synthesis coupled proton transport","8/438","10/2593",2.05359366641633e-05,0.000677685909917388,0.000575006226596571,"sll1327/sll1326/sll1324/sll1323/ssl2615/sll1322/slr1329/slr1330",8
"GO:0003735","GO:0003735","structural constituent of ribosome","22/438","56/2593",4.62156769551468e-05,0.00119713927974569,0.00101575454039028,"ssr1736/sll1824/ssl3445/sll1819/sml0006/sll1813/sll1808/sll1803/sll1802/sll1800/ssl2233/sll1746/sll1744/slr1356/sll1260/sll1101/sll1097/slr1678/ssr2799/sll0767/slr0469/slr0628",22
"GO:0030096","GO:0030096","plasma membrane-derived thylakoid photosystem II","14/438","28/2593",5.07877270195141e-05,0.00119713927974569,0.00101575454039028,"slr1311/sll1194/sml0005/smr0006/sll1281/sml0007/sll0851/sll0849/sll1867/sll0427/sll0258/sml0001/smr0001/slr0906",14
"GO:0006412","GO:0006412","translation","30/438","90/2593",8.17501571988514e-05,0.00168609699222631,0.0014306277509799,"ssr1736/sll1824/ssl3445/sll1819/sml0006/sll1813/sll1808/sll1803/sll1802/sll1800/ssl2233/sll1746/sll1744/sll1362/slr1356/sll1425/sll1260/sll1101/sll1097/slr1678/ssr2799/sll0362/sll0767/slr0220/slr0469/slr0628/slr0649/sll0546/slr1560/slr0604",30
"GO:0019684","GO:0019684","photosynthesis, light reaction","11/438","21/2593",0.000197484334187155,0.00328127906270729,0.0027841155683577,"slr1311/smr0006/sll0851/sll0849/slr0261/sll1867/slr1281/sll0258/slr0906/sll0520/sll0519",11
"GO:0051082","GO:0051082","unfolded protein binding","9/438","15/2593",0.000198865397739836,0.00328127906270729,0.0027841155683577,"sll1932/slr2075/slr2076/sll1988/sll0416/sll0057/slr0093/sll0535/sll0430",9
