"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"BA000022.2-298948-minus",247.155113631265,4.47481951517852,0.28322604016535,15.7994636106415,3.13774999784308e-56,1.08252374925586e-52
"BA000022.2-943753-plus",67.3630499848802,5.15011335209128,0.447720673326272,11.5029607943482,1.27466531804389e-30,2.19879767362572e-27
"BA000022.2-298934-minus",59.6871363967858,4.31710918920899,0.385338468157816,11.2034212671466,3.92285147737085e-29,4.51127919897648e-26
"BA000022.2-917184-plus",121.553243875804,3.65144510853596,0.328448700692846,11.1172463183243,1.03414727222113e-28,8.91952022290723e-26
"BA000022.2-1431349-plus",233.149923455759,-4.62884928799566,0.450523374703335,-10.274382080716,9.1931650086304e-25,6.34328385595498e-22
"BA000022.2-2613294-plus",105.676403652595,-3.65061361963805,0.369823310208457,-9.8712372067091,5.54760817297474e-23,3.18987469946048e-20
"BA000022.2-2613286-plus",129.368606158456,-3.50076866281823,0.36876708870298,-9.493169998253,2.24113089363851e-21,1.10455736900755e-18
"BA000022.2-946051-plus",41.3865891916668,4.6687793638485,0.496480976817665,9.4037427048552,5.26559547041144e-21,2.27078804661493e-18
"BA000022.2-460321-minus",51.7060245832961,4.04769904676111,0.445626348941159,9.08316812140652,1.05459542106407e-19,3.63835420267103e-17
"BA000022.2-811104-minus",64.2647610873989,3.58065531796285,0.3940511797335,9.08677730741593,1.02018059978912e-19,3.63835420267103e-17
"BA000022.2-298998-minus",60.8729557753842,4.02281896925492,0.473568724971361,8.49468885323498,1.98463851626202e-17,5.70583573425332e-15
"BA000022.2-3324448-minus",32.9861838947623,6.84339344108184,0.805508894115401,8.49573914214462,1.96677262561644e-17,5.70583573425332e-15
"BA000022.2-2047190-plus",28.7342067452156,4.94755646959478,0.596780224769193,8.29041624411779,1.1285283733722e-16,2.99494068318007e-14
"AP006585.1-82664-minus",33.1803207840703,3.34893344796547,0.407689098047411,8.21442973090249,2.1317488325502e-16,5.25323819449871e-14
"BA000022.2-1511125-plus",29.4022621817495,4.14204391967254,0.510846484693158,8.10819697068186,5.13764060510705e-16,1.10780375547621e-13
"BA000022.2-597201-plus",133.694380338373,-3.15089887996415,0.388542489990519,-8.10953489293035,5.08138872499908e-16,1.10780375547621e-13
"BA000022.2-298952-minus",21.6342837283375,4.5985346918627,0.575164177990472,7.99516880193967,1.29396461520979e-15,2.48009884581875e-13
"BA000022.2-460231-minus",34.5058481280881,5.76440847801577,0.720505810824589,8.00050241290718,1.23912565130916e-15,2.48009884581875e-13
"BA000022.2-917149-plus",77.1408883323694,2.34311075503315,0.302235600379006,7.75259682213104,9.00321210879103e-15,1.6347937776489e-12
