"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"BA000022.2-298948-minus",247.155113631265,-2.96387116603883,0.264818094063653,-11.1921021730729,4.45738666799342e-29,1.53779840045773e-25
"BA000022.2-2961377-plus",120.193013900024,4.38252590299511,0.423804871465479,10.3409049731796,4.60171187943956e-25,7.93795299203324e-22
"BA000022.2-597201-plus",133.694380338373,3.93114857548376,0.386159193800786,10.180124255987,2.43250566869872e-24,2.79738151900352e-21
"BA000022.2-943753-plus",67.3630499848802,-3.94953372098808,0.392754590998263,-10.0559835874854,8.64537455594342e-24,7.4566355545012e-21
"BA000022.2-1958360-plus",115.896674758968,-2.91021791179241,0.291793893883668,-9.97353944957,1.99007734731316e-23,1.37315336964608e-20
"BA000022.2-726537-minus",74.337990399998,-3.57420628484943,0.362032214881666,-9.87261944635976,5.47167192532488e-23,3.14621135706181e-20
"BA000022.2-959937-plus",346.541256449,2.66710792687757,0.274522222317238,9.71545365021657,2.59092695999269e-22,1.27695685885354e-19
"BA000022.2-811104-minus",64.2647610873989,-3.75832851274678,0.401355663915432,-9.36408490186073,7.67121373446065e-21,3.30821092298616e-18
"BA000022.2-3324448-minus",32.9861838947623,-4.43425815010189,0.478224751949638,-9.27233091140557,1.82121629830511e-20,6.9813291435029e-18
"BA000022.2-946051-plus",41.3865891916668,-4.43070208884212,0.485136321001323,-9.1329012012482,6.66877153671106e-20,2.30072618016532e-17
"BA000022.2-1431349-plus",233.149923455759,3.94001167982143,0.451856023919617,8.71961746939627,2.79143250409602e-18,8.75494739921024e-16
"BA000022.2-726531-minus",63.067603188926,-3.33714269117606,0.387593619771102,-8.60990099152524,7.31237032617428e-18,2.10230646877511e-15
"BA000022.2-298934-minus",59.6871363967858,-2.82273510027578,0.332505638182327,-8.48928492072052,2.07912417309982e-17,5.51767569014952e-15
"BA000022.2-1511125-plus",29.4022621817495,-4.90620395813349,0.579626567200539,-8.46442215688855,2.57425787698176e-17,6.34370691113362e-15
"AP004311.1-91410-plus",295.111230512051,2.27165027412892,0.273699524462197,8.2997962038574,1.04290138269913e-16,2.398673180208e-14
"BA000022.2-484800-minus",102.951064593151,4.02233788651371,0.493252369995479,8.15472591961509,3.49972630605714e-16,7.54628484743571e-14
