"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"AP004311.1-39245-plus",305.422716009441,-3.95322026729499,0.0983458026384419,-40.1971427477042,0,0
"BA000022.2-1695781-minus",2736.88787025007,-3.91055339061038,0.0842528630236704,-46.4144867042883,0,0
"BA000022.2-1957511-plus",991.241966128729,-3.96899431784248,0.0874314756122732,-45.3954858939305,0,0
"BA000022.2-2132496-minus",462.889469771614,-3.40405392225814,0.0850601654985233,-40.0193663192113,0,0
"BA000022.2-2185828-minus",322.301751192458,-5.02428334774602,0.133702037403238,-37.5782108135948,0,0
"BA000022.2-2219261-plus",271.571818855016,-3.51719379964544,0.0892346007392191,-39.4151346059603,0,0
"BA000022.2-2613630-minus",1396.55893173373,-3.77657304804669,0.0838901828534482,-45.0180571741531,0,0
"BA000022.2-3116774-minus",226.429577291234,-3.96007068178988,0.104863922167117,-37.7639001093139,0,0
"BA000022.2-3140221-minus",747.348474707394,-3.07896336959167,0.0611866170209045,-50.3208629517748,0,0
"BA000022.2-3229657-plus",441.46988676102,-4.25976440950308,0.0975065350647279,-43.6869632038029,0,0
"BA000022.2-3323053-plus",258.488354700663,-4.10336048826194,0.104192045855322,-39.3826654863823,0,0
"BA000022.2-729448-minus",730.843395935491,-3.58078908336081,0.0852611242695679,-41.997910701242,0,0
"BA000022.2-924270-minus",785.204337290415,-4.12435925812848,0.106313189794824,-38.7944267883239,0,0
"BA000022.2-957889-plus",702.640946297094,-3.58519934944134,0.0926947316960967,-38.6774877475837,0,0
"BA000022.2-1823541-plus",574.33043830493,-4.37783902946945,0.117529862805404,-37.2487376822511,1.11062715958615e-303,8.3393291322792e-301
"AP006585.1-82696-minus",685.588991978114,-3.92156453453489,0.10529504808562,-37.2435798818012,1.34604599024451e-303,9.47532249257744e-301
"BA000022.2-1957512-plus",350.479761950395,-4.56825432296342,0.124261049308942,-36.7633650960543,7.11104504011384e-296,4.71127648745895e-293
"BA000022.2-146868-minus",467.231946435746,-3.76313730157019,0.102580971293197,-36.6845551775327,1.28766972897028e-294,8.05723564299568e-292
"BA000022.2-3248010-minus",214.611402432461,-3.75549761973028,0.103553012537958,-36.2664255504268,5.4753328050165e-288,3.24571965173162e-285
"BA000022.2-2512423-minus",328.208029690284,-3.89955978529478,0.107733911053211,-36.1962147959961,6.9826688251748e-287,3.93228994889719e-284
"BA000022.2-1116428-minus",244.302885920275,-3.81148932364431,0.105869081091293,-36.0019118363519,7.80843872986628e-284,4.18792597211828e-281
"BA000022.2-771595-minus",544.991741037915,-3.6736192977501,0.102734362002713,-35.7584281065871,4.89335334340281e-280,2.50517448667026e-277
"BA000022.2-1284582-plus",285.605348139676,-3.32605841400163,0.0933909842031174,-35.61434160248,8.4036433286199e-278,4.11522760044548e-275
"BA000022.2-3182134-minus",865.197124101844,-3.47454522414587,0.0977544939390519,-35.5435856106235,1.04383933983709e-276,4.8986510352438e-274
"BA000022.2-3259922-minus",167.094493712192,-3.61095834639096,0.101723056884025,-35.4979338706645,5.28976202642432e-276,2.38314358814468e-273
"BA000022.2-1550592-plus",219.256631919129,-3.81237509649157,0.108424186028051,-35.1616667475394,7.71063798426068e-271,3.21647835617511e-268
"BA000022.2-581833-plus",259.533161775369,-2.74819921196161,0.0781566422976439,-35.1627082634339,7.4331474443551e-271,3.21647835617511e-268
"BA000022.2-986294-plus",920.106218167507,-5.98855391490764,0.170601121434952,-35.1026644170741,6.1384496574023e-270,2.46919137469008e-267
"BA000022.2-1723066-minus",289.453074508191,-3.45178853907434,0.0987260299745998,-34.9633074475132,8.12921373720363e-268,3.15721842490084e-265
"BA000022.2-1427731-minus",414.667071877652,-3.22575970474444,0.0924461273153735,-34.893400063585,9.36170221347259e-267,3.51469506767806e-264
"BA000022.2-2205702-plus",206.216397487744,-3.91663032145658,0.112535997888741,-34.8033553257224,2.16398114235217e-265,7.86223213106853e-263
"BA000022.2-2823686-minus",169.902604698848,-4.02604317074287,0.116299754269401,-34.6178132192507,1.36316045900443e-262,4.79789882805214e-260
"AP006585.1-82697-minus",1363.1488566858,-3.19637185972313,0.0925002720208414,-34.5552698375086,1.18789799311975e-261,4.05433184742658e-259
"BA000022.2-3414715-minus",199.01047945307,-3.78320304708692,0.110119859199142,-34.3553204172312,1.17297094052691e-258,3.88563873622193e-256
