locus_tag	localization	sense_tags	annotation	antisense_tags	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
TU951	Chr	sll1732; sll1733; sll1734	NADH dehydrogenase subunit 5 (involved in low CO2- inducible; high affinity CO2 uptake) ; NADH dehydrogenase subunit 4 (involved in low CO2- inducible; high affinity CO2 uptake) ; protein involved in low CO2-inducible; high affini ty CO2 uptake	NA	8326.329327098316	-4.149221643275714	0.129668747602285	-31.998625112058978	1.139509306798999e-224	4.390529359096543e-221
TU1521	Chr	ncl0690; sll1594	ncRNA; ndhF3 operon transcriptional regulator; LysR famil y protein	slr1726; ncr0590	723.2732972863068	-4.638145826283764	0.18519456578556642	-25.044718815638426	1.9931777759694281e-138	3.8398569854051033e-135
TU1647	Chr	HliR1	NA	NA	1357.2261227295635	-5.466881365771405	0.2331267071334184	-23.450257728912668	1.3139256921848078e-121	1.6875185639960215e-118
TU3421	Chr	sll0529	hypothetical protein	slr0554	2806.5686117839696	-2.3257519098644863	0.10018362031768754	-23.214891840496524	3.220678892468831e-119	3.102318943170601e-116
TU756	Chr	slr2006; slr2007	hypothetical protein ; NADH dehydrogenase subunit 4	NA	1391.8621572041618	-3.594471790422438	0.15961637072724374	-22.519443175191327	2.677108391726037e-112	2.062979726664084e-109
TU1642	Chr	slr1512; slr1513	sodium-dependent bicarbonate transporter ; periplasmic protein; function unknown	NA	7197.064314552314	-4.275892403845568	0.19300464461743116	-22.154349768738115	9.471771358461107e-109	6.082455840691774e-106
TU1954	Chr	ncr0840; slr1279; slr1280; slr1281	ncRNA; NADH dehydrogenase subunit 3 ; NADH dehydrogenase subunit NdhK ; NADH dehydrogenase subunit I	NA	3054.242235786515	-1.6168966189853236	0.07612959286945023	-21.238739865035612	4.1897908896543856e-100	2.3061806139769068e-97
TU156	Chr	sll0217; sll0218; sll0219	flavoprotein Flv4; hypothetical protein Flv2; flavoprotein	NA	2445.0587393280075	-3.18818903214222	0.1545278963486721	-20.631802460757548	1.4224798391718887e-94	6.851018525411609e-92
TU1641	Chr	NA	NA	NA	491.5012285609954	-5.551542398250072	0.27875765464867985	-19.915300282055817	2.9984942980192015e-88	1.2836887255853315e-85
TU3434	Chr	sll0519; sll0520; sll0521; sll0522	NADH dehydrogenase subunit 1 ; NADH dehydrogenase subunit NdhI ; NADH dehydrogenase subunit 6 ; NADH dehydrogenase subunit 4L	slr0557	7594.616074410415	-1.6139461608004757	0.08431887975531778	-19.14098201356486	1.150805598286574e-81	4.43405397019817e-79
TU949	Chr	sll1735	secreted protein MPB70	NA	1583.9674033827632	-2.7953272228407795	0.1563996647738163	-17.872974516175304	1.9150526887324323e-71	6.707907281532783e-69
TU2578	Chr	slr0006; slr0007	unknown protein ; probable sugar-phosphate nucleotidyltransferase	NA	2251.2328514107617	-1.8652561297038772	0.1084400175584877	-17.200809919620692	2.61845794871199e-66	8.40743206365608e-64
TU2582	Chr	slr0009	ribulose bisophosphate carboxylase	NA	7854.827126890519	-1.7046165809765168	0.1075016251211283	-15.856658716143375	1.2644447743808303e-56	3.7476197812994913e-54
TU2196	Chr	sll0262	delta-6 desaturase	NA	500.53216574100185	-2.1117224251411875	0.13509654683608574	-15.631209491263796	4.462514812462321e-55	1.2281478266012373e-52
TU1803	Chr	slr1350	fatty acid desaturase	SyR7; sll1247	973.5500532948547	-1.4220171874592753	0.09356027714739035	-15.198941589485653	3.593806649481837e-52	9.231291346969013e-50
TU924	Chr	slr2075; slr2076	10kD chaperonin ; 60kD chaperonin	NA	26334.147143783593	2.3469222179113007	0.1567989634908614	14.967715128091934	1.193517430574394e-50	2.874139162501962e-48
TU5051	pSYSM	sll5046; ssl5045; sll5044; sll5043	sll5046; ssl5045; sll5044; sll5043	NA	8752.00327416613	-2.441338652147259	0.16592863914140205	-14.713184322971422	5.305110055185084e-49	1.202387590742831e-46
TU5060	pSYSM	slr5053; slr5054	slr5053; slr5054	NA	1976.2423054466308	-2.832587597660213	0.19336314198524568	-14.64905652948249	1.3659931029778605e-48	2.923984125429831e-46
TU3085	Chr	slr0513	periplasmic iron-binding protein	NA	1076.9014277635854	1.7969613846286099	0.12366349816842784	14.53105735518799	7.702229309843986e-48	1.561931027938362e-45
TU1063	Chr	slr1232	unknown protein	NA	569.6207565759008	1.782898827597023	0.12806602212299104	13.921716299462918	4.675404910404035e-44	9.007167559893373e-42
TU3211	Chr	slr0787	bifunctional nicotinamide mononucleotide adenylyltransferase.ADP-ribose pyrophosphatase	NA	565.1530997678216	1.9157320462035097	0.14097271720959395	13.589381577679726	4.6297570476487436e-42	8.494501859328862e-40
TU7074	pSYSA	NA	NA	sll7077	236.44773529924788	-1.807108969058972	0.13303747599783391	-13.583458010646526	5.019929313200762e-42	8.791721656255697e-40
TU282	Chr	slr1291	NAD(P)H-quinone oxidoreductase subunit 4	sll1200	1515.1182174891712	-2.3708358734075556	0.17860787637033476	-13.273971571621749	3.2773971890357224e-40	5.490352769284625e-38
TU289	Chr	ssl2384; sll1198	unknown protein ; tRNA (guanine-N1)-methyltransferase	slr1295	2020.7176395393692	2.5124434317819255	0.19188050760423453	13.093791876786131	3.573145176381276e-39	5.736386818582106e-37
TU517	Chr	slr1763	probable methyltransferase	sll1642	514.89956087469	-1.5225195557032118	0.11658146468480504	-13.05970515827336	5.594403320128247e-39	8.622094396981655e-37
TU445	Chr	sll1514	chaperone	ncr0220; slr1597	20640.588377461187	5.133521019233451	0.39371393725764686	13.03870788773746	7.369538812672888e-39	1.0921089632780244e-36
TU2859	Chr	slr0423; ncr1390; ssr0706	hypothetical protein ; ncRNA; unknown protein	sll0372; sll0373; sll0374; ncl1370	963.4153088466924	-1.3720905327184196	0.10687121904712919	-12.838728190359097	9.949554635011666e-38	1.4198382966185167e-35
TU1394	Chr	sll0846	hypothetical protein	slr0861	912.6438371776205	1.8205193697235753	0.14264754234612018	12.762360569145066	2.6601569139086178e-37	3.6605659247463946e-35
TU1805	Chr	slr1351	UDP-N-acetylmuramoylalanyl-D-glutamyl-2;6-diamino-pimelate-D-alanyl-D-alanine ligase	sll1245; SyR7; sll1247	1136.6291923637693	-2.4366464937475456	0.1916477877065793	-12.714190562315032	4.931899551129866e-37	6.552623782932198e-35
TU3343	Chr	sll0517	RNA binding protein	NA	4576.780966212113	-1.8882194965686474	0.1485658049073737	-12.709650768869023	5.2267337032110764e-37	6.71286831949076e-35
TU2009	Chr	ncr0890; slr1167; slr1168; slr1169	ncRNA; glycerol dehydrogenase ; unknown protein ; unknown protein	NA	1639.8991946426745	1.3726273017304622	0.10845665702546199	12.65599862079665	1.0364915691810113e-36	1.2882587148562698e-34
TU1027	Chr	NA	NA	sll1634	420.37846631675086	1.5708251001727147	0.12450541097378871	12.616520743049552	1.7122023238883414e-36	2.0615986106068062e-34
TU3046	Chr	slr0083	ATP-dependent RNA helicase DeaD	sll0080	1608.755423058362	-1.2109273995170333	0.09794998129310109	-12.362711901838031	4.158856140500668e-35	4.855779608893659e-33
TU1330	Chr	sll1694; sll1695; sll1696	pilin polypeptide PilA1 ; pilin polypeptide PilA2 ; hypothetical protein	slr1815; slr1816	1426.4097411115772	-1.5431833710880842	0.13026359252493147	-11.84662069559252	2.2404467072276644e-32	2.5389532832200564e-30
TU1359	Chr	sll1621	membrane protein	slr1736; slr1737	2684.4043161424074	1.3040300860224874	0.11053090959365633	11.797877089915211	4.0028249891107963e-32	4.4065384808696854e-30
TU146	Chr	sll0223	NAD(P)H-quinone oxidoreductase subunit 2	NA	5362.189198807515	-1.5288929166097667	0.1299767235076637	-11.762820875536379	6.067272744904014e-32	6.493667190587545e-30
TU823	Chr	ncl0360; ssl2084; sll1069	ncRNA; acyl carrier protein ; 3-oxoacyl-[acyl-carrier-protein] synthase II	NA	2427.369134893809	-1.0668646670780184	0.09305238179447271	-11.465205366096173	1.9729101611573155e-30	2.0544926624159826e-28
TU2501	Chr	ssl1426; sll0767	50S ribosomal protein L35 ; 50S ribosomal protein L20	NA	2289.037058966052	-1.0447819564739775	0.09166260531719703	-11.398126344527583	4.272144582576228e-30	4.331729757017423e-28
TU3112	Chr	slr0616	unknown protein	NA	285.5921375001856	-2.1084216403042855	0.19207111343838051	-10.977296911337481	4.914082763190326e-28	4.854861765787776e-26
TU757	Chr	slr2008; slr2009; slr2010; ssr3409; ssr3410; slr2011; slr2012; slr2013	hypothetical protein ; NADH dehydrogenase subunit 4 ; hypothetical protein ; hypothetical protein ; hypothetical protein ; hypothetical protein ; hypothetical protein ; hypothetical protein	sll1924	1354.6538776301252	-1.5749912384570706	0.14367323899369006	-10.962314551328811	5.799679555004023e-28	5.586541331357625e-26
TU1296	Chr	slr2135	hydrogenase accessory protein HupE 	NA	359.0072393579513	-1.3972115370863563	0.12900777939728297	-10.830444052397842	2.469548014212185e-27	2.3207728045754993e-25
TU7053	pSYSA	slr7057; slr7058	slr7057; slr7058	sll7056	2346.3357073052175	1.1743943611235865	0.10848766691261204	10.825141645543669	2.6167424167303907e-27	2.400549650395761e-25
