locus_tag	gene_name	gene_product	TUs	rowname	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
CRISPR3	CRISPR3 array	CRISPR3 array		AP004311.1-91410-plus	317.70781458688896	2.67614145712376	0.28320006990291585	9.44964970538733	3.399664983496584e-21	1.2670551393491767e-17
CRISPR3	CRISPR3 array	CRISPR3 array		AP004311.1-92112-plus	66.39720877235364	2.415948092727405	0.3174211127346906	7.6111764334552054	2.7161214909280545e-14	5.0614923983444296e-11
CRISPR3	CRISPR3 array	CRISPR3 array		AP004311.1-92691-plus	45.5128806411881	3.3508703526611447	0.4550534680319653	7.363684903123873	1.7890170132028027e-13	1.6669166020517114e-10
CRISPR3	CRISPR3 array	CRISPR3 array		AP004311.1-92716-plus	41.060899801149866	3.4824209705360576	0.4717690326168958	7.381622636863468	1.5637188280889807e-13	1.6669166020517114e-10
CRISPR3	CRISPR3 array	CRISPR3 array		AP004311.1-91779-plus	85.54808174415388	2.624964844531366	0.359516948345285	7.301366059689386	2.848605639226209e-13	2.123350643479216e-10
CRISPR3	CRISPR3 array	CRISPR3 array		AP004311.1-90391-plus	21.395565157141657	4.274904239080585	0.6163227486593864	6.936145466607027	4.029426978559667e-12	2.379011710796379e-9
CRISPR3	CRISPR3 array	CRISPR3 array		AP004311.1-91880-plus	94.90615289398002	2.175737070351507	0.31434381993658195	6.921520107474855	4.468226985665321e-12	2.379011710796379e-9
sll7106	sll7106	exodeoxyribonuclease V alpha chain		AP004311.1-91500-minus	24.197102215159106	4.183664760720755	0.6222267414655488	6.723698102185142	1.7716932631330895e-11	7.336778657441138e-9
CRISPR3	CRISPR3 array	CRISPR3 array		AP004311.1-92030-plus	22.53381887493719	3.1008099908202245	0.4609353805285794	6.727211929933343	1.729447637680639e-11	7.336778657441138e-9
CRISPR3	CRISPR3 array	CRISPR3 array		AP004311.1-90248-plus	55.48859183997893	2.3798536379523467	0.3619228098894798	6.5755834474181984	4.846275437517755e-11	1.8062068555628674e-8
sll7106,sll7090	NA	NA	TU7079	AP004311.1-85300-minus	23.00971492076411	2.7560088641275544	0.4359206950742482	6.32227121875491	2.577464668892279e-10	8.732918928146841e-8
CRISPR3	CRISPR3 array	CRISPR3 array		AP004311.1-90899-plus	56.22511248456526	2.1926367643154627	0.3482360263007824	6.296409902235714	3.046182004167384e-10	9.460933607943201e-8
CRISPR3	CRISPR3 array	CRISPR3 array		AP004311.1-91804-plus	33.01004255684327	2.6514235386829323	0.4317270621188312	6.141434650101082	8.177946977009203e-10	2.3445544910241e-7
CRISPR3	CRISPR3 array	CRISPR3 array		AP004311.1-91509-plus	40.89041613829389	2.3451376619440327	0.3899430885480412	6.014051103396106	1.809434272351885e-9	4.816972523611054e-7
CRISPR3	CRISPR3 array	CRISPR3 array		AP004311.1-92537-plus	15.557477833545295	3.898536955155772	0.6503685595642982	5.994350276968372	2.0430059166714587e-9	5.076188700956351e-7
slr1841	slr1841	probable porin	TU971	BA000022.2-959231-plus	88.86875654592308	2.5730056869174187	0.4362045597414831	5.898621711892035	3.6655053096754347e-9	8.538336430725215e-7
sll7106	sll7106	exodeoxyribonuclease V alpha chain	TU7058	AP004311.1-52732-minus	20.33258396262305	3.416725902975974	0.5930641479119612	5.761140535986637	8.354743742135982e-9	1.8316547015847533e-6
CRISPR3	CRISPR3 array	CRISPR3 array		AP004311.1-90128-plus	19.358437578115577	2.8712527764726454	0.4995745374128547	5.747396157021922	9.062822311348638e-9	1.8765077085775763e-6
sll7106,sll7090	NA	NA	TU7079	AP004311.1-87746-minus	14.592167105252448	3.530279600728192	0.6281017370457856	5.620553793295514	1.9034631044052707e-8	3.733793152693918e-6
CRISPR3	CRISPR3 array	CRISPR3 array		AP004311.1-90681-plus	66.73747234211946	2.0763854811298255	0.3764386965698472	5.5158661956119	3.4706625056407276e-8	6.4675795792614954e-6
CRISPR3	CRISPR3 array	CRISPR3 array		AP004311.1-91708-plus	13.302754027557981	3.209473407469236	0.5872606492460294	5.4651599959742	4.624894628936268e-8	8.208086800974035e-6
sll7106	sll7106	exodeoxyribonuclease V alpha chain		AP004311.1-91499-minus	15.443776397409517	4.232757607511719	0.7892516394377364	5.363001349641971	8.185039441475371e-8	1.3866200908353958e-5
slr0623	trxA	thioredoxin	TU3128	BA000022.2-2961377-plus	136.92870436227253	2.3685477686398744	0.44976639796916906	5.266173238673636	1.392968429272997e-7	2.2572144938697654e-5
CRISPR3	CRISPR3 array	CRISPR3 array		AP004311.1-92235-plus	16.564398181557834	2.668731808045422	0.5087677839654025	5.245481125485144	1.5587501772853332e-7	2.420609129476015e-5
slr0476	slr0476	unknown protein	TU2753	BA000022.2-2613286-plus	137.4799265698228	1.5863111684615887	0.303208471044863	5.231750824754751	1.6791199512805487e-7	2.5032320233690423e-5
	NA	NA	TU7069	AP004311.1-66602-plus	32.58834777517609	2.4217496004842105	0.4662805509119368	5.193760699964494	2.0608801019870143e-7	2.9541923615790776e-5
sll7106	sll7106	exodeoxyribonuclease V alpha chain	TU7078	AP004311.1-83463-minus	24.924409605045206	2.3251774846519915	0.45206424399889283	5.143466919842672	2.697141643754384e-7	3.590088180811639e-5
sll7106	sll7106	exodeoxyribonuclease V alpha chain		AP004311.1-91486-minus	41.97600608079007	1.960437368261793	0.38106959591522893	5.144565164148922	2.6814116726956216e-7	3.590088180811639e-5
sll7106,sll7066	NA	NA	TU7058	AP004311.1-59573-minus	14.098590476742642	2.9663803210074198	0.5869070708824919	5.054258958828145	4.3206504512185564e-7	5.526558296774491e-5
CRISPR3	CRISPR3 array	CRISPR3 array		AP004311.1-91335-plus	12.309436456569658	2.8622388711325972	0.5669271925463237	5.048688630151963	4.4485309606448814e-7	5.526558296774491e-5
sll7106,sll7090	NA	NA	TU7079	AP004311.1-86891-minus	9.007353625947072	4.735684182177225	0.9484865812265054	4.992884744930629	5.948405801022383e-7	7.151518845293684e-5
sll7106	sll7106	exodeoxyribonuclease V alpha chain	TU7086	AP004311.1-90406-minus	14.354802978000567	4.953780223775414	0.9970377386097111	4.968498214203067	6.747342159903361e-7	7.858545071862446e-5
sll7106	sll7106	exodeoxyribonuclease V alpha chain		AP004311.1-91931-minus	10.724059030171263	3.3394896922240926	0.6832094313552309	4.887944368097787	1.0189431268592728e-6	1.1507881920619726e-4
slr1841	slr1841	probable porin	TU971	BA000022.2-959233-plus	55.923911782644964	2.048815889608754	0.4197003574460149	4.88161578435703	1.0522011365893598e-6	1.1533981282554541e-4
slr1841	slr1841	probable porin	TU971	BA000022.2-959232-plus	70.60641976164874	2.07883859245471	0.4263902185326679	4.875436870030919	1.0856791361359593e-6	1.1560931829653486e-4
slr0623	trxA	thioredoxin	TU3128	BA000022.2-2961358-plus	71.70491911844445	1.9857898102758165	0.4254077403409615	4.667968214880667	3.041929448542198e-6	3.149241959643547e-4
	NA	NA	TU2746	BA000022.2-2610072-plus	15.04459684681091	2.3810764863345466	0.5141529541790257	4.631066430682155	3.6378712031653957e-06	3.66441783086417e-4
CRISPR3	CRISPR3 array	CRISPR3 array		AP004311.1-92334-plus	71.25848390352306	1.4885863499267875	0.3227433813950907	4.61229086555462	3.982551658277187e-6	3.906044744841862e-4
CRISPR3	CRISPR3 array	CRISPR3 array		AP004311.1-91362-plus	429.7343814431075	1.304292792467264	0.28657025636584815	4.551389278872496	5.329284082248301e-6	5.092882506292159e-4
sll7106,sll7090	NA	NA	TU7079	AP004311.1-87752-minus	8.556132102525053	3.2283629810931993	0.7239231540487274	4.459538230042435	8.213642227774036e-6	7.653061145728458e-4
sll7106,sll7090	NA	NA	TU7079	AP004311.1-87381-minus	4.118960390588951	5.933256505116656	1.3338133936732586	4.448340774849134	8.653616216056531e-6	7.866348204205535e-4
slr0623	trxA	thioredoxin	TU3128	BA000022.2-2961359-plus	38.886551852968516	2.2215307745219364	0.5017895100319046	4.427216452533429	9.545693110424084e-6	8.470666243464419e-4
sll7106	sll7106	exodeoxyribonuclease V alpha chain	TU7086	AP004311.1-90405-minus	16.650593431544113	3.9696961680322294	0.9014557712837563	4.403650511193705	1.0644437386970677e-5	9.226004218892957e-4
6803r02	6803r02	23S rRNA		BA000022.2-2448931-minus	27.48708090650806	1.9589779325431165	0.4474878799636805	4.377722884253565	1.1992569570546394e-5	0.0010158251543051456
sll7106,sll7090	NA	NA	TU7079	AP004311.1-87517-minus	7.32888539984322	3.2520875041630273	0.7463943930123653	4.357063148663217	1.3181924543583776e-5	0.0010917562838652607
sll7106	sll7106	exodeoxyribonuclease V alpha chain	TU7079	AP004311.1-83791-minus	13.984817548355714	2.5304321063088597	0.5821336655874504	4.346823171196115	1.3812348391282861e-5	0.0011191004881372004
sll7106,sll7062	NA	NA	TU7058	AP004311.1-53130-minus	3.675972405861976	5.843656999717983	1.3523029664049728	4.3212631672716375	1.551385083897128e-5	0.0011959824940247683
sll7106	sll7106	exodeoxyribonuclease V alpha chain		AP004311.1-91207-minus	4.583250732269516	5.773842598647623	1.335260776466066	4.324131061446152	1.531342423428327e-5	0.0011959824940247683
