location	TU ID	TU start	TU end	Strand	TU type	alternative starts	Internal starts	5'UTR	3'UTR	genes	15C	42C	-CO2	Darkness	-Fe	Hl	-N	-P	Exp. p.	Stat. p.	Max cond.	Max reads	Average	Max/Avg	UEF	Sense tags	Annotation	Antisense TUs	Antisense tags
Chr	TU1	105	6	-	a	NA	NA	NA	NA	0	240	133	230	0	198	193	678	213	106	180	-N	678	217.1	3.12	2.83	NA	NA	NA	slr0611-2
Chr	TU1752	1704238	1705842	+	gai	NA	NA	137	43	1	84366	127645	95775	110248	25203	23003	95389	145051	17	225162	stat. P.	225162	93185.9	2.42	1.55	slr0817	menaquinone-specific isochorismate synthase	TU1753	NA
Chr	TU3	909	810	-	a	NA	NA	NA	NA	0	288	33	326	0	364	205	527	155	372	45	-N	527	231.5	2.28	1.42	NA	NA	TU2	slr0612
Chr	TU4	1532	2150	+	ga	NA	NA	45	52	1	3499	3002	2972	187	3263	2533	3463	3028	834	1261	15C	3499	2404.2	1.46	1.01	slr0613	hypothetical protein	TU5	sll0558
Chr	TU6	2151	2701	+	a	NA	NA	NA	NA	0	1390	500	805	37	1248	929	2334	1087	1496	360	-N	2334	1018.6	2.29	1.56	NA	NA	TU5	sll0558
Chr	TU5	2900	2061	-	ga	2899	NA	27	111	1	2588	601	518	280	1479	1369	941	1106	802	450	15C	2588	1013.4	2.55	1.75	sll0558	hypothetical protein YCF53	"TU4, TU6"	slr0613
Chr	TU7	3182	2955	-	n	NA	NA	NA	NA	0	383	133	479	19	750	1809	376	175	1873	135	exp. P.	1873	613.2	3.05	1.04	NA	NA	NA	NA
Chr	TU8	4349	3183	-	g	NA	NA	81	9	1	27323	10473	48166	1869	41807	30289	30077	39882	48480	4818	exp. P.	48480	28318.4	1.71	1.01	sll1214	magnesium-protoporphyrin IX monomethyl ester cyclase	NA	NA
Chr	TU9	6656	4350	-	g	NA	4988	34	101	2	1822	33	824	0	1854	2925	565	757	2003	315	HL	2925	1109.8	2.64	1.46	"sll1212, sll1213"	"GDP-mannose 4,6-dehydratase , GDP-fucose synthetase"	NA	NA
Chr	TU10	6761	6657	-	n	NA	NA	NA	NA	0	1486	233	2780	19	2347	8377	1995	1300	1742	225	HL	8377	2050.4	4.09	3.01	NA	NA	NA	NA
Chr	TU11	6837	6762	-	n	NA	NA	NA	NA	0	959	133	671	206	263	229	452	349	99	180	15C	959	354.1	2.71	1.43	NA	NA	NA	NA
Chr	TU13	7180	8379	+	ga	NA	NA	49	68	1	188003	87721	209210	25324	135821	378801	188031	160830	138086	57957	HL	378801	156978.4	2.41	1.81	slr1311	photosystem II D1 protein	TU12	NA
Chr	TU12	7210	6838	-	an	NA	NA	NA	NA	0	1055	300	844	0	809	446	1807	640	633	0	-N	1807	653.4	2.77	1.71	NA	NA	TU13	slr1311
Chr	TU14	8457	10737	+	ga	NA	8819	35	266	1	671	400	383	0	638	736	339	582	2092	90	exp. P.	2092	593.1	3.53	2.84	slr1312	arginine decarboxylase	NA	sll1209
Chr	TU15	12184	11793	-	i	NA	NA	NA	NA	0	527	467	824	0	1479	754	1807	854	193	405	-N	1807	731	2.47	1.22	sll1209	DNA ligase 	NA	NA
Chr	TU17	12746	13436	+	ga	NA	NA	36	73	1	431	1901	1016	0	616	694	1506	1009	930	360	42C	1901	846.3	2.25	1.26	slr1315	hypothetical protein	"TU16, TU18"	NA
Chr	TU16	12851	12719	-	a	NA	NA	NA	NA	0	48	67	115	0	584	525	113	252	1085	0	exp. P.	1085	278.9	3.89	1.86	NA	NA	TU17	slr1315
Chr	TU18	13001	12891	-	a	12992	NA	NA	NA	0	623	300	614	19	594	483	866	679	696	135	-N	866	500.9	1.73	1.24	NA	NA	TU17	slr1315
Chr	TU19	13437	13538	+	g	NA	NA	61	NA	1	0	400	77	19	3311	187	75	39	138	45	-Fe	3311	429.1	7.72	8.28	slr1316	iron(III) dicitrate ABC transporter permease	NA	NA
Chr	TU20	14365	14261	-	a	"14362, 14364"	NA	NA	NA	0	13566	834	5867	485	4752	5338	6777	4560	3020	2837	15C	13566	4803.6	2.82	2	NA	NA	NA	slr1316
Chr	TU21	14742	14857	+	i	NA	NA	NA	NA	0	48	33	77	19	702	145	151	39	271	45	-Fe	702	153	4.59	2.59	slr1317	ABC-type iron(III) dicitrate transport system perm ease protein 	NA	NA
Chr	TU22	15763	15585	-	a	NA	NA	NA	NA	0	0	0	19	0	514	66	113	0	280	45	-Fe	514	103.7	4.96	1.84	NA	NA	NA	slr1317
Chr	TU23	15908	17802	+	ga	NA	NA	29	115	2	288	300	192	0	6258	368	188	175	217	0	-Fe	6258	798.6	7.84	17.01	"slr1318, slr1319"	"iron(III) dicitrate transport system ATP-binding p rotein , iron(III) dicitrate transport system substrate-bin ding protein"	TU24	sll1206
Chr	TU25	19470	19569	+	a	NA	NA	NA	NA	0	336	233	518	37	284	989	1054	175	1365	45	exp. P.	1365	503.6	2.71	1.3	NA	NA	TU24	sll1206
Chr	TU24	20447	17261	-	ga	NA	NA	39	592	1	0	0	0	0	151423	133	0	0	7	0	-Fe	151423	15156.3	9.99	1138.52	sll1206	ferric aerobactin receptor	"TU23, TU25"	"slr1318, slr1319"
Chr	TU26	20842	20943	+	a	NA	NA	NA	NA	0	1774	200	690	168	1479	905	339	932	462	405	15C	1774	735.4	2.41	1.2	NA	NA	NA	sll1205
Chr	TU27	20964	21282	+	a	NA	NA	NA	NA	0	527	300	709	19	4281	5730	414	1261	6389	135	exp. P.	6389	1976.5	3.23	1.12	NA	NA	NA	sll1205
Chr	TU28	26256	26379	+	a	NA	NA	NA	NA	0	575	33	192	0	413	241	527	213	188	45	15C	575	242.7	2.37	1.09	NA	NA	TU29	sll1409
Chr	TU29	26428	26327	-	ai	NA	NA	NA	NA	0	96	100	115	0	273	42	527	175	58	0	-N	527	138.6	3.8	1.93	NA	NA	TU28	NA
