"","dIF11_0h","dIF11_1h","dIF12_0h","dIF12_1h","dIF31_0h","dIF31_1h","dWT1_0h","dWT1_1h","dWT2_0h","dWT2_1h","dWT3_0h","dWT3_1h"
"AP004310.1-102539-minus",4.44946087297748,20.9688917814291,7.9989666679485,18.2006844948767,3.24790587629605,18.4612399007412,2.68399956807058,7.69420375591536,6.08255360450578,10.6126693872545,7.44010661734759,30.7770028212457
"AP004310.1-102688-plus",6.22924522216847,11.1011780019331,10.665288890598,14.5605475959014,9.74371762888814,10.7690566087657,23.261329589945,18.4660890141969,3.04127680225289,14.8577371421563,8.50297899125439,11.3988899337947
"AP004310.1-102771-minus",20.4675200156964,12.3346422243701,7.33238611228613,10.0103764721822,11.6924611546658,8.46140162117307,15.2093308857333,18.4660890141969,16.7270224123909,19.1028048970581,18.0688303564156,22.7977798675894
"AP004310.1-103186-plus",4.44946087297748,29.6031413384882,7.9989666679485,15.4705818206452,12.9916235051842,20.7688948883339,13.4199978403529,15.3884075118307,9.12383040675868,20.1640718357835,14.8802132346952,19.378112887451
"AP004310.1-103620-plus",10.6787060951459,9.86771377949607,6.66580555662375,8.19030802269454,6.49581175259209,7.69218329197552,14.3146643630431,9.23304450709843,21.2889376157702,13.7964702034308,17.0059579825088,15.9584459073126
"AP004310.1-105276-plus",43.6047165551793,32.0700697833622,37.9950916727554,38.2214374392412,35.0773834639973,29.9995148387045,25.0506626353254,33.8544965260276,30.4127680225289,35.0218089779398,32.9490435911107,31.9168918146252
"AP004310.1-106105-minus",20.4675200156964,12.3346422243701,13.3316111132475,13.6505133711576,18.1882729072579,10.7690566087657,41.1546600437489,58.4759485449567,21.2889376157702,35.0218089779398,25.5089369737632,23.9376688609689
"AP004310.1-106392-plus",36.4855791584153,24.6692844487402,37.9950916727554,17.2906502701329,40.9236140413302,29.230296509507,44.7333261345097,20.0049297653799,22.8095760168967,25.4704065294108,31.8861712172039,17.0983349006921
"AP004310.1-106434-minus",25.8068730632694,51.8054973423544,25.9966416708326,47.3217796866795,26.6328281856276,47.6915364102482,31.3133282941568,46.1652225354921,36.4953216270347,36.0830759166653,30.8232988432971,35.3365587947636
"AP004310.1-106534-plus",119.245551395796,113.478708464205,83.9891500134593,98.2836962723344,94.8388515878445,113.07509439204,90.3613187917096,113.874215587547,103.403411276598,125.229498769603,113.727344008027,123.108011284983
"AP004310.1-107105-plus",14.2382747935279,16.0350348916811,17.9976750028841,12.7404791464137,14.9403670309618,10.7690566087657,16.1039974084235,21.543770516563,12.1651072090116,16.9802710196072,10.628723739068,14.8185569139331
"AP004310.1-107767-plus",12.4584904443369,24.6692844487402,13.9981916689099,30.0311294165466,9.74371762888814,23.0765498759265,15.2093308857333,30.7768150236614,16.7270224123909,19.1028048970581,20.1945751042292,37.6163367815225
"AP004310.1-108518-plus",15.1281669681234,13.5681064468071,15.997933335897,20.0207529443644,11.6924611546658,19.9996765591363,12.5253313176627,13.8495667606476,12.1651072090116,13.7964702034308,17.0059579825088,20.5180018808305
"AP004310.1-109194-plus",11.5685982697414,16.0350348916811,13.3316111132475,21.8408213938521,10.3932988041473,29.230296509507,14.3146643630431,15.3884075118307,12.1651072090116,27.5929404068617,15.943085608602,25.0775578543484
"AP004310.1-110125-plus",45.3845009043703,28.3696771160512,59.3256694539514,42.7716085629604,68.8556045774762,46.1530997518531,65.3106561563842,32.3156557748445,60.8255360450579,30.776741223038,57.3951081909671,39.8961147682815
"AP004310.1-110356-plus",57.8429913487072,46.8716404526063,53.9930250086524,75.5328406537385,44.8211010928854,79.2294879073478,58.1533239748626,81.5585598127028,42.5778752315405,65.7985502009779,55.2693634431535,55.8545606755941
"AP004310.1-1110-minus",40.0451478567973,35.7704624506733,32.6624472274564,43.6816427877042,33.7782211134789,39.2301347890751,42.0493265664391,46.1652225354921,39.5365984292876,53.0633469362725,37.2005330867379,43.3157817484199
"AP004310.1-1130-minus",58.7328835233027,40.7043193404213,44.6608972293792,35.4913347650097,31.8294775877012,27.6918598511119,66.2053226790744,80.0197190615197,89.7176656664603,66.8598171397033,45.7035120779923,60.414116649112
"AP004310.1-116621-minus",8.89892174595495,11.1011780019331,18.6642555585465,8.19030802269454,10.3932988041473,6.15374663358041,16.9986639311137,6.15536300473228,16.7270224123909,20.1640718357835,15.943085608602,18.2382238940715
"AP004310.1-13985-minus",51.6137461265387,33.3035340057992,39.3282527840801,36.4013689897535,55.863981072292,35.3840431430874,54.5746578841018,49.2429040378583,59.3048976439314,43.5119444877434,65.8980871822215,43.3157817484199
"AP004310.1-16568-plus",8.89892174595495,27.1362128936142,15.997933335897,57.3321561588617,9.09413645362893,46.1530997518531,7.15733218152155,50.7817447890413,9.12383040675868,29.7154742843126,10.628723739068,14.8185569139331
"AP004310.1-21843-plus",28.4765495870558,40.7043193404213,25.9966416708326,46.4117454619357,25.9832470103684,53.8452830438286,35.7866609076078,33.8544965260276,21.2889376157702,16.9802710196072,20.1945751042292,21.65789087421
"AP004310.1-2443-minus",29.3664417616513,51.8054973423544,33.3290277831188,40.9515401134727,36.3765458145157,49.2299730686433,45.6279926571999,23.0826112677461,30.4127680225289,25.4704065294108,36.1376607128311,33.0567808080047
"AP004310.1-2620-minus",72.9711583168306,127.046814911012,114.651855573929,130.134894138369,103.283406866214,120.767277684016,91.2559853143998,70.7866745544213,101.882772875472,66.8598171397033,70.1495766778487,50.1551157086967
"AP004310.1-28098-plus",15.1281669681234,17.2684991141181,8.66554722361088,12.7404791464137,7.79497410311051,19.9996765591363,16.1039974084235,4.61652225354921,16.7270224123909,13.7964702034308,9.56585136516118,11.3988899337947
"AP004310.1-28101-plus",49.8339617773477,192.420418700173,32.6624472274564,98.2836962723344,31.179896412442,133.074770951176,39.3653269983685,96.9469673245335,59.3048976439314,97.6365583627414,69.0867043039419,108.28945437105
"AP004310.1-28103-plus",5.33935304757297,28.3696771160512,8.66554722361088,23.6608898433398,6.49581175259209,24.6149865343217,4.47333261345097,9.23304450709843,7.60319200563223,6.3676016323527,9.56585136516118,13.6786679205537
"AP004310.1-28517-plus",29.3664417616513,32.0700697833622,25.3300611151703,30.9411636412905,26.6328281856276,25.3842048635192,18.7879969764941,18.4660890141969,21.2889376157702,25.4704065294108,37.2005330867379,18.2382238940715
"AP004310.1-29852-minus",16.9079513173144,4.93385688974803,10.665288890598,4.55017112371919,20.7865976082947,5.38452830438286,11.6306647949725,10.7718852582815,16.7270224123909,7.42886857107815,23.3831922259496,11.3988899337947
"AP004310.1-30392-plus",9.78881392055045,29.6031413384882,5.99922500096138,8.19030802269454,8.44455527836972,13.0767115963584,10.7359982722823,23.0826112677461,13.685745610138,29.7154742843126,17.0059579825088,31.9168918146252
"AP004310.1-30578-plus",19.5776278411009,19.7354275589921,15.997933335897,18.2006844948767,16.8891105567394,15.384366583951,24.1559961126352,9.23304450709843,18.2476608135174,20.1640718357835,29.7604264693903,17.0983349006921
"AP004310.1-31230-minus",65.8520209200666,43.1712477852953,73.9904416785237,50.0518823609111,102.633825690955,32.3071698262972,82.3093200874979,66.1701523008721,74.5112816551959,64.7372832622524,65.8980871822215,62.6938946358709
"AP004310.1-31233-minus",18.6877356665054,38.2373908955473,37.328511117093,44.591677012448,42.2227763918486,35.3840431430874,30.4186617714666,58.4759485449567,31.9334064236554,61.5534824460761,17.0059579825088,49.0152267153173
"AP004310.1-37100-minus",10.6787060951459,33.3035340057992,9.99870833493563,20.9307871691083,12.342042329925,17.6920215715437,10.7359982722823,9.23304450709843,7.60319200563223,19.1028048970581,13.8173408607884,18.2382238940715
"AP004310.1-39281-plus",7.11913739676396,11.1011780019331,1.99974166698713,17.2906502701329,4.54706822681446,10.7690566087657,6.26266565883136,23.0826112677461,4.56191520337934,14.8577371421563,6.37723424344079,6.83933396027683
"AP004310.1-39593-minus",8.89892174595495,8.63424955705906,23.3303194481831,11.8304449216699,25.3336658351092,12.3074932671608,27.734662203396,15.3884075118307,24.3302144180231,21.225338774509,22.3203198520428,18.2382238940715
"AP004310.1-4067-minus",13.3483826189324,12.3346422243701,16.6645138915594,17.2906502701329,26.6328281856276,20.7688948883339,30.4186617714666,21.543770516563,18.2476608135174,20.1640718357835,18.0688303564156,11.3988899337947
