CDS	TUs	rowname	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ncr0700	TU1715	BA000022.2-1679074-plus	70.57498348348531	5.2535747067942165	0.5813716649390477	9.03651660998135	1.617437933691557e-19	6.0281911788684325e-16
slr0476	TU2753	BA000022.2-2613286-plus	137.4799265698228	-2.687948785010018	0.315746315169965	-8.51300127940719	1.6948820261370048e-17	3.158412655706308e-14
slr0476	TU2753	BA000022.2-2613294-plus	110.20895636824754	-2.575736609300566	0.31411623196047855	-8.199947494673372	2.404920470884704e-16	2.987712864995764e-13
sll0517	TU3343	BA000022.2-3181793-minus	45.193450244735025	-3.3386663719703207	0.47759914651364915	-6.990519971280782	2.738693059102945e-12	2.551777257819169e-9
ncr0700	TU1715	BA000022.2-1679085-plus	21.68197344474504	5.493215120343076	0.8040080128089707	6.832289023030226	8.357026069957155e-12	6.229327232546063e-9
ncr0700	TU1715	BA000022.2-1679033-plus	20.440407031026314	4.179647529686382	0.6368083146051104	6.563431151614615	5.2583519716315194e-11	2.799696828324382e-8
sll0517	TU3343	BA000022.2-3181792-minus	64.52468577570436	-2.5494934529758613	0.38792146365121727	-6.572189713297554	4.958063342375087e-11	2.799696828324382e-8
sll0851	TU1386	BA000022.2-1347671-minus	36.45397427840888	-3.6179460387298064	0.5584400040562322	-6.478665590664771	9.253733861418322e-11	3.832074011278454e-8
slr0147	TU2264	BA000022.2-2179023-plus	41.069115046867644	2.3967639544073323	0.36965522057509925	6.483782240863564	8.945130249285597e-11	3.832074011278454e-8
ncr0700	TU1715	BA000022.2-1679045-plus	28.10168610054612	3.4134425506596813	0.5310251459571449	6.42802431607477	1.2927306611203697e-10	4.8070225693027636e-8
sll1514	TU445	BA000022.2-460271-minus	27.453838675287123	6.050155214467237	0.9432932455778865	6.413864662797146	1.4187616920399893e-10	4.8070225693027636e-8
	TU445	BA000022.2-460231-minus	31.407700862784715	4.175930315823456	0.6626026139910879	6.302314883230484	2.9323266602130606e-10	8.809450253059518e-8
	TU445	BA000022.2-460247-minus	21.29199014139808	4.6508601080556575	0.7388109628503763	6.295061039852961	3.07278919478867e-10	8.809450253059518e-8
slr2076	TU924	BA000022.2-916057-plus	21.97966982974561	3.330867412630296	0.5341916351306675	6.235341764225754	4.507928198257418e-10	1.2000748853503855e-7
slr1513	TU1642	BA000022.2-1602060-plus	17.728031755388873	-3.703436054342248	0.5983854680625348	-6.189047448517278	6.052886320123968e-10	1.5039404876734687e-7
