"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"AP004311.1-39245-plus",305.422716009441,-3.95309061641498,0.098535478909827,-40.1184493154245,0,0
"BA000022.2-1695781-minus",2736.88787025007,-3.91058181931908,0.0844502276725964,-46.3063502265493,0,0
"BA000022.2-1957511-plus",991.241966128729,-3.96905699602532,0.0876438316453149,-45.2862103529164,0,0
"BA000022.2-2132496-minus",462.889469771614,-3.40419497758656,0.0853608359368473,-39.8800567054556,0,0
"BA000022.2-2219261-plus",271.571818855016,-3.51727328345095,0.0894911596530686,-39.3030249813099,0,0
"BA000022.2-2448800-minus",2053.08475805635,4.1983460009509,0.104403677647167,40.2126256044277,0,0
"BA000022.2-2613630-minus",1396.55893173373,-3.77662373375252,0.0841140644305774,-44.8988377784255,0,0
"BA000022.2-3116774-minus",226.429577291234,-3.96016435500235,0.105105727731226,-37.6779119509947,0,0
"BA000022.2-3140221-minus",747.348474707394,-3.07899773202406,0.0613409436978285,-50.1948217032902,0,0
"BA000022.2-3229657-plus",441.46988676102,-4.25985011116248,0.097762086045632,-43.5736417201054,0,0
"BA000022.2-3323053-plus",258.488354700663,-4.10338906683799,0.104440341492854,-39.2893110859728,0,0
"BA000022.2-729448-minus",730.843395935491,-3.58086606837481,0.0855083174944956,-41.8774006236916,0,0
"BA000022.2-924270-minus",785.204337290415,-4.12444815971167,0.106579516802733,-38.6983191840284,0,0
"BA000022.2-957889-plus",702.640946297094,-3.58525982812861,0.0929317475301467,-38.5794943430453,0,0
"BA000022.2-2185828-minus",322.301751192458,-5.02435779110001,0.133967335958278,-37.5043495129645,7.82351931795563e-308,6.3052350023177e-305
"BA000022.2-3329928-plus",2039.84581113288,4.11156727043453,0.109942932957819,37.3972856628446,4.3251540331558e-306,3.26792419417628e-303
"BA000022.2-1823541-plus",574.33043830493,-4.37793785984185,0.117840109319201,-37.1515088125304,4.14488737330488e-302,2.94750255622839e-299
"AP006585.1-82696-minus",686.34301874698,-3.92318322693718,0.105788252003233,-37.0852448419063,4.85827861238239e-301,3.26287389694948e-298
"BA000022.2-1957512-plus",350.479761950395,-4.56860439011417,0.124692918532466,-36.6388440007894,6.8890182923485e-294,4.38322853348426e-291
"BA000022.2-146868-minus",467.231946435746,-3.76317587341576,0.10281562342019,-36.6012065893555,2.736426064165e-293,1.65403273448454e-290
"BA000022.2-3248010-minus",214.61140243246,-3.75551475511966,0.103751496782496,-36.1972103688558,6.73533311911515e-287,3.87730676557062e-284
"BA000022.2-2512423-minus",328.208029690284,-3.89972570119818,0.107997892511904,-36.1092759358089,1.62213078781196e-285,8.91360867902672e-283
"BA000022.2-1116428-minus",244.302885920275,-3.81161349749966,0.106109873366891,-35.9213839066647,1.41649813870625e-282,7.44523739079124e-280
"BA000022.2-771595-minus",544.991741037915,-3.67370454812461,0.102977263499844,-35.6749094243525,9.68556425827652e-279,4.87869942992937e-276
"BA000022.2-1284582-plus",285.605348139676,-3.32602075698612,0.0936044047043574,-35.5327376686077,1.53530072147426e-276,7.42410016876091e-274
"BA000022.2-3182134-minus",865.197124101844,-3.47462170580851,0.0980161482524437,-35.4494822308209,2.95444606723686e-275,1.37370378872409e-272
"BA000022.2-3259922-minus",167.094493712192,-3.61097091687982,0.101956238301804,-35.4168707773511,9.39105338711241e-275,4.20475719988155e-272
"BA000022.2-581833-plus",259.533161775369,-2.74824971990917,0.0783437373870303,-35.0793798147819,1.39059273990357e-269,6.00388415453367e-267
"BA000022.2-1550592-plus",219.256631919129,-3.81245259206595,0.108728160821186,-35.0640768984945,2.37944064345293e-269,9.9189854961043e-267
"BA000022.2-986294-plus",920.106218167506,-5.98861963103869,0.171049327066512,-35.0110680570525,1.52667463214431e-268,6.15198987599751e-266
"BA000022.2-1723066-minus",289.453074508191,-3.45179418229373,0.0989457778864933,-34.8857147422045,1.22433693278649e-266,4.77451909046964e-264
"BA000022.2-1427731-minus",414.667071877652,-3.2257612946327,0.0926706364661698,-34.808882485773,1.78498876183944e-265,6.74335285683655e-263
"BA000022.2-2205702-plus",206.216397487744,-3.91671671462873,0.112758487114601,-34.7354493205289,2.29875021493195e-264,8.42108828736737e-262
"BA000022.2-2823686-minus",169.902604698848,-4.0261457076445,0.116521832418111,-34.5527153503528,1.29761360262113e-261,4.61377965943731e-259
"AP006585.1-82697-minus",1365.32980653182,-3.19485664206229,0.0930587381101618,-34.3316136339637,2.64958240540616e-258,9.15165762827288e-256
"BA000022.2-3414715-minus",199.01047945307,-3.78329261896837,0.110354500691993,-34.2830840178218,1.40235305925122e-257,4.70917948146888e-255
"BA000022.2-1511138-minus",261.009594234102,-3.67181567614207,0.107618843616459,-34.1187059138824,3.89486002491041e-255,1.27256656327411e-252
"BA000022.2-402046-minus",272.632516557029,-4.94735848290144,0.145249382522915,-34.0611326324979,2.77715531229382e-254,8.83500804482104e-252
"BA000022.2-3419464-plus",258.88775274376,-3.90278715758206,0.115038808971654,-33.9258307041732,2.77212436924296e-252,8.59287474353286e-250
"BA000022.2-1397092-minus",233.317538869578,-4.86076039952676,0.143663436047252,-33.8343598988403,6.16423235662888e-251,1.86298512398216e-248
"BA000022.2-2490049-plus",224.004190647941,-3.979960709677,0.118271186496135,-33.6511438464944,3.00009043652078e-248,8.84587641148774e-246
"AP004311.1-90669-plus",416.582574208507,-3.41536415979578,0.102149057510839,-33.4351020265985,4.23775573576519e-245,1.21976735927775e-242
"BA000022.2-3152154-minus",193.66579603055,-3.92887345175497,0.118200342156055,-33.2391038815085,2.93338676326379e-242,8.24690990258044e-240
"BA000022.2-867234-minus",285.71801941467,-3.79872366831894,0.11471638035234,-33.1140475026455,1.86580479326634e-240,5.12629866949926e-238
"BA000022.2-3538252-minus",225.522794496574,-2.37452736098466,0.0717182919404281,-33.1090896999754,2.1989996801136e-240,5.90749047397629e-238
"BA000022.2-3359824-plus",158.800653627079,-3.35262312317466,0.101293916777799,-33.0979710314594,3.17848609393757e-240,8.3531996499155e-238
"BA000022.2-1120565-plus",361.763007127032,-2.9019498954724,0.0879963197270938,-32.9780825433645,1.67487091312301e-238,4.30798180186043e-236
"BA000022.2-1997854-minus",281.402139312564,-2.27384413006018,0.0689803266527281,-32.9636613857677,2.69568090143269e-238,6.78918467029579e-236
"BA000022.2-941641-plus",1301.29290025665,-2.96701306484354,0.0907761631446353,-32.6849358032036,2.55680390394791e-234,6.30800048874006e-232
"BA000022.2-178117-minus",542.540524748894,-4.54425292618573,0.139250960556469,-32.6335481495148,1.37166487558553e-233,3.31641133619071e-231
"BA000022.2-3044792-plus",149.962503493658,-4.68604395251232,0.143717363318762,-32.6059694131652,3.37528864904452e-233,8.00075774084298e-231
"BA000022.2-924269-minus",362.594502209908,-4.07426067017926,0.12551711200499,-32.4598025328793,3.93938871638659e-231,9.15832119084568e-229
"BA000022.2-2287642-minus",1155.41838130521,-3.90631122520933,0.120446134069744,-32.4320183074319,9.71202451391225e-231,2.21525781789972e-228
"BA000022.2-1350167-minus",177.39999935899,-2.92524635865905,0.090974858993494,-32.1544478444121,7.65417311095328e-227,1.71354256922804e-224
"BA000022.2-1423945-plus",180.093885023107,-2.96444094050156,0.0924095952588437,-32.0793628864841,8.55482758043247e-226,1.88035110217906e-223
"BA000022.2-3371013-plus",191.533340328214,-4.50063665001181,0.14083121671756,-31.9576636125918,4.22808388937278e-224,9.1273760961835e-222
"BA000022.2-3156523-plus",223.514140102,-2.13698026235167,0.066995967538871,-31.8971475576018,2.92465397554242e-223,6.20283191409338e-221
"BA000022.2-1329236-minus",2607.83789503011,4.22141481008006,0.132608225927926,31.8337326401943,2.21072721565229e-222,4.60784160517595e-220
"AP006585.1-27979-minus",416.190223267228,-2.54299177164201,0.0799658773948747,-31.8009612910844,6.27797114593066e-222,1.28634564717213e-219
"BA000022.2-1749090-minus",273.348748243979,-2.83213606282063,0.0890839803716553,-31.7917548251106,8.41543841572529e-222,1.69557058346172e-219
"BA000022.2-2448492-minus",601.618750697154,-3.47617879940773,0.109414814897421,-31.7706409563161,1.64735326297408e-221,3.26473009772027e-219
"BA000022.2-2375059-plus",271.296559168781,-3.08714211865345,0.0972759037909662,-31.7359386892703,4.96380098301005e-221,9.67861130380783e-219
"BA000022.2-1427897-minus",130.175581502676,-4.12348860670218,0.12995994003308,-31.7289205092938,6.20339303961004e-221,1.19036219771184e-218
"BA000022.2-903963-minus",523.096903095924,-2.86084591659268,0.0904614645060653,-31.6250232318632,1.67255224898049e-219,3.1592943965508e-217
"AP004312.1-34749-plus",149.920823656621,-3.34959628153967,0.10595460903424,-31.6135023485124,2.40848092783248e-219,4.47940399024106e-217
"BA000022.2-1319364-minus",250.663607538464,-4.21803678603689,0.133563792401464,-31.5806904715493,6.79911627570528e-219,1.24537146450002e-216
"BA000022.2-3247937-plus",334.096013983435,-2.87092723554045,0.0909785217349343,-31.5560989648182,1.47890119810079e-218,2.66842337072246e-216
"BA000022.2-619588-plus",256.069973046723,-2.95524403673679,0.0941710399029158,-31.3816651040857,3.59987712367021e-216,6.39984037471311e-214
"BA000022.2-3212568-plus",116.759069985252,-3.7455657445219,0.119646026609242,-31.3053918351566,3.94092918544455e-215,6.90462216273032e-213
"BA000022.2-2930986-minus",155.080242208626,-2.45144401058006,0.0783939586942464,-31.2708281532411,1.16342258267942e-214,2.00923080028736e-212
"BA000022.2-941542-plus",482.478076711794,-3.1564955918992,0.101103089160868,-31.220565247782,5.603946147058e-214,9.5417049256034e-212
"BA000022.2-646601-minus",246.5600586562,-3.22430263168033,0.103857401827041,-31.0454775004861,1.31303158167072e-211,2.20461649872462e-209
"BA000022.2-1643636-minus",780.547751904885,-4.05688540777673,0.130683656698814,-31.0435559446169,1.39382837859743e-211,2.30821798203621e-209
"BA000022.2-502012-plus",204.778405359898,-2.7297033726928,0.0879963632800469,-31.0206384780421,2.8404662851804e-211,4.64032390831701e-209
"BA000022.2-2414451-minus",265.804347898855,-2.56368349043023,0.0829531172862354,-30.9052097654639,1.01666609490486e-209,1.63873018950732e-207
"BA000022.2-1584520-minus",330.480599235381,-4.06690615552635,0.132289325754098,-30.7425117812302,1.5397280960768e-207,2.44918065177268e-205
"BA000022.2-1167287-minus",144.522247158528,-4.05723913075587,0.132529126662962,-30.6139430094783,7.98420160513088e-206,1.25351965200555e-203
"BA000022.2-1268350-minus",577.230121812719,-2.291592732752,0.0750100841481782,-30.5504620982039,5.57524975851081e-205,8.64092235008169e-203
"BA000022.2-2375061-plus",765.296245864735,-3.47372194994076,0.114282669862304,-30.3958767687712,6.22724390026081e-203,9.52925968484215e-201
"BA000022.2-818295-minus",426.685395252631,-3.15403571608667,0.103845788225805,-30.3723027189939,1.27557746631086e-202,1.927556998779e-200
"BA000022.2-2427870-plus",554.102323293433,-3.18376806609883,0.104893934163484,-30.3522609909619,2.34566805976831e-202,3.50083718204186e-200
"BA000022.2-1367389-minus",217.070139457675,-2.74204658529853,0.0904752672854932,-30.3071399241745,9.23096097416169e-202,1.36089130752001e-199
"BA000022.2-1910453-plus",547.855423066299,-2.93130712162914,0.0968410715696224,-30.2692553285278,2.9115403648505e-201,4.24067608080454e-199
"AP006585.1-93754-plus",338.566586864749,-3.85300582033807,0.127370013582189,-30.2504939112046,5.13982521948163e-201,7.39706512837064e-199
"AP004311.1-90104-plus",870.929322239214,-3.79924643946343,0.125860549003338,-30.1861581690913,3.59907477981284e-200,5.11873117801852e-198
"BA000022.2-2263692-minus",244.127405281977,-2.7927314168866,0.092530823946105,-30.181633511804,4.12637033415927e-200,5.80042918251761e-198
"BA000022.2-152681-plus",122.174889368787,-2.86353311588718,0.0952256663019997,-30.0710221003416,1.15975313221723e-198,1.61152363395105e-196
"BA000022.2-93123-minus",173.057149310907,-4.0953627582484,0.136997875697957,-29.8936223454847,2.38165906076269e-196,3.27180413472275e-194
"BA000022.2-339617-minus",132.229226727907,-3.47793209006255,0.116586210148183,-29.8314190472617,1.52934243315171e-195,2.07732816565966e-193
"BA000022.2-955735-plus",145.243455917861,-3.6264526560228,0.121569603561201,-29.8302581384757,1.58329413590981e-195,2.12671586766819e-193
"BA000022.2-2814971-minus",478.544214304934,-1.49395440443944,0.0501514417892877,-29.7888625159834,5.44598391273583e-195,7.23478016714983e-193
"BA000022.2-612152-plus",298.65465523932,5.77700630793066,0.193970085482136,29.7829755220823,6.49105557819116e-195,8.52938813964705e-193
"BA000022.2-221513-minus",137.277422733121,-3.3642711861665,0.113102934177423,-29.7452158127835,1.999684576357e-194,2.59937492941719e-192
"BA000022.2-2414554-plus",706.77579280476,-2.56166963466465,0.0861566853375885,-29.7326855673154,2.9038754361214e-194,3.73456916460336e-192
"BA000022.2-1399300-plus",126.328417706656,-2.63054552251845,0.0885553802968907,-29.7050897833569,6.60012557628903e-194,8.39883348334295e-192
"AP004310.1-70809-plus",270.78696699525,-4.26224552883285,0.14382586341129,-29.6347640663514,5.330405865631e-193,6.71242463641804e-191
"BA000022.2-2849060-plus",348.544730258858,-3.73736796913561,0.126339840895007,-29.5818638258497,2.55719724904619e-192,3.18700593234221e-190
"BA000022.2-941539-plus",245.346090760583,-3.29152968001478,0.111300878932853,-29.5732586442605,3.29933982135696e-192,4.0699713367739e-190
"BA000022.2-2687871-plus",102.671764764003,-3.33935005984556,0.112945516412906,-29.5660258671762,4.08710571473015e-192,4.9908102005427e-190
"BA000022.2-2087244-minus",182.640074604391,-4.17906332752303,0.141671165559074,-29.4983337719519,3.0241619971117e-191,3.65590943830834e-189
"BA000022.2-1713295-minus",204.524866873929,-3.58827033814027,0.121646596962914,-29.4974987194603,3.0996666702399e-191,3.71008617589407e-189
"BA000022.2-596455-plus",278.524101255218,-2.40910845737706,0.0817234534251595,-29.4787892142036,5.38510166149641e-191,6.38240137115981e-189
"BA000022.2-671170-minus",245.995726676543,-2.53657113331693,0.0862556557623415,-29.407592011194,4.39178825211831e-190,5.15459496891828e-188
"BA000022.2-1518034-plus",4160.66616918438,-4.35751828738837,0.148988992068637,-29.2472499269002,4.8668202262968e-188,5.65721054958673e-186
"BA000022.2-473095-minus",141.063526891594,-4.30083882837619,0.147508611755897,-29.1565270473386,6.90492287596703e-187,7.94986787119671e-185
"BA000022.2-3248009-minus",305.626314337917,-3.10077700631657,0.106460807834782,-29.1259954661316,1.68274024985855e-186,1.91911763023963e-184
"BA000022.2-531399-plus",292.493524079398,-3.53702715668162,0.121500527504658,-29.1112082336105,2.58962671235151e-186,2.92579414258106e-184
"BA000022.2-309573-plus",120.903358195509,-3.58926256866548,0.12334079011606,-29.1003695151302,3.55144551179325e-186,3.97531711037673e-184
"BA000022.2-537384-plus",131.322917303472,-2.60225395735348,0.0896035058500631,-29.0418765724182,1.94883640534448e-185,2.16142048662472e-183
"AP004310.1-57972-plus",130.676288287002,-3.153364426641,0.108679191524057,-29.0153467505597,4.21339248407534e-185,4.6305183399988e-183
"BA000022.2-134029-plus",307.331482934759,-2.05441857746589,0.0709487816225352,-28.9563616243038,2.33368243089234e-184,2.54161143306824e-182
"BA000022.2-1244464-plus",553.966356267515,-2.16451961173124,0.0747581840326997,-28.9536141057743,2.52716088401975e-184,2.72775427918882e-182
"BA000022.2-1997927-plus",124.339144589206,-3.66760787965282,0.127373894776816,-28.7940310381432,2.54775666375401e-182,2.72564869983382e-180
"BA000022.2-1015673-minus",148.403819024315,-2.91364914342792,0.101242904385793,-28.7787984857215,3.95203917423707e-182,4.19089487520631e-180
"BA000022.2-2526307-minus",430.151164482219,-3.44598306881615,0.120105060892626,-28.6914060340626,4.88374150461125e-181,5.13387400428221e-179
"BA000022.2-708994-plus",114.094439472295,-3.67500704154196,0.128787922368763,-28.5353391369974,4.27072166041969e-179,4.450754668346e-177
"BA000022.2-1823542-plus",135.022565460773,-4.10532611514633,0.143955631576633,-28.517995928217,7.00856694889952e-179,7.24158682438003e-177
"BA000022.2-2695574-plus",213.135430538173,-2.70726552262116,0.0949477541893602,-28.5132128267288,8.034088941961e-179,8.23085603553953e-177
"BA000022.2-2749209-plus",177.425845913886,-3.28772338806898,0.115390427664292,-28.4921674580671,1.46476481413967e-178,1.48802872589366e-176
"BA000022.2-1712079-plus",251.191127487672,-3.2679323232255,0.114894872930784,-28.4428037549962,5.98158142283015e-178,6.02594481838281e-176
"BA000022.2-2152831-plus",95.4034179277694,-3.13576911796412,0.110362002908989,-28.4134850338849,1.37796189516854e-177,1.37670920253657e-175
"BA000022.2-1721176-minus",139.366112961073,-3.74956207024093,0.132206369230772,-28.3614329026456,6.05002478425411e-177,5.99497947679082e-175
"BA000022.2-2804637-minus",120.401021773877,-3.20528619440849,0.113217296924819,-28.3109231669515,2.53579765460156e-176,2.49229738589254e-174
"BA000022.2-915239-plus",733.797689312964,-4.51885622003276,0.159757233459897,-28.2857691145929,5.17175974173738e-176,5.04204867079541e-174
"BA000022.2-1702914-minus",102.200602351428,-3.40390843629604,0.120347686203207,-28.2839541306059,5.44454171001629e-176,5.26552517859095e-174
"BA000022.2-183431-plus",136.058512507121,-2.63736880619545,0.0932735414501362,-28.2756370691187,6.89028020605672e-176,6.61084106436664e-174
"BA000022.2-7180-plus",4247.98279648374,-3.5815881881137,0.127150138599799,-28.1681815494251,1.43525067826409e-174,1.36620042909721e-172
"AP004311.1-16096-plus",389.252285002777,-3.67936734914416,0.130628668097644,-28.1666145933132,1.50010047617652e-174,1.4167745825389e-172
"BA000022.2-1148394-minus",180.471412373128,-4.48358204326545,0.159362637994455,-28.1344617514517,3.71281816957703e-174,3.47939991100905e-172
"BA000022.2-2695575-plus",362.059768316239,-2.6957030676923,0.0958513423791319,-28.1237904528209,5.01455118528592e-174,4.66314686760935e-172
"BA000022.2-183432-plus",125.18322225651,-3.12193149997732,0.111084874822606,-28.1040196062948,8.74848985170518e-174,8.07332013872243e-172
"AP006585.1-82699-minus",3519.93800179019,-2.82154344436333,0.100696293532663,-28.0203306931859,9.18676338033358e-173,8.4135441291555e-171
"AP004310.1-13986-minus",102.17050559375,-4.28358373845336,0.15292545940848,-28.0109260748497,1.19600845666997e-172,1.0871087392995e-170
"BA000022.2-2575964-minus",119.010403764738,-3.46415951365527,0.123673113964761,-28.0106112201747,1.20661661831452e-172,1.08856629095554e-170
