locus_tag	gene_name	gene_product	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
slr7023	slr7023	hypothetical protein	903.0541665367458	1.993005091402554	0.1466595088712505	13.58933428007163	4.6327497074484616e-42	2.0004213236762458e-38
slr7091	slr7091	hypothetical protein; part of CRISPR3 system	173.05611322551363	2.6719667208472755	0.20253222594776932	13.19279787867608	9.653477065990774e-40	2.084185698547408e-36
slr7100	slr7100	hypothetical protein	413.2827920583527	1.9887745316330894	0.15623654969750672	12.72925276117274	4.06712898147217e-37	5.853954313998943e-34
slr7094	slr7094	hypothetical protein; part of CRISPR3 system	537.5039777540647	1.6625077259041627	0.1331305772285878	12.487797773531806	8.702937093829982e-36	9.394820592789466e-33
CRISPR2	CRISPR2 array	CRISPR2 array	2146.8191823208476	2.040965614621684	0.17085733254088112	11.945437660004092	6.85883470764484e-33	5.9232896535220834e-30
slr7097	slr7097	hypothetical protein	725.4494710952732	1.7939660611291162	0.15386960776857656	11.659001976707984	2.06448010441973e-31	1.485737515147399e-28
slr7092	slr7092	Cas1; part of CRISPR3 adaptation module	223.6022795362501	2.693039933855987	0.2548334679971803	10.56784242282409	4.2004706374385173e-26	2.5910903160656455e-23
slr7102	slr7102	hypothetical protein	443.86310263267995	1.5044580180868437	0.1426651019259931	10.545382141648592	5.335550599573715e-26	2.879863436119913e-23
slr7099	slr7099	hypothetical protein	286.96069565643853	1.6331303392235752	0.1610442338047242	10.140880555859228	3.6380525212580726e-24	1.74545675408804e-21
slr7081	slr7081	UvrD helicase; part of CRISPR3 system	625.9857062423298	1.4325448956592666	0.14277065088934052	10.033889225381564	1.0816998986221918e-23	4.670780162250624e-21
sll0217	sll0217	flavoprotein	1274.525110033532	1.3320555082298637	0.13350089877025018	9.977876707199396	1.904995862981795e-23	7.477974669413992e-21
slr7098	slr7098	hypothetical protein	274.6719511183607	2.1030301971975924	0.21207788395017083	9.916310734653095	3.5358456020631506e-23	1.2723151091423903e-20
slr7071	slr7071	Cas1; part of CRISPR2 adaptation module	277.40516390340093	1.5553408984772024	0.15914271000168467	9.773246279774535	1.466754319568009e-22	4.871880886072817e-20
slr7101	slr7101	hypothetical protein	447.97551834272423	1.3218351229710072	0.13922701718362743	9.494099275484945	2.2212332496316076e-21	6.850917979935202e-19
slr7096	slr7096	hypothetical protein	597.5125411940882	1.5211459998711188	0.16401120418805268	9.27464685965598	1.782083902435314e-20	5.1300255271437904e-18
slr7024	slr7024	hypothetical protein	1394.881710009629	1.2159744571649431	0.1336328042175644	9.099370953746087	9.08565203316843e-20	2.4519903424513298e-17
slr7095	slr7095	putative kinase; part of CRISPR3 system	356.56446045674204	1.772842045058416	0.19804676866010648	8.951633278607126	3.502608852706045e-19	8.896626485873355e-17
CRISPR3	CRISPR3 array	CRISPR3 array	45194.54356562775	1.0381550241610404	0.12144656747301112	8.54824509051479	1.2497411642965525e-17	2.997990193018063e-15
CRISPR1	CRISPR1 array	CRISPR1 array	7444.833286781659	0.8822335731808354	0.10573654475302106	8.343695883401075	7.200401651978876e-17	1.6363860175391994e-14
sll7106	sll7106	exodeoxyribonuclease V alpha chain	19641.59121188352	1.1260180607743633	0.1366090253843943	8.242633000315625	1.6846169158581648e-16	3.637087921337778e-14
slr7057	slr7057	hypothetical protein	1505.3866844358263	0.8391871183858715	0.10284780525819118	8.15950438883124	3.3640205591353813e-16	6.917067035403132e-14
sll0218	sll0218	hypothetical protein	204.8621533435098	1.3995382680169577	0.17195264609922623	8.139091196127023	3.982559213307131e-16	7.816677583209179e-14
slr0870	slr0870	hypothetical protein	192.70767148614547	1.1156494874734144	0.13765288915561305	8.104802553124776	5.283124325989813e-16	9.918491669401743e-14
