"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"BA000022.2-1678976-plus",800.104128828223,3.83035919551348,0.214526235543197,17.8549685814172,2.64429468205225e-71,9.36080317446496e-68
"BA000022.2-1678975-plus",682.170440776519,3.16567743829507,0.194167479435425,16.3038498903103,9.26667905798925e-60,1.6402021932641e-56
"AP004310.1-52510-plus",718.889054352362,-2.86198583865497,0.219137852554423,-13.0602075601895,5.55760529587116e-39,4.91848068684598e-36
"BA000022.2-940479-minus",110.859807895948,-4.64424874757535,0.355461983072282,-13.0653880548203,5.19191959636637e-39,4.91848068684598e-36
"BA000022.2-2612803-plus",122.495634173316,-3.4266306972698,0.26406504969554,-12.9764643265764,1.6638575600386e-38,1.17801115250733e-35
"BA000022.2-2475176-plus",179.431711517344,-2.44341673643524,0.190907126412456,-12.7989812761427,1.6611608077285e-37,9.80084876559817e-35
"BA000022.2-1748940-plus",134.627588348652,-2.72697151177935,0.228730157221962,-11.9222211224778,9.06588791378533e-33,4.58474903068572e-30
"BA000022.2-1748939-plus",87.3748855534346,-3.3225523699241,0.292389600069426,-11.3634423698216,6.35885949169029e-30,2.81379532507296e-27
"BA000022.2-940483-minus",59.9448866022095,-5.42214733902655,0.502251452943276,-10.7956827347176,3.60771083770485e-27,1.41903292949724e-24
"BA000022.2-168188-minus",88.028581103274,-6.76358883204314,0.627376131922364,-10.7807557347115,4.2438463944095e-27,1.50232162362096e-24
"BA000022.2-3044792-plus",295.247967107374,1.90550331227642,0.180482042635119,10.5578554212664,4.67213907504283e-26,1.50357930233196e-23
"BA000022.2-2613608-minus",140.115479657527,2.11053191500804,0.223036422257029,9.46272314472408,3.00025956874306e-21,8.85076572779202e-19
"BA000022.2-2706586-plus",104.749009923422,-2.1801011104735,0.234001179459701,-9.31662445252315,1.20100427001884e-20,3.27042701220514e-18
"AP004310.1-44333-minus",854.225412569872,-2.24458718251734,0.24307653113959,-9.23407608292862,2.60524611119628e-20,6.58755088116773e-18
"BA000022.2-286135-plus",54.755095386195,-3.26747984885551,0.356486776042491,-9.16578136538239,4.91893104640008e-20,1.16086772695042e-17
"BA000022.2-1935801-plus",164.644179164587,1.81733918953726,0.202747574610979,8.96355575658191,3.1437351843035e-19,6.54636620731434e-17
"BA000022.2-915239-plus",1447.0751056513,2.27401397253318,0.253551711626086,8.96863980112536,3.00198541149304e-19,6.54636620731434e-17
"BA000022.2-3118135-plus",80.3821985990328,-2.32113759216513,0.266231338863484,-8.7184987390059,2.81914688884967e-18,5.54432221473769e-16
"BA000022.2-3383995-minus",310.322968186707,-1.92276218453038,0.235896298937686,-8.1508789802518,3.61288536970559e-16,6.7313758993462e-14
"BA000022.2-2823686-minus",318.031468001146,-1.32842522489016,0.164692917829449,-8.06607377170785,7.25949542900691e-16,1.28493069093422e-13
"BA000022.2-158636-minus",260.088387091614,-1.93959778582324,0.243012267198136,-7.9814809687851,1.44587874933807e-15,2.43733846316989e-13
"BA000022.2-1297553-minus",116.00300731823,-2.06104806504349,0.263850430081063,-7.81142583095383,5.65446210460332e-15,9.09854356831626e-13
"BA000022.2-941544-plus",197.218458948291,1.67539973277484,0.218304276803492,7.67460792480473,1.65925372443501e-14,2.55380790630432e-12
"BA000022.2-425657-minus",509.367386713853,1.30150168787638,0.170640779849513,7.62714334184459,2.40012675283736e-14,3.54018696043511e-12
"BA000022.2-1600489-plus",46.6935938646009,-9.05281720276917,1.20403959045286,-7.51870393179033,5.53219027986958e-14,7.83358143629532e-12
"BA000022.2-3219205-minus",186.013188401644,1.48692252339253,0.200408955059632,7.41944152620373,1.17615211535302e-13,1.60137634167295e-11
"BA000022.2-286136-plus",54.1339436771116,-2.28093976029821,0.308148707486948,-7.40207472846476,1.34073010346058e-13,1.75784613564832e-11
