"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"AP004311.1-62704-minus",355.688974000413,2.67520886092468,0.210054480551884,12.7357857537531,3.74061087933603e-37,1.32417625128496e-33
"BA000022.2-425657-minus",509.367386713853,-1.93860736050502,0.155226277316543,-12.4889122770866,8.58188954191992e-36,1.51899444891983e-32
"BA000022.2-299116-minus",163.761159729992,-2.60829892924396,0.238078128862399,-10.9556427619249,6.24335514238352e-28,7.36715906801255e-25
"BA000022.2-1722223-minus",95.5675162321207,-2.34081005354868,0.215292365107586,-10.8727035089188,1.55522885702437e-27,1.37637753846657e-24
"BA000022.2-2812390-minus",555.244108930984,-1.71026487078168,0.157894479609748,-10.8316951612797,2.43603246142166e-27,1.72471098268654e-24
"BA000022.2-2448492-minus",1114.9188700312,-1.88529566313915,0.18061779302091,-10.4380395287018,1.66207685541399e-25,9.80625344694254e-23
"BA000022.2-557027-plus",196.480611657495,-2.1878770945896,0.210295889124656,-10.4038034395085,2.38230133090123e-25,1.20476381591291e-22
"BA000022.2-1239104-plus",258.149114768397,-1.97982361258142,0.193085735872014,-10.2535985045199,1.14017957668052e-24,5.0452946268113e-22
"BA000022.2-1957509-plus",195.738552383552,-1.76368541550275,0.175709387224633,-10.0375138935975,1.04268942227988e-23,4.10124506096753e-21
"AP004311.1-93056-plus",164.918905596668,2.28500233984071,0.23456938100606,9.74126431182289,2.01037346458422e-22,7.11672206462813e-20
"BA000022.2-1504239-plus",226.224898703265,-1.74336267578661,0.186149587952285,-9.36538562864551,7.57730798711982e-21,2.43851547949129e-18
"AP004311.1-39245-plus",572.83431831935,1.34361954282923,0.148387757495599,9.05478703570998,1.36834538275648e-19,4.03661887913162e-17
"BA000022.2-2121631-minus",137.943635159465,-1.98924874199109,0.223075589399291,-8.91737525987418,4.77469594658499e-19,1.30018643468545e-16
"BA000022.2-1550592-plus",417.451613844044,-1.42530879032845,0.161592108951309,-8.82041084542019,1.14040515889941e-18,2.8835959017885e-16
"BA000022.2-2474902-minus",129.876418844582,-1.88499976385947,0.214303294026019,-8.79594395609528,1.41850381925665e-18,3.34766901344568e-16
"BA000022.2-1239102-plus",40.405040308346,-2.7856537506925,0.318084832338721,-8.75758120942443,1.99484746484883e-18,4.41360001597803e-16
"BA000022.2-299115-minus",4859.27501853684,-1.84079219861818,0.211263152657429,-8.71326672665486,2.95240872607197e-18,6.14795699429105e-16
"BA000022.2-559475-plus",59.8791798461882,-2.30470079331871,0.265214101764344,-8.68996323342775,3.62556802948418e-18,7.13028379131889e-16
"BA000022.2-3022488-minus",111.365504670467,-1.84068971424791,0.213373880784225,-8.62659341191487,6.32063803710241e-18,1.17763466586013e-15
"BA000022.2-271392-minus",103.312446039714,-2.14563485397164,0.250797589880665,-8.55524510818693,1.1761854566716e-17,2.08184825830873e-15
"BA000022.2-818293-minus",198.568126450532,-1.57362731688903,0.184470581681459,-8.53050552855275,1.45709569166038e-17,2.45624702308464e-15
"BA000022.2-299114-minus",520.273027468509,-2.16855835200809,0.260314698919485,-8.33052594036888,8.04839966101045e-17,1.29506067272623e-14
"BA000022.2-1601177-plus",209.867574389783,-1.73200226884609,0.211542468351978,-8.1874920073461,2.66725937889597e-16,4.10526008751815e-14
"BA000022.2-3408503-plus",55.1108504957641,-2.30798105428526,0.287728005325339,-8.02139872229534,1.04547762285246e-15,1.54207949370738e-13
"BA000022.2-531273-minus",112.102458638277,-1.98690470836278,0.253581090713458,-7.83538197888717,4.6741951803271e-15,6.61866037534317e-13
"AP004310.1-66740-minus",303.050711117719,-1.74889265363012,0.226473066719907,-7.72229863338705,1.14250326951301e-14,1.5555621438754e-12
