"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"BA000022.2-1679074-plus",70.5749834834853,5.25357470679422,0.581371664939048,9.03651660998135,1.61743793369156e-19,6.02819117886843e-16
"BA000022.2-2613286-plus",137.479926569823,-2.68794878501002,0.315746315169965,-8.51300127940719,1.694882026137e-17,3.15841265570631e-14
"BA000022.2-2613294-plus",110.208956368248,-2.57573660930057,0.314116231960479,-8.19994749467337,2.4049204708847e-16,2.98771286499576e-13
"BA000022.2-3181793-minus",45.193450244735,-3.33866637197032,0.477599146513649,-6.99051997128078,2.73869305910294e-12,2.55177725781917e-09
"BA000022.2-1679085-plus",21.681973444745,5.49321512034308,0.804008012808971,6.83228902303023,8.35702606995716e-12,6.22932723254606e-09
"BA000022.2-1679033-plus",20.4404070310263,4.17964752968638,0.63680831460511,6.56343115161461,5.25835197163152e-11,2.79969682832438e-08
"BA000022.2-3181792-minus",64.5246857757044,-2.54949345297586,0.387921463651217,-6.57218971329755,4.95806334237509e-11,2.79969682832438e-08
"BA000022.2-1347671-minus",36.4539742784089,-3.61794603872981,0.558440004056232,-6.47866559066477,9.25373386141832e-11,3.83207401127845e-08
"BA000022.2-2179023-plus",41.0691150468676,2.39676395440733,0.369655220575099,6.48378224086356,8.9451302492856e-11,3.83207401127845e-08
"BA000022.2-1679045-plus",28.1016861005461,3.41344255065968,0.531025145957145,6.42802431607477,1.29273066112037e-10,4.80702256930276e-08
"BA000022.2-460271-minus",27.4538386752871,6.05015521446724,0.943293245577887,6.41386466279715,1.41876169203999e-10,4.80702256930276e-08
"BA000022.2-460231-minus",31.4077008627847,4.17593031582346,0.662602613991088,6.30231488323048,2.93232666021306e-10,8.80945025305952e-08
"BA000022.2-460247-minus",21.2919901413981,4.65086010805566,0.738810962850376,6.29506103985296,3.07278919478867e-10,8.80945025305952e-08
"BA000022.2-916057-plus",21.9796698297456,3.3308674126303,0.534191635130667,6.23534176422575,4.50792819825742e-10,1.20007488535039e-07
"BA000022.2-1602060-plus",17.7280317553889,-3.70343605434225,0.598385468062535,-6.18904744851728,6.05288632012397e-10,1.50394048767347e-07
"BA000022.2-1679095-plus",24.579905115588,4.32406320451894,0.704322999318958,6.13931847845389,8.28762652124146e-10,1.91419351155235e-07
"BA000022.2-460257-minus",17.5559070684847,5.24553858820935,0.856843853782432,6.1219305770282,9.24483048241009e-10,1.91419351155235e-07
"BA000022.2-726814-minus",50.0673653972157,2.56869613919679,0.419130450691503,6.12863163475434,8.86380777453774e-10,1.91419351155235e-07
"BA000022.2-1679028-plus",16.2466514872143,3.92442033816952,0.642913012286765,6.10412336221167,1.03366429206707e-09,2.02761411396525e-07
"BA000022.2-460242-minus",27.2804216449909,4.96659298979687,0.820780103788361,6.05106406316778,1.43892207517313e-09,2.68143128708512e-07
"BA000022.2-917184-plus",117.40404420848,2.30337951126603,0.382498177172191,6.02193591691055,1.72343134515427e-09,3.05868029685236e-07
"BA000022.2-460218-minus",14.1783242353962,5.05303781461362,0.843934333957426,5.98747747460234,2.13120446965554e-09,3.61045411745736e-07
"BA000022.2-2350220-minus",30.0981714002749,-2.77478902942208,0.468571348961858,-5.92180686157989,3.18423463659389e-09,5.1598445611241e-07
"BA000022.2-460235-minus",28.7734078587782,4.67742616575302,0.798820381981868,5.85541665092265,4.75815607789273e-09,7.38901987596091e-07
"BA000022.2-460224-minus",16.4909746345485,4.95659414144676,0.870201812038518,5.69591337650233,1.22713173748961e-08,1.8294079942495e-06
"BA000022.2-1917057-minus",65.9151217560705,-1.9813611543403,0.35565368982627,-5.57104062468226,2.53222268878744e-08,3.62984383119646e-06
"BA000022.2-958986-plus",30.921846379198,2.48698545486858,0.448266560562008,5.54800574852283,2.88946378970933e-08,3.98853020157285e-06
"BA000022.2-1679024-plus",22.2704668276349,3.212366822905,0.582885966208504,5.51114113074376,3.56514709136818e-08,4.74546543197472e-06
"BA000022.2-943719-plus",22.9715616392389,2.31149688107419,0.423334364192433,5.46021555675896,4.75556833897229e-08,6.11172524115508e-06
"BA000022.2-2613279-plus",49.3901498121046,-2.3961560974819,0.441482238960267,-5.42752547220265,5.71407141390782e-08,7.09878138654481e-06
"BA000022.2-634484-minus",20.9735550616418,2.41103369774919,0.446060749231365,5.40516891904028,6.47473443705652e-08,7.78430169255151e-06
"BA000022.2-484801-minus",57.8294450617301,2.26320850522498,0.423283782095175,5.34678766576533,8.95289410914467e-08,1.04273238577444e-05
"BA000022.2-460225-minus",13.1469880540313,5.17943626867502,0.969955436403459,5.33987034278615,9.30130786880748e-08,1.05048407354683e-05
"BA000022.2-3181699-minus",12.3626289555539,-4.05613989292743,0.768072683361241,-5.2809323659018,1.28528133672501e-07,1.40889515940415e-05
"AP004310.1-44329-minus",28.6380989783908,-2.31998909408775,0.441377915118136,-5.25624190659109,1.47028868772694e-07,1.56564741118808e-05
"BA000022.2-1600496-plus",14.1149963703786,-6.59466079523338,1.25965060253602,-5.23530952309834,1.6470860733809e-07,1.70519160985851e-05
"BA000022.2-460237-minus",20.1502795206518,5.78646265675431,1.12637364450395,5.13724969062342,2.78788432617601e-07,2.80822834693459e-05
"BA000022.2-1679017-plus",13.3394372519424,2.86098099085897,0.559935750032919,5.10948084792008,3.23045233904886e-07,3.16839364937766e-05
"BA000022.2-958987-plus",20.894155818106,2.6182370597453,0.514158590252577,5.09227524227321,3.53791993447186e-07,3.38098143481451e-05
"AP004311.1-91880-plus",94.90615289398,-1.5805815442022,0.31109173966206,-5.08075703301924,3.75933692836472e-07,3.48815760688183e-05
"BA000022.2-1602050-plus",8.08351993796652,-6.54062575577457,1.28832133354781,-5.07685899896019,3.83725414226335e-07,3.48815760688183e-05
"BA000022.2-2706247-minus",29.857225209234,2.66867717807659,0.527075789926913,5.0631754086953,4.12330142772373e-07,3.65893914788722e-05
"BA000022.2-2376296-plus",45.9355541391045,2.15450975824828,0.426733143996538,5.04884560423494,4.44487775493863e-07,3.85257195178053e-05
"BA000022.2-1679077-plus",10.0025730658067,4.21450450493829,0.835864620545896,5.04208983290361,4.60475010886333e-07,3.90043264903037e-05
"BA000022.2-1917060-minus",50.7256057305972,-2.09225806609033,0.416671801713321,-5.02135747484503,5.13075682849759e-07,4.24940682218012e-05
"BA000022.2-2033132-plus",11.0891614985084,2.93063607148315,0.585334167535825,5.00677430777827,5.53497620651993e-07,4.48453398297822e-05
"AP004311.1-91509-plus",40.8904161382939,-1.93945607639171,0.387822698793236,-5.00088334805209,5.7068235445817e-07,4.52538964907575e-05
"BA000022.2-959306-plus",56.1709844120381,1.75602704446142,0.352633889442472,4.9797455577448,6.36679232552405e-07,4.94354895775586e-05
"BA000022.2-1917063-minus",15.0066849943876,-3.39681190039201,0.685559269962687,-4.95480412740518,7.24031879592658e-07,5.5070751331466e-05
"BA000022.2-1679056-plus",16.9636616926312,3.70271602008505,0.751121395543285,4.92958400872988,8.24048948857032e-07,6.14246086478032e-05
"BA000022.2-460276-minus",7.17632635171447,6.50284978272828,1.3219572808764,4.91910735452598,8.69397793757844e-07,6.35342270065781e-05
"BA000022.2-2613285-plus",20.2323430431581,-2.34510360965395,0.479215713580444,-4.89362836650866,9.89936934287803e-07,7.09518260402047e-05
"BA000022.2-298998-minus",51.3134058054038,2.51770840267495,0.516471261332412,4.87482768388637,1.08903473682233e-06,7.65817446063554e-05
"BA000022.2-1679016-plus",15.2191923009602,3.12911602670831,0.644700119382951,4.85359926674625,1.21240609798945e-06,8.30776032052535e-05
"BA000022.2-2812333-minus",27.536695857282,2.05536834575157,0.423665850881004,4.85139017335826,1.22599092468177e-06,8.30776032052535e-05
"BA000022.2-484796-minus",81.6255327370027,2.44851018160907,0.506060923258469,4.83837038007874,1.30908025012135e-06,8.71239659321832e-05
"BA000022.2-1347725-minus",22.1847746954541,-3.4468724341246,0.716439280151897,-4.81111593070917,1.50089923246326e-06,9.81377445507118e-05
"BA000022.2-917216-plus",10.8338905998099,3.05947180832038,0.638376882167471,4.79257926435651,1.64650686288356e-06,0.000105802259964949
"BA000022.2-1679086-plus",9.12530688725417,5.45475476232558,1.13968524895855,4.78619405428838,1.69973720510663e-06,0.00010737153497343
"BA000022.2-438849-plus",19.556033301483,-2.68235020091854,0.56220943748904,-4.77108711105696,1.83234268138733e-06,0.000113819019558843
"BA000022.2-2645050-plus",84.6381001259216,-1.62209858028592,0.342865344694588,-4.73100768387901,2.23408063878697e-06,0.000136498664602607
"BA000022.2-2961342-plus",162.804707069433,1.82057169019209,0.385257722390837,4.72559428242985,2.29443346748283e-06,0.000137925056988847
"BA000022.2-2613282-plus",11.787601306358,-3.26240255983763,0.696291339102709,-4.68539873559507,2.79415422612619e-06,0.000165298615885275
"BA000022.2-1602091-plus",10.1544801775393,-4.45505183499835,0.95403520792922,-4.66969331736535,3.01649720288255e-06,0.000175663829299113
"BA000022.2-916997-plus",13.2794220136936,4.3833921816079,0.940749758290294,4.65946671043979,3.17029660253048e-06,0.000181779929809709
"BA000022.2-2480651-plus",19.9436314917106,-2.43085799247953,0.522299640084586,-4.65414449086325,3.25328616516457e-06,0.000181860562860853
"BA000022.2-2613225-plus",11.1115186480376,-3.0175793365224,0.649351426205131,-4.64706661869891,3.36688458207642e-06,0.000181860562860853
"BA000022.2-460311-minus",7.70979403702822,5.9751542741076,1.28529829136994,4.64884635280965,3.33796739418868e-06,0.000181860562860853
