"","dIF11_0h","dIF11_1h","dIF12_0h","dIF12_1h","dIF31_0h","dIF31_1h","dWT1_0h","dWT1_1h","dWT2_0h","dWT2_1h","dWT3_0h","dWT3_1h"
"AP004310.1-103034-plus",7.14775415175631,21.5007405227354,7.12771259386828,17.490981484628,12.6510320521941,14.4792384196633,30.6314895711521,15.3752450221568,17.4247769807778,10.9756356915743,9.86887209354906,9.42341612340583
"AP004310.1-103153-plus",1.02110773596519,2.86676540303139,3.95984032992682,8.16245802615973,2.10850534203234,7.23961920983165,5.25111249791178,18.2581034638112,2.48925385439682,15.6794795593918,6.28019133225849,17.1334838607379
"AP004310.1-103159-plus",13.2744005675474,14.3338270151569,15.0473932537219,18.6570469169365,15.4623725082372,16.8924448229405,39.3833437343384,121.080054549485,44.8065693791428,90.157007466503,32.2981268516151,77.9573515663573
"AP004310.1-103160-plus",2.04221547193037,0,2.37590419795609,0,2.81134045604312,1.20660320163861,6.12629791423042,14.414292208272,7.46776156319047,11.7596096695439,7.17736152258114,5.99671935125826
"AP004310.1-103220-plus",1.02110773596519,0,3.95984032992682,1.16606543230853,1.40567022802156,3.61980960491582,10.5022249958236,33.6333484859679,9.95701541758729,21.9512713831486,6.28019133225849,17.9901580537748
"AP004310.1-103380-plus",6.12664641579112,4.30014810454708,3.95984032992682,15.1588506200109,4.21701068406469,15.6858416213019,5.25111249791178,8.64857532496318,3.73388078159524,7.83973977969592,6.28019133225849,4.28337096518447
"AP004310.1-103448-plus",4.08443094386075,1.43338270151569,1.58393613197073,4.66426172923413,2.81134045604312,2.41320640327722,1.75037083263726,13.4533393943872,7.46776156319047,7.83973977969592,2.69151057096793,4.28337096518447
"AP004310.1-2486-plus",2.04221547193037,2.86676540303139,7.12771259386828,2.33213086461707,7.02835114010781,4.82641280655443,2.62555624895589,7.68762251107838,4.97850770879365,5.48781784578714,8.07453171290378,9.42341612340583
"AP004310.1-28274-plus",8.1688618877215,2.86676540303139,9.50361679182438,5.83032716154267,7.02835114010781,0,3.50074166527452,5.76571688330879,4.97850770879365,4.70384386781755,7.17736152258114,8.56674193036894
"AP004310.1-4033-plus",6.12664641579112,11.4670616121256,6.33574452788292,6.9963925938512,4.91984579807547,7.23961920983165,4.37592708159315,4.80476406942399,18.6694039079762,6.27179182375673,9.86887209354906,2.57002257911068
"AP004310.1-40530-minus",10.2110773596519,1.43338270151569,3.95984032992682,0,10.5425267101617,1.20660320163861,5.25111249791178,0.960952813884798,8.71238849038888,0.783973977969592,10.7660422838717,3.42669677214758
