GO_ID	term
GO:0009451	RNA modification
GO:0001522	pseudouridine synthesis
GO:0003723	RNA binding
GO:0016866	intramolecular transferase activity
GO:0009982	pseudouridine synthase activity
GO:0015995	chlorophyll biosynthetic process
GO:0055114	oxidation-reduction process
GO:0015979	photosynthesis
GO:0048529	magnesium-protoporphyrin IX monomethyl ester (oxidative) cyclase activity
GO:0046872	metal ion binding
GO:0016491	oxidoreductase activity
GO:0046914	transition metal ion binding
GO:0005506	iron ion binding
GO:0036068	light-independent chlorophyll biosynthetic process
GO:0044237	cellular metabolic process
GO:0008152	metabolic process
GO:0005488	binding
GO:0003824	catalytic activity
GO:0050662	coenzyme binding
GO:0016853	isomerase activity
GO:0042351	'de novo' GDP-L-fucose biosynthetic process
GO:0050577	GDP-L-fucose synthase activity
GO:0070401	NADP+ binding
GO:0019673	GDP-mannose metabolic process
GO:0005622	intracellular
GO:0008446	GDP-mannose 4,6-dehydratase activity
GO:0019684	photosynthesis, light reaction
GO:0009772	photosynthetic electron transport in photosystem II
GO:0030076	light-harvesting complex
GO:0016020	membrane
GO:0030077	plasma membrane light-harvesting complex
GO:0045156	electron transporter, transferring electrons within the cyclic electron transport pathway of photosynthesis activity
GO:0006527	arginine catabolic process
GO:0008295	spermidine biosynthetic process
GO:0008792	arginine decarboxylase activity
GO:0033388	putrescine biosynthetic process from arginine
GO:0006281	DNA repair
GO:0006260	DNA replication
GO:0003677	DNA binding
GO:0003911	DNA ligase (NAD+) activity
GO:0005829	cytosol
GO:0006288	base-excision repair, DNA ligation
GO:0006810	transport
GO:0005215	transporter activity
GO:0005524	ATP binding
GO:0016887	ATPase activity
GO:0017111	nucleoside-triphosphatase activity
GO:0000166	nucleotide binding
GO:0006827	GO:0006827
GO:0005381	iron ion transmembrane transporter activity
GO:0004872	GO:0004872
GO:0045449	GO:0045449
GO:0006355	regulation of transcription, DNA-templated
GO:0043565	sequence-specific DNA binding
GO:0003700	DNA-binding transcription factor activity
GO:0055085	transmembrane transport
GO:0016021	integral component of membrane
GO:0030288	outer membrane-bounded periplasmic space
GO:0015891	siderophore transport
GO:0015343	siderophore transmembrane transporter activity
GO:0008168	methyltransferase activity
GO:0005887	integral component of plasma membrane
GO:0015031	protein transport
GO:0022857	transmembrane transporter activity
GO:0008565	protein transporter activity
GO:0017038	protein import
GO:0042626	ATPase activity, coupled to transmembrane movement of substances
GO:0015421	oligopeptide-transporting ATPase activity
GO:0009654	photosystem II oxygen evolving complex
GO:0030096	plasma membrane-derived thylakoid photosystem II
GO:0006313	transposition, DNA-mediated
GO:0004803	transposase activity
GO:0045226	extracellular polysaccharide biosynthetic process
GO:0008831	dTDP-4-dehydrorhamnose reductase activity
GO:0019538	protein metabolic process
GO:0016671	oxidoreductase activity, acting on a sulfur group of donors, disulfide as acceptor
GO:0005737	cytoplasm
GO:0006464	cellular protein modification process
GO:0008113	peptide-methionine (S)-S-oxide reductase activity
GO:0034599	cellular response to oxidative stress
