"","type","updown","number_feat_overlap","number_PSS_overlap","number_total"
"1","CDS","up",198,436,3675
"2","5UTR","up",19,28,979
"3","3UTR","up",4,5,29
"4","tRNA","up",0,0,42
"5","rRNA","up",0,0,6
"6","ncRNA","up",6,14,318
"7","asRNA","up",6,7,1071
"8","CRISPR","up",2,39,3
"9","misc","up",1,1,11
"10","CDS","down",182,491,3675
"11","5UTR","down",22,31,979
"12","3UTR","down",0,0,29
"13","tRNA","down",1,1,42
"14","rRNA","down",0,0,6
"15","ncRNA","down",10,10,318
"16","asRNA","down",11,11,1071
"17","CRISPR","down",0,0,3
"18","misc","down",0,0,11
"19","CDS","both",307,927,3675
"20","5UTR","both",36,59,979
"21","3UTR","both",4,5,29
"22","tRNA","both",1,1,42
"23","rRNA","both",0,0,6
"24","ncRNA","both",15,24,318
"25","asRNA","both",17,18,1071
"26","CRISPR","both",2,39,3
"27","misc","both",1,1,11
