"","seqnames","start","end","width","strand","baseMeans"
"1","AP004310.1",32827,32827,1,"+",10.4842561694918
"2","AP004310.1",43434,43436,3,"+",7.43367274936327
"3","AP004310.1",57165,57165,1,"+",7.72038270228273
"4","AP004310.1",61146,61146,1,"+",11.5509801291275
"5","AP004310.1",64079,64079,1,"+",5.71877458106795
"6","AP004310.1",79703,79703,1,"+",19.4585975847108
"7","AP004310.1",85949,85949,1,"+",5.24424237133856
"8","AP004310.1",95190,95190,1,"+",14.4182154678681
"9","AP004310.1",101078,101078,1,"+",10.7258180225055
"10","AP004310.1",105724,105724,1,"+",9.82821824564638
"11","AP004310.1",106061,106061,1,"+",5.433803730216
"12","AP004310.1",106085,106085,1,"+",7.09840832469004
"13","AP004311.1",3766,3766,1,"+",12.3129615111831
"14","AP004311.1",41310,41310,1,"+",10.4566314392974
"15","AP004311.1",41477,41477,1,"+",6.57785464253498
"16","AP004311.1",55309,55309,1,"+",6.91325814396625
"17","AP004311.1",58541,58541,1,"+",8.86628805921616
"18","AP004311.1",61518,61518,1,"+",6.07609389192755
"19","AP004311.1",62045,62045,1,"+",12.9279122662783
"20","AP004311.1",64318,64318,1,"+",8.66864727472588
"21","AP004311.1",74085,74085,1,"+",5.54142996635384
"22","AP004311.1",101822,101822,1,"+",9.22121717525686
"23","AP004311.1",102529,102535,7,"+",6.14085353954649
"24","AP004311.1",103185,103185,1,"+",6.36384671002452
"25","AP004312.1",5188,5189,2,"+",8.06950292795066
"26","AP004312.1",37240,37240,1,"+",7.42544850328374
"27","AP004312.1",43613,43613,1,"+",5.90780924484149
"28","AP006585.1",166,166,1,"-",7.52914859304956
"29","AP006585.1",34725,34725,1,"-",6.61012637275343
"30","AP006585.1",36244,36244,1,"-",6.49689644770065
"31","AP006585.1",43697,43697,1,"-",7.93571995823079
"32","AP006585.1",85074,85074,1,"-",8.61081851981988
"33","AP006585.1",85844,85845,2,"-",8.50583622343879
"34","AP006585.1",86098,86098,1,"-",5.50738680261158
"35","BA000022.2",49296,49296,1,"+",7.95570918927675
"36","BA000022.2",56700,56700,1,"+",5.86467695901665
"37","BA000022.2",57759,57759,1,"+",6.31444537441043
"38","BA000022.2",59047,59047,1,"+",7.04706433941577
"39","BA000022.2",124575,124575,1,"+",8.4351218800072
"40","BA000022.2",175461,175461,1,"+",6.18370535479066
"41","BA000022.2",216998,216999,2,"+",19.6478386237395
"42","BA000022.2",217059,217059,1,"+",6.33032449300164
"43","BA000022.2",217958,217958,1,"+",8.3878010962646
"44","BA000022.2",219565,219565,1,"+",4.63589910841257
"45","BA000022.2",240534,240534,1,"+",7.22703761912543
"46","BA000022.2",256376,256376,1,"+",10.9072264670584
"47","BA000022.2",270013,270013,1,"+",10.2070603145662
"48","BA000022.2",299022,299022,1,"+",6.18689554815438
"49","BA000022.2",317653,317653,1,"+",8.66251690039798
"50","BA000022.2",330405,330405,1,"+",17.9835247701605
"51","BA000022.2",334564,334564,1,"+",15.7733183922375
"52","BA000022.2",338849,338849,1,"+",7.42631854401236
"53","BA000022.2",348133,348133,1,"+",8.72898543533088
"54","BA000022.2",425675,425675,1,"+",9.42672776084516
"55","BA000022.2",460415,460415,1,"+",5.13981693579824
"56","BA000022.2",460516,460516,1,"+",10.6957269811669
"57","BA000022.2",462457,462457,1,"+",6.72450463181954
"58","BA000022.2",462540,462541,2,"+",5.7948246114664
"59","BA000022.2",530751,530751,1,"+",8.0672154663551
"60","BA000022.2",577081,577081,1,"+",6.251449774166
"61","BA000022.2",577470,577470,1,"+",10.253119783465
"62","BA000022.2",622926,622926,1,"+",10.1067970733361
"63","BA000022.2",635563,635563,1,"+",14.719367666156
"64","BA000022.2",645077,645095,19,"+",7.21985320577646
"65","BA000022.2",669185,669185,1,"+",7.46743175562086
"66","BA000022.2",721128,721128,1,"+",7.30090207993622
"67","BA000022.2",724716,724716,1,"+",4.54874742906575
"68","BA000022.2",724822,724822,1,"+",10.0823784326749
"69","BA000022.2",725015,725015,1,"+",4.1294827283094
"70","BA000022.2",726068,726068,1,"+",8.71641740385931
"71","BA000022.2",726372,726379,8,"+",7.35032359366147
"72","BA000022.2",726504,726504,1,"+",10.3090147319226
"73","BA000022.2",726548,726576,29,"+",4.44229472386098
"74","BA000022.2",726615,726615,1,"+",16.3291962151502
"75","BA000022.2",726666,726666,1,"+",9.13266164441254
"76","BA000022.2",726962,726962,1,"+",8.81121980410254
"77","BA000022.2",727081,727081,1,"+",14.1549935761126
"78","BA000022.2",727153,727153,1,"+",9.38611227346842
"79","BA000022.2",727221,727221,1,"+",5.46320669853066
"80","BA000022.2",727289,727300,12,"+",15.5827283795163
"81","BA000022.2",727322,727323,2,"+",18.9871237174306
"82","BA000022.2",727347,727347,1,"+",7.32685547596554
"83","BA000022.2",727387,727387,1,"+",18.5299433643863
"84","BA000022.2",742668,742668,1,"+",4.36092500658056
"85","BA000022.2",742713,742713,1,"+",4.25109460406369
"86","BA000022.2",766182,766188,7,"+",6.98828619779758
"87","BA000022.2",778482,778482,1,"+",8.19430288695559
"88","BA000022.2",779467,779467,1,"+",9.69379570037863
"89","BA000022.2",787907,787910,4,"+",7.01542696181433
"90","BA000022.2",804361,804361,1,"+",6.49495838837699
"91","BA000022.2",805614,805614,1,"+",12.6804906093702
"92","BA000022.2",806718,806718,1,"+",6.69652640505627
"93","BA000022.2",830598,830598,1,"+",6.39518676905084
"94","BA000022.2",834282,834282,1,"+",6.40749913346543
"95","BA000022.2",835826,835826,1,"+",6.21189600290113
"96","BA000022.2",910792,910792,1,"+",6.33593304734431
"97","BA000022.2",925356,925356,1,"+",8.45660501980343
"98","BA000022.2",953250,953250,1,"+",8.96377969025275
"99","BA000022.2",966630,966630,1,"+",8.91825971973942
"100","BA000022.2",966701,966701,1,"+",6.11714700105383
"101","BA000022.2",998297,998297,1,"+",8.15796673984994
"102","BA000022.2",1003527,1003527,1,"+",11.7599532622268
"103","BA000022.2",1010147,1010147,1,"+",5.26575827763305
"104","BA000022.2",1063155,1063155,1,"+",6.44579498031831
"105","BA000022.2",1070962,1070962,1,"+",5.48717155822362
"106","BA000022.2",1096217,1096217,1,"+",13.7380512793237
"107","BA000022.2",1112363,1112363,1,"+",7.46495602213438
"108","BA000022.2",1112641,1112641,1,"+",8.5114320761903
"109","BA000022.2",1163215,1163215,1,"+",7.67071701380235
"110","BA000022.2",1180799,1180799,1,"+",6.75907509907152
"111","BA000022.2",1224174,1224174,1,"+",6.59724679951042
"112","BA000022.2",1304388,1304388,1,"+",5.2860735015967
"113","BA000022.2",1304765,1304766,2,"+",7.30273727835362
"114","BA000022.2",1320955,1320955,1,"+",6.76564996933904
"115","BA000022.2",1326641,1326641,1,"+",8.83800075997469
"116","BA000022.2",1349204,1349204,1,"+",6.11351724146919
"117","BA000022.2",1357185,1357185,1,"+",14.3180928794817
"118","BA000022.2",1365356,1365356,1,"+",17.1858180307076
"119","BA000022.2",1383422,1383422,1,"+",16.0767586645801
"120","BA000022.2",1387177,1387177,1,"+",7.03125267811693
"121","BA000022.2",1426088,1426088,1,"+",10.8792053122756
"122","BA000022.2",1427694,1427694,1,"+",5.01166527391263
"123","BA000022.2",1466498,1466498,1,"+",14.7838627827058
"124","BA000022.2",1491383,1491383,1,"+",5.93449447309117
"125","BA000022.2",1522133,1522133,1,"+",6.22726846575003
"126","BA000022.2",1544843,1544843,1,"+",9.78269992202117
"127","BA000022.2",1545167,1545167,1,"+",7.70413631494245
"128","BA000022.2",1589320,1589320,1,"+",5.1701129238431
"129","BA000022.2",1603103,1603103,1,"+",6.78914568760022
"130","BA000022.2",1659075,1659075,1,"+",7.98512114556731
"131","BA000022.2",1687495,1687495,1,"+",6.0827346936418
"132","BA000022.2",1687978,1687978,1,"+",11.6993399428824
"133","BA000022.2",1792485,1792485,1,"+",8.07543047964634
"134","BA000022.2",1818703,1818703,1,"+",8.27189542576877
"135","BA000022.2",1846544,1846544,1,"+",4.29845979597822
"136","BA000022.2",1857617,1857617,1,"+",5.48087182824607
"137","BA000022.2",1897289,1897289,1,"+",9.1556255801882
"138","BA000022.2",1908041,1908041,1,"+",5.57677001332934
"139","BA000022.2",1908378,1908378,1,"+",5.09609068861615
"140","BA000022.2",1941160,1941160,1,"+",17.4383937898335
"141","BA000022.2",1997439,1997439,1,"+",9.78293251976249
"142","BA000022.2",1997542,1997542,1,"+",7.02852846973172
"143","BA000022.2",2016264,2016264,1,"+",18.3937038194167
"144","BA000022.2",2108018,2108018,1,"+",8.88084005414342
"145","BA000022.2",2109901,2109901,1,"+",7.21975707855624
"146","BA000022.2",2115079,2115079,1,"+",7.50079236774398
"147","BA000022.2",2191614,2191614,1,"+",5.21228960544565
"148","BA000022.2",2263365,2263365,1,"+",8.95534608672275
"149","BA000022.2",2279417,2279417,1,"+",8.37094715883465
"150","BA000022.2",2286525,2286525,1,"+",4.79418614433628
"151","BA000022.2",2286671,2286671,1,"+",15.3018511439398
"152","BA000022.2",2331473,2331473,1,"+",8.90003485058749
"153","BA000022.2",2331494,2331494,1,"+",9.48470031745123
"154","BA000022.2",2332621,2332621,1,"+",6.72914912369516
"155","BA000022.2",2416312,2416312,1,"+",7.31184991032988
"156","BA000022.2",2467311,2467311,1,"+",7.6525264472726
"157","BA000022.2",2468978,2468978,1,"+",7.47797348560085
"158","BA000022.2",2474032,2474032,1,"+",8.20790641311503
"159","BA000022.2",2484954,2484954,1,"+",9.25851400337409
"160","BA000022.2",2502538,2502538,1,"+",9.0865486158331
