CDS	TUs	rowname	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
slr1986	TU1472	BA000022.2-1431349-plus	242.12923432585455	4.460006552368607	0.4326277347151292	10.30910918206705	6.409263778215843e-25	2.3887326101410446e-21
slr2051	TU584	BA000022.2-597201-plus	145.54830972136278	4.433487796212482	0.4352439122882568	10.18621437552982	2.2848905059216423e-24	4.2578934577849806e-21
slr0623	TU3128	BA000022.2-2961377-plus	136.92870436227253	4.897537425135251	0.49324705585274875	9.929177208504889	3.1080955687043955e-23	3.8612907281870936e-20
CRISPR3		AP004311.1-91410-plus	317.70781458688896	2.82623876195766	0.29832006860797916	9.473847251193837	2.6972225882515585e-21	2.5131371466033895e-18
sll1501	TU475	BA000022.2-484800-minus	112.6203887245929	4.508197755015567	0.4879196085563955	9.23963225899845	2.4734585038978867e-20	1.8437159688054847e-17
sll1578	TU716	BA000022.2-726814-minus	50.06736539721569	4.321219701550005	0.48567461697884773	8.897355452566721	5.71931022523209e-19	3.55264486824e-16
slr1834	TU958	BA000022.2-943753-plus	54.5360807575032	-3.349986634786743	0.38342251835752256	-8.737062833808436	2.392494277393113e-18	1.2738323102634476e-15
slr2051	TU584	BA000022.2-597228-plus	71.50709560678233	4.129847607865336	0.47891875238839404	8.623273963004287	6.506653952550832e-18	3.0312874101446188e-15
slr1841	TU971	BA000022.2-959937-plus	381.5039976866396	3.167174774756109	0.36867912990699725	8.590599569753403	8.65166576420412e-18	3.582750922576528e-15
slr1841	TU971	BA000022.2-959306-plus	56.17098441203805	3.3048373338093375	0.39381716080738294	8.391806306850459	4.787291659422267e-17	1.7842236014666787e-14
slr1146,sml0011	TU807	BA000022.2-811104-minus	52.58254691781968	-3.1487412376166226	0.3782202349666994	-8.325152772151007	8.42200537465596e-17	2.8535285483038876e-14
ncr1240	TU2555	BA000022.2-2453860-plus	41.99798214426918	-3.3134611516132817	0.4032566461338386	-8.216755218743655	2.090832263033135e-16	6.493776536937078e-14
	TU5115	AP004310.1-103159-plus	45.22244784428293	3.0907102816182324	0.38068518021746306	8.118809037569289	4.707805974745768e-16	1.3496917590674983e-13
slr1835	TU959	BA000022.2-946051-plus	32.87848933882285	-3.810976981573291	0.469952080722791	-8.109288452797081	5.091704304002115e-16	1.3554844243582773e-13
slr1311	TU13	BA000022.2-8106-plus	37.65444364172694	-3.375770927045467	0.42792035512112464	-7.888783243531243	3.051469893828838e-15	7.581885529533386e-13
	TU3505	BA000022.2-3324448-minus	26.651003397728218	-3.8822429866747123	0.4938729794629914	-7.860812694988975	3.8164911707824826e-15	8.106264783115122e-13
sll1501	TU475	BA000022.2-484801-minus	57.82944506173008	3.602539338105178	0.4584771840597438	7.8576196664908275	3.915019213739528e-15	8.106264783115122e-13
sll1578	TU716	BA000022.2-726537-minus	64.43287833796903	-3.0017830564690597	0.3819640428460379	-7.858810567881172	3.877981869420031e-15	8.106264783115122e-13
sll0427	TU2166	BA000022.2-2086362-minus	66.11854559981344	3.6257540602205958	0.46382549397953576	7.817065054170063	5.406916448079778e-15	1.0606093474733333e-12
	TU475	BA000022.2-484796-minus	81.62553273700271	4.216989882760132	0.5411737387944007	7.792303248406931	6.57985821064711e-15	1.226156577554089e-12
sll1577	TU716	BA000022.2-727464-minus	31.05021429536763	3.7112488389455676	0.48013113066725094	7.7296567581192805	1.07836945337825e-14	1.913849025114637e-12
ncr1240	TU2555	BA000022.2-2453855-plus	30.80008163389783	-3.4952806528904112	0.45500248471700716	-7.681893550678811	1.5675407114298722e-14	2.6555564688632424e-12
ssr2799	TU2028	BA000022.2-1958360-plus	102.82261331758785	-2.3397332222502607	0.30533364091868037	-7.662874012868444	1.8181768586187233e-14	2.946237022639992e-12
