"","dWT3_0h","dWT2_0h","dWT1_0h","dWT1_1h","dWT3_1h","dWT2_1h","dIF31_0h","dIF12_0h","dIF11_0h","dIF31_1h","dIF12_1h","dIF11_1h"
"6803r01",577.305054916087,414.493858235207,493.219436317031,1578.25033261033,505.175959203843,815.003244928644,731.430645327732,833.008775361358,637.855812689613,492.670007167607,665.188774449363,725.726321694026
"6803r02",0,0,0,0,0,0,0,0,0,0,0,0
"6803r03",0,0,0,0,0,0,0,0,0,0,0,0
"6803r03_5'UTR",0,0,0,0,0,0,0,0,0,0,0,0
"6803r04",0,0,0,0,0,0,0,0,0,0,0,0
"6803r05",0,0,0,0,0,0,0,0,0,0,0,0
"6803r06",292.187048202428,185.876142661831,126.827855052951,383.898729553863,204.355099074921,355.637779605226,224.134303012708,248.410414570352,292.833804916595,200.115446210348,220.324015625859,410.788483977751
"6803t01",43.5924225140719,27.8317218958892,57.9337115673973,21.3277071974368,21.5778676041842,18.7697717013869,35.9299264371517,29.8443607611024,29.9598942323909,9.14233002991436,17.9210921800938,14.5487588075453
"6803t01_5'UTR",0,0,0,2.50914202322786,0,0,0,0,0,1.01581444776826,1.05418189294669,1.71161868324063
"6803t02",34.1670338623807,28.8257119635995,22.7037518304665,18.818565174209,16.5007222855526,36.5516606816483,16.2540143406163,20.1888322795693,26.0941014282114,10.1581444776826,15.8127283942004,18.8278055156469
"6803t02_5'UTR",0,0,0,0,0,0,0,0,0,0,0,0
"6803t03",28.2761659550737,29.8197020313099,39.1443997077009,20.0731361858229,25.3857265931579,31.6122470760201,11.9766421457172,14.0444050640482,16.4296194177627,20.3162889553652,20.0294559659872,25.6742802486094
"6803t03_5'UTR",0,0,0,0,0,0,0,0,0,0,0,0
"6803t04",38.8797281882263,20.8737914219169,38.3615117135469,15.0548521393672,29.1935855821316,23.7091853070151,31.6525542422527,23.6999335455813,26.0941014282114,10.1581444776826,21.0836378589339,13.692949465925
"6803t04_5'UTR",0,0,0,0,0,0,0,0,0,0,0,0
"6803t05",82.4721507022982,45.7235431146751,91.5978953160201,70.2559766503802,83.7728977574211,97.8003893914372,33.3635031202123,41.2554398756415,66.6849258720958,30.4744334330479,45.3298213967078,58.1950352301813
"6803t05_5'UTR",0,1.98798013542066,0.782887994154018,3.7637130348418,1.2692863296579,2.96364816337689,0.855474438979803,0.877775316503012,0.966448201044867,1.01581444776826,8.43345514357354,8.55809341620314
"6803t06",114.282837401756,170.966291646177,147.965830895109,95.3473968826588,115.505055998869,138.303580957588,89.8248160928793,97.4330601318343,107.27575031598,51.8065368361814,49.5465489684946,71.8879846961064
"6803t07",45.9487696769947,32.8016722344408,60.2823755498594,42.6554143948737,36.809303560079,47.4183706140302,38.4963497540911,48.2776424076656,43.490169047019,20.3162889553652,36.8963662531343,29.0975176150907
"6803t07_5'UTR",0,0,0,0,0,0,0.855474438979803,0,0,0,0,0
"6803t08",120.173705309063,69.579304739723,97.0781112750982,112.911391045254,115.505055998869,113.606512929447,118.910947018193,88.6553069668042,116.940232326429,93.4549291946801,93.8221884722557,72.7437940377267
"6803t09",122.530052471986,118.284818057529,193.373334556042,50.1828404645573,105.350765361605,122.497457419578,138.586859114728,106.210813296864,109.20864671807,33.5218767763526,27.408729216614,41.9346577393954
"6803t09_5'UTR",77.7594563764525,95.4230465001915,85.334791362788,81.5471157549056,68.5414618015264,77.054852247799,71.0043784353237,43.0109905086476,70.5507186762753,19.300474507597,14.7585465012537,27.38589893185
"6803t10",414.717100674414,326.028742208988,358.56270132254,276.005622555065,175.16151349279,281.546575520804,343.045250030901,312.488012675072,318.927906344806,109.707960358972,128.610190939497,148.055016100314
"6803t10_5'UTR",0,0,0,0,0,0,0,0,0,0,0,0
"6803t11",104.857448750065,105.362947177295,54.8021595907813,117.92967509171,115.505055998869,100.764037554814,124.043793652071,71.099800636744,72.4836150783651,107.676331463436,108.580734973509,71.8879846961064
"6803t11_3'UTR",41.2360753511491,82.5011756199573,32.0984077603147,61.4739795690827,43.1557352083685,54.3335496619096,36.7854008761315,36.8665632931265,38.6579280417947,53.8381657317179,46.3840032896545,48.7811324723579
"6803t12",67.1558941432999,63.615364333461,77.5059114212478,61.4739795690827,38.0785898897369,61.248728709789,52.183940777768,43.0109905086476,37.6914798407498,33.5218767763526,41.113093824921,53.9159885220798
"6803t12_5'UTR",0,0,0,0,0,0,0,0,0,0,0,0
"6803t13",553.741583286859,336.962632953801,270.87924597729,400.208152704844,539.446690104606,492.953477841689,313.103644666608,272.988123432437,385.612832216902,304.744334330479,261.43710945078,232.780140920725
"6803t13_3'UTR",223.852980477666,239.551606318189,160.492038801574,176.894512637564,192.931522108,208.443254157508,146.286129065546,146.588477856003,162.363297775538,110.723774806741,106.472371187616,133.506257292769
"6803t14",122.530052471986,57.6514239271991,110.387207175717,57.7102665342409,83.7728977574211,140.279346399839,12.832116584697,21.0666075960723,46.3895136501536,11.1739589254509,25.3003654307206,49.6369418139782
"6803t14_5'UTR",11.781735814614,6.9579304739723,7.82887994154018,18.818565174209,6.34643164828948,7.90306176900503,10.2656932677576,7.89997784852711,11.5973784125384,8.1265155821461,4.21672757178677,9.41390275782345
"6803t15",205.002203174284,116.296837922108,134.656734994491,92.8382548594309,79.9650387684474,110.64286476607,172.80583667392,163.26620886956,173.960676188076,71.1070113437783,62.1967316838549,69.3205566712454
"6803t15_5'UTR",5.89086790730701,12.9218708802343,9.39465592984822,10.0365680929115,5.07714531863158,2.96364816337689,6.84379551183843,5.26665189901807,7.73158560835894,6.09488668660957,3.16254567884008,4.27904670810157
"6803t16",11.781735814614,8.94591060939296,10.1775439240022,5.01828404645573,10.1542906372632,8.89094449013066,4.27737219489902,6.14442721552108,5.7986892062692,1.01581444776826,2.10836378589339,8.55809341620314
