locus_tag	localization	sense_tags	annotation	antisense_tags	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
TU7074	pSYSA	NA	NA	sll7077	236.44773529924788	3.044902685231304	0.14708168220213216	20.70212034321677	3.314620575049392e-95	1.1998926481678799e-91
TU7079	pSYSA	sll7090; sll7089	sll7090; sll7089	slr7088	4420.023777812138	3.0968164384326053	0.1726178105356492	17.94030655830296	5.713903835724124e-72	1.0342165942660664e-68
TU7058	pSYSA	sll7067; sll7066; sll7065; sll7064; sll7063; sll7062	sll7067; sll7066; sll7065; sll7064; sll7063; sll7062	slr7061	16245.99309529853	2.9507270387186066	0.1705715651569633	17.29905588896537	4.781606063935191e-67	5.769804650481798e-64
TU7078	pSYSA	sll7087; sll7086; sll7085	sll7087; sll7086; sll7085	slr7083; ssr7084	2347.983605964403	3.2776007706683314	0.20777194802799484	15.774991772357609	4.624583775175509e-56	4.185248316533835e-53
TU7065	pSYSA	sll7070; sll7069	hypothetical protein; hypothetical protein	slr7068	1064.7808799994045	2.380302501238946	0.15882981412801184	14.986496800408624	8.997544275572004e-51	6.514222055514132e-48
TU7075	pSYSA	slr7080; slr7081; slr7082	slr7080; slr7081; slr7082	NA	1676.8630637765993	1.2402860978433137	0.09181605136974037	13.508379845793197	1.3955898707092626e-41	8.420058886612551e-39
TU7071	pSYSA	sll7075; ssl7074	sll7075; ssl7074	slr7073	3316.805009150871	1.31837741323113	0.09846325672181418	13.38953694123595	6.96133996401792e-41	3.6000072385349816e-38
TU7084	pSYSA	slr7092	hypothetical protein	NA	324.09317540151756	2.761091503023838	0.21201477164154955	13.023109105303178	9.04131649361916e-39	4.0911957133626695e-36
TU7011	pSYSA	slr7023; slr7024; slr7025; slr7026	slr7023; slr7024; slr7025; slr7026	NA	2843.4890001378703	1.4926910755190332	0.11682834083527584	12.776789132216464	2.210065227410737e-37	8.889373470252076e-35
TU7087	pSYSA	slr7094; slr7095	slr7094; slr7095	NA	1241.4079598817048	1.7249256167732905	0.1668229682419504	10.339856885123623	4.652317849039372e-25	1.6841390613522527e-22
TU7089	pSYSA	slr7097	hypothetical protein	NA	420.91992344294556	1.6991746647661226	0.16527219159811204	10.281068147858534	8.577169345215645e-25	2.822668457243694e-22
TU7094	pSYSA	NA	NA	NA	489.05909662133	1.3066651139776297	0.12971097541450238	10.073666548278362	7.223392511464332e-24	2.179056740958407e-21
TU235	Chr	slr1788; slr1789	unknown protein ; unknown protein	sll1672; sll1673	1095.9600921188207	1.1595668724471293	0.11863151450059829	9.774526417609557	1.4483308066473958e-22	4.033044246202748e-20
TU7066	pSYSA	slr7071	hypothetical protein	NA	260.1119561943654	1.506482525132635	0.15587004509956143	9.664990628381322	4.246587846543747e-22	1.098046286034883e-19
TU7069	pSYSA	slr7073	hypothetical protein	sll7075; ssl7074	2193.4508947157847	1.0520234576101888	0.10911598321363328	9.64133233854915	5.348916109101335e-22	1.2908717543297887e-19
TU7088	pSYSA	slr7096	hypothetical protein 	NA	545.5028413186647	1.4942028007810932	0.15828359421484306	9.440035830579934	3.72651949543513e-21	8.431250358421982e-19
TU7091	pSYSA	slr7100	unknown protein	NA	168.07234113199516	2.0242601403782037	0.22061626368026688	9.17548011470228	4.4956657990011543e-20	9.573123642578928e-18
TU1380	Chr	sll0856; sll0857; sll0858	RNA polymerase ECF-type (group 3) sigma-E factor ; unknown protein ; hypothetical protein	slr0854	1053.695444120848	1.0535405184394329	0.11521039251535105	9.144492050047093	5.991074558968196e-20	1.204871661303604e-17
TU1409	Chr	slr0869; slr0870; slr0871; ssr1473; slr0872	hypothetical protein ; hypothetical protein ; unknown protein ; hypothetical protein ; hypothetical protein	sll1165; ssl1577	1341.0805624489387	0.9552185559729253	0.11118438167593217	8.59130159807058	8.598958973095953e-18	1.6383279727688078e-15
TU1684	Chr	ncl0790; sll1239; sll1240; sll1241	ncRNA; unknown protein ; unknown protein ; unknown protein	slr2131; ssr3588	1078.1867682418647	1.1639900043906781	0.13677278372303406	8.510391999827736	1.7334630217835743e-17	3.1375680694282697e-15
TU7095	pSYSA	slr7102	hypothetical protein 	NA	227.2782114292165	1.3936447477414458	0.1646635211898966	8.463591314400707	2.592672354964227e-17	4.4692732976050005e-15
TU3718	Chr	ncl1800; SyR52	ncRNA; ncRNA	slr0610	537.5767282635024	-1.0973385650983405	0.13028092057890336	-8.422864685191936	3.673887052191293e-17	6.045214149514764e-15
TU7053	pSYSA	slr7057; slr7058	slr7057; slr7058	sll7056	2346.3357073052175	0.9286420103898037	0.11039807778977336	8.41175887281461	4.039075673413401e-17	6.357153885981092e-15
TU156	Chr	sll0217; sll0218; sll0219	flavoprotein Flv4; hypothetical protein Flv2; flavoprotein	NA	2445.0587393280075	1.2709880835592249	0.15127746715103357	8.40170124140356	4.400562440043275e-17	6.63751501373194e-15
TU259	Chr	sll1660; ssl3222	hypothetical protein ; unknown protein	slr1798	595.5745528237726	1.025000330913834	0.1336921126455308	7.666872118563225	1.7624133588944056e-14	2.5519745436790996e-12
TU1693	Chr	ssr2194	unknown protein	sll1236	562.0635654301523	1.4914594606907075	0.19512025659721272	7.6437961219451	2.10909274991416e-14	2.936506059495869e-12
TU7063	pSYSA	NA	NA	NA	83.12546915978689	1.8656984412712918	0.2584154640463688	7.219763136684886	5.207820405975221e-13	6.982336988751964e-11
TU7086	pSYSA	NA	NA	NA	488.57970265969266	1.6379152719831485	0.22703572934043684	7.21435025553673	5.419210466437844e-13	7.006264960180356e-11
TU7028	pSYSA	NA	NA	NA	42.481163805446414	2.0236763054927733	0.2975290303971844	6.801609586773028	1.034566553375178e-11	1.291424456282119e-9
TU951	Chr	sll1732; sll1733; sll1734	NADH dehydrogenase subunit 5 (involved in low CO2- inducible; high affinity CO2 uptake) ; NADH dehydrogenase subunit 4 (involved in low CO2- inducible; high affinity CO2 uptake) ; protein involved in low CO2-inducible; high affini ty CO2 uptake	NA	8326.329327098316	0.8605413376520611	0.12711369560225283	6.769855392645903	1.289111777567556e-11	1.5555282115981843e-9
TU7096	pSYSA	NA	NA	sll7103	109.50179639559327	1.3441940822690928	0.205986555216642	6.525639893610363	6.7711825177236e-11	7.906993778761108e-9
TU7083	pSYSA	NA	NA	slr7091; slr7092	45.32394769493948	1.781231307452592	0.2731940580440112	6.520022141790647	7.029701367700072e-11	7.952349672210706e-9
TU624	Chr	slr1920	unknown protein	sll0998	309.20271176979384	1.116166946035253	0.1714026395290993	6.511958912078245	7.417701192608353e-11	8.136993429467345e-9
TU7057	pSYSA	NA	NA	NA	256.20831074002314	0.9405662581673163	0.14713152090854406	6.392690379051854	1.629920954116942e-10	1.7353864276186263e-8
TU7012	pSYSA	NA	NA	slr7023; slr7024; slr7025; slr7026	628.2928010781495	0.8235842169943379	0.1308604357723435	6.29360747680161	3.101715717593961e-10	3.2080602564828966e-8
TU7061	pSYSA	NA	NA	sll7067; sll7066; sll7065; sll7064; sll7063; sll7062	54.49047260198208	1.594954582031577	0.2538846051365803	6.28220281877096	3.3380895806466116e-10	3.356634522761315e-8
TU2414	Chr	slr0179; slr0180	hypothetical protein ; putative transposase [ISY203_f]	NA	182.58445982675246	1.544420215973292	0.2510283929774882	6.152372636635542	7.633226665773697e-10	7.468183927054266e-8
TU7041	pSYSA	NA	NA	NA	1179.077721550951	0.8745016775245035	0.14580547567725757	5.997728641276991	2.0009652178591695e-9	1.9061826549079456e-7
TU2942	Chr	slr0922	peptidyl-tRNA hydrolase	NA	297.27984466567005	-0.7881762353418016	0.13200465484645052	-5.97082153094236	2.360618616522498e-9	2.1911383055926778e-7
TU5117	pSYSM	slr5111; slr5112	slr5111; slr5112	NA	637.7323579514537	0.7983625989988261	0.134190310345873	5.949480234012884	2.6899532265871536e-9	2.434407670061374e-7
TU2746	Chr	ncr1350; slr0473; slr0474	ncRNA; cyanobacterial phytochrome 1; two-component sensor histidine kinase ; two-component response regulator CheY subfamily; r egulator for phytochrome 1 (Cph1)	ncl1300	1516.765651279739	0.7259417846035205	0.12368101327020316	5.869468283038494	4.37194977043465e-9	3.860111748530106e-7
