CDS	TUs	rowname	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
slr0476	TU2753	BA000022.2-2613286-plus	129.36860615845598	-2.8117842511284787	0.2568512418820143	-10.947131228666917	6.858546746814537e-28	2.3661986276510154e-24
slr0476	TU2753	BA000022.2-2613294-plus	105.67640365259462	-2.69621894483731	0.28039428501271224	-9.615812764211908	6.856568531051534e-22	1.1827580716063895e-18
ncr0700	TU1715	BA000022.2-1679074-plus	63.87344300004323	5.184935925735926	0.5842036364143176	8.875220218688893	6.97951745936981e-19	8.026445078275281e-16
sll0517	TU3343	BA000022.2-3181793-minus	45.164913283294695	-3.45196599589197	0.47125283026356257	-7.325082788280237	2.387512773176772e-13	2.0592297668649661e-10
slr2076	TU924	BA000022.2-917184-plus	121.55324387580355	2.17589617273117	0.31791813100974137	6.844202832409386	7.690289592459624e-12	5.30629981879714e-9
slr0476	TU2753	BA000022.2-2613279-plus	47.07124766729073	-2.522520824634499	0.3768001927313287	-6.694584751534726	2.162849078854969e-11	1.2436382203416071e-8
ncr0700	TU1715	BA000022.2-1679085-plus	19.380990308990125	5.432770770857765	0.8164186456427155	6.654393306489078	2.844710259454037e-11	1.4020357707309182e-8
slr0147	TU2264	BA000022.2-2179023-plus	39.316157965646426	2.2579337831231543	0.3416026672929249	6.6098248032325	3.8477511546258454e-11	1.6593426854323957e-8
sll0851	TU1386	BA000022.2-1347671-minus	37.84618666140426	-3.749148138053075	0.5716286396126452	-6.558712909474977	5.4274175841798836e-11	1.87245906654206e-8
sll0517	TU3343	BA000022.2-3181792-minus	66.9131421542087	-2.684861116404868	0.40915292500348865	-6.56199907744024	5.309114441167691e-11	1.87245906654206e-8
slr1513	TU1642	BA000022.2-1602060-plus	17.181061648895174	-3.8181377754787045	0.5838216187179315	-6.539904746698675	6.155802743059167e-11	1.9306835875958294e-8
sml0001	TU2443	BA000022.2-2350220-minus	29.53057078978268	-2.9132615822215517	0.45159590119148546	-6.451036367990134	1.1108783530896417e-10	3.19377526513272e-8
ncr0700	TU1715	BA000022.2-1679033-plus	19.08772106758586	4.0959670554460565	0.6401270286044785	6.398678500383823	1.5672744926031592e-10	4.1593053842160755e-8
sll1789	TU865	BA000022.2-853514-minus	797.588629069431	-1.7130516718663669	0.26912161449106503	-6.365344066123834	1.9485244396197623e-10	4.801720940491557e-8
sll1514	TU445	BA000022.2-460271-minus	28.13510442729043	5.948429510114366	0.9518441729921375	6.249373247109746	4.1210302405878637e-10	9.478369553352087e-8
	TU445	BA000022.2-460247-minus	21.53333137660402	4.538084319620436	0.7339031506899903	6.183492079784488	6.269888088994489e-10	1.3519446191894368e-7
ncr0700	TU1715	BA000022.2-1679045-plus	28.656901973844434	3.3054885409932058	0.5358160372812306	6.169073545774206	6.86912743646873e-10	1.39402880328336e-7
	TU445	BA000022.2-460231-minus	34.50584812808811	4.078427654780541	0.6659472773155798	6.124250062588441	9.111170965842915e-10	1.7463077684532253e-7
	TU445	BA000022.2-460242-minus	29.284538707509903	4.847430768118729	0.7996006758314365	6.062314496018027	1.3417652182768546e-9	2.4363631595027097e-7
