locus_tag	gene_name	gene_product	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ssr2227	ssr2227	putative transposase	403.91309518140093	4.09662585746038	0.1576484599463674	25.985828588836632	7.16148229026117e-149	3.945976741933905e-145
sll0529	sll0529	hypothetical protein	2331.6840401941545	-2.4897795789129504	0.10349506979254379	-24.056987293247126	7.054288685682026e-128	1.9434565329053983e-124
Norf1	Norf1	hypothetical protein	5550.499430906261	3.610040924967906	0.15755254471395774	22.913250506502855	3.4278867567404473e-116	6.295885343213288e-113
sll1732	ndhF3	NADH dehydrogenase subunit 5 (involved in low C O2-inducible;  high affinity CO2 uptake)	3591.9957724999335	-3.6927200221618772	0.1669769869505782	-22.115143467374025	2.259890795159834e-108	3.112999570332671e-105
Norf1_5'UTR	Norf1	5'UTR of hypothetical protein	6098.014043211688	3.7562853704168773	0.19251458839337085	19.511692084038568	8.734266890542337e-85	9.625162113377655e-82
slr2006	slr2006	hypothetical protein	333.5212813849809	-4.17936014777641	0.2153543356770583	-19.406900421283865	6.747675261887248e-84	6.196615115499789e-81
sll1594	ndhR	ndhF3 operon transcriptional regulator;  LysR fa mily protein	477.44488146188945	-4.085299308200921	0.21347388769483897	-19.13723196928356	1.236679044382322e-81	9.73443076363799e-79
sll0846	sll0846	hypothetical protein	503.14206387190694	2.635297693195193	0.1581297037213561	16.665418521487336	2.3384601301144618e-62	1.6106144146163355e-59
sll1029	ccmK1	carbon dioxide concentrating mechanism protein CcmK	1413.5208276430908	-1.9035944868463837	0.12192846148400394	-15.61238831096151	5.9950149684367324e-55	3.670281386231821e-52
slr0009	rbcL	ribulose bisphosphate carboxylase large subunit	6777.917026593197	-1.538043761849788	0.09915385550907375	-15.511688919741893	2.891714260372938e-54	1.593334557465489e-51
sll0375-as	sll0375-as	asRNA	482.7156576639614	-2.5731621020307216	0.16692592219901423	-15.414994077210599	1.2978275070973658e-53	6.500935967369532e-51
sll0016	mltA	probable membrane-bound lytic transglycosylase A	1087.5863431276828	1.990396202879207	0.12979063658999784	15.33543755676898	4.432757527983169e-53	2.0353744982656054e-50
slr2076	groEL1	60kD chaperonin	18182.30107618476	2.5739628418625604	0.16931407171312282	15.202297220893444	3.414344158868497e-52	1.447156639643494e-49
slr2007	ndhD5	NADH dehydrogenase subunit 4	832.2473955944965	-2.977199502633206	0.1961565101197592	-15.177673689318492	4.971013761600087e-52	1.9564489876011772e-49
slr0533	hik10	two-component sensor histidine kinase	271.5647997738196	2.3095971210326116	0.15377291905922946	15.019530975691584	5.469333691752716e-51	2.009068576103831e-48
sll1514	hspA	16.6 kDa small heat shock protein;  molecular ch aperone	17431.44551382786	5.76477158486897	0.3844995917308179	14.992919911615395	8.168181885135199e-51	2.8129176366934345e-48
sll1662	pheA	probable prephenate dehydratase	2544.023478469052	2.9988024326020053	0.20515644437826622	14.617149569393158	2.1835240450865202e-48	7.077186757898074e-46
ssl2084	acpP	acyl carrier protein	540.7554482355414	-2.172100936490316	0.14867532609019823	-14.609693441483003	2.4361165666933505e-48	7.457223490266867e-46
slr1147	hik2	two-component sensor histidine kinase	737.3510862677841	1.9585754644648432	0.13436821838884142	14.576180944790236	3.9817697043122643e-48	1.1547132142505567e-45
slr1350	desA	acyl-lipid desaturase (delta 12)	718.8639254115951	-1.7105784570517093	0.11822353038450738	-14.469018574291132	1.9016618479029823e-47	5.239078390972716e-45
slr1288	slr1288	hypothetical protein	756.1138363621741	2.065216474261867	0.14781033785278339	13.972070588992144	2.3081714448347703e-44	6.05620221954266e-42
slr0321	era	GTP-binding protein ERA homolog	130.73569272839572	2.3648976563471895	0.16958102988415516	13.94553186734806	3.3494178517780354e-44	8.38876925604408e-42
slr0653	sigA; rpoDI	principal RNA polymerase sigma factor SigA	838.05819703427	-2.0283774194453925	0.14568987248092613	-13.922569804644107	4.619897232890556e-44	1.1067666849229113e-41
sll0262	desD	acyl-lipid desaturase (delta 6)	459.2530657674692	-1.9719758133829643	0.14217322058570658	-13.870233826448308	9.596345687535478e-44	2.2031610307633536e-41
slr5053	slr5053	hypothetical protein	1467.3520263331131	-2.803547533780636	0.20279955102806194	-13.824229489505633	1.820513280434695e-43	4.012411270078068e-41
slr0591	slr0591	ribonucleoside-diphosphate reductase beta chain	615.1353128908688	-1.8113271259986223	0.13191622903146163	-13.730889211263204	6.631459831222243e-43	1.4053593719244062e-40
slr1281	ndhJ	NADH dehydrogenase subunit I	880.2726661005397	-1.6240479403692578	0.1185021661296627	-13.704795392450945	9.503482772610971e-43	1.939414447299498e-40
slr2075	groES	10kD chaperonin	3342.899219337216	2.33598351807956	0.17386855185584735	13.435342349985753	3.7532851883843494e-41	7.385929067142059e-39
slr2075_5'UTR	groES	5'UTR of 10kD chaperonin	3882.884019766283	2.935084288311556	0.2185826932651905	13.42779816858891	4.1558514272009195e-41	7.896117711681747e-39
slr0557	valS	valyl-tRNA synthetase	774.108773845381	-1.3708197235377768	0.1023645526028656	-13.391547060787936	6.775457578523066e-41	1.2444257085887365e-38
ncl0690	ncl0690	ncl0690	174.79180656489865	-4.883374650778917	0.36513072032545696	-13.374318782123158	8.54328115273779e-41	1.5184993274704911e-38
sll0927	metX	S-adenosylmethionine synthetase	796.8989372971682	-1.5906822927751387	0.11907760886358006	-13.358366093809343	1.0586236715564788e-40	1.822817634461312e-38
sll0461	proA	gamma-glutamyl phosphate reductase	1297.3319116226032	1.5446392696217404	0.11643141963005048	13.26651581273922	3.620256711615635e-40	6.044731660909742e-38
sll1694	pilA1	pilin polypeptide PilA1	982.3527124128685	-1.9162413568167358	0.14453192968959924	-13.25825622706421	4.041850559265834e-40	6.55017546516316e-38
sll1030	ccmL	carbon dioxide concentrating mechanism protein CcmL;  putative carboxysome assembly protein	1151.918476711499	-1.7245437354355173	0.1334366166436575	-12.924066712819252	3.292677113001515e-38	5.1836145407538134e-36
sll1109	sll1109	hypothetical protein	170.03890895719	-2.4333440153188555	0.18840217305283344	-12.91568974969559	3.671392881506378e-38	5.619270771416706e-36
sll0521	ndhG	NADH dehydrogenase subunit 6	1251.4268697065802	-1.7335410245993996	0.1343229981262571	-12.90576482643691	4.1764803712058094e-38	6.219569417660543e-36
