location	TU ID	Sense tags	Annotation	Antisense tags
Chr	TU1	NA	NA	slr0611-2
Chr	TU2	slr0612	probable pseudouridine synthase	NA
Chr	TU3	NA	NA	slr0612
Chr	TU4	slr0613	hypothetical protein	sll0558
Chr	TU6	NA	NA	sll0558
Chr	TU5	sll0558	hypothetical protein YCF53	slr0613
Chr	TU7	NA	NA	NA
Chr	TU8	sll1214	magnesium-protoporphyrin IX monomethyl ester cyclase	NA
Chr	TU9	sll1212; sll1213	GDP-mannose 4;6-dehydratase ; GDP-fucose synthetase	NA
Chr	TU10	NA	NA	NA
Chr	TU11	NA	NA	NA
Chr	TU13	slr1311	photosystem II D1 protein	NA
Chr	TU12	NA	NA	slr1311
Chr	TU14	slr1312	arginine decarboxylase	sll1209
Chr	TU15	sll1209	DNA ligase 	NA
Chr	TU17	slr1315	hypothetical protein	NA
Chr	TU16	NA	NA	slr1315
Chr	TU18	NA	NA	slr1315
Chr	TU19	slr1316	iron(III) dicitrate ABC transporter permease	NA
Chr	TU20	NA	NA	slr1316
Chr	TU21	slr1317	ABC-type iron(III) dicitrate transport system perm ease protein 	NA
Chr	TU22	NA	NA	slr1317
Chr	TU23	slr1318; slr1319	iron(III) dicitrate transport system ATP-binding p rotein ; iron(III) dicitrate transport system substrate-bin ding protein	sll1206
Chr	TU25	NA	NA	sll1206
Chr	TU24	sll1206	ferric aerobactin receptor	slr1318; slr1319
Chr	TU26	NA	NA	sll1205
Chr	TU27	NA	NA	sll1205
Chr	TU28	NA	NA	sll1409
Chr	TU29	NA	NA	NA
Chr	TU30	NA	NA	sll1409
Chr	TU31	sll1409	ferrichrome-iron receptor	NA
Chr	TU33	NA	NA	sll1404; sll1405; sll1406; sll1407; sll1408
Chr	TU34	NA	NA	sll1404; sll1405; sll1406; sll1407; sll1408
Chr	TU35	NA	NA	sll1404; sll1405; sll1406; sll1407; sll1408
Chr	TU32	sll1404; sll1405; sll1406; sll1407; sll1408	biopolymer transport ExbB protein homolog ; biopolymer transport ExbD protein homolog ; ferrichrome-iron receptor ; probable methyltransferase ; transcriptional regulator	NA
Chr	TU37	slr1484; slr1485; slr1488	unknown protein ; putative phosphatidylinositol phosphate kinase; sa lt-induced periplasmic protein ; multidrug resistance family ABC transporter	NA
Chr	TU36	IsaR2	NA	NA
Chr	TU38	NA	NA	slr1488
Chr	TU39	slr1489; slr1490	transcriptional regulator ; ferrichrome-iron receptor	NA
Chr	TU40	NA	NA	slr1489; slr1490
Chr	TU41	NA	NA	slr1489; slr1490
Chr	TU42	slr1490	ferrichrome-iron receptor 	NA
Chr	TU43	NA	NA	slr1491
Chr	TU44	NA	NA	slr1491
Chr	TU45	NA	NA	slr1494
Chr	TU47	NA	NA	sll1398; sll1399; ssl2733; sll1400; sll1401
Chr	TU48	NA	NA	sll1398; sll1399; ssl2733; sll1400; sll1401
Chr	TU49	slr1495; slr1496	hypothetical protein ; putative transposase	sll1394; sll1395; sll1396; sll1397; sll1398; sll1399; ssl2733; sll1400; sll1401
Chr	TU46	sll1398; sll1399; ssl2733; sll1400; sll1401	photosystem II reaction center 13 kDa protein ; hypothetical protein ; hypothetical protein ; hypothetical protein ; unknown protein	slr1495; slr1496
Chr	TU51	slr1498	hydrogenase isoenzyme formation protein HypD	sll1394; sll1395; sll1396; sll1397
Chr	TU50	sll1394; sll1395; sll1396; sll1397	peptide methionine sulfoxide reductase ; dTDP-6-deoxy-L-mannose-dehydrogenase ; unknown protein ; putative transposase [ISY100_a]	slr1495; slr1496; slr1498
Chr	TU52	sll1393	glycogen synthase	NA
Chr	TU53	NA	NA	NA
Chr	TU55	slr1501	probable acetyltransferase	NA
Chr	TU54	sll1392	transcriptional regulator	NA
Chr	TU56	slr1501	probable acetyltransferase 	NA
Chr	TU57	slr1113; slr1114; slr1115; slr1116; slr1117	ATP-binding protein of ABC transporter ; hypothetical protein ; probable methyltransferase ; hypothetical protein ; hypothetical protein	sll1064
Chr	TU58	NA	NA	slr1113; slr1114; slr1115; slr1116; slr1117
Chr	TU59	NA	NA	slr1113; slr1114; slr1115; slr1116; slr1117
Chr	TU60	NA	NA	sll1064
Chr	TU61	slr1118	UDP-N-acetyl-D-mannosaminuronic acid transferase	NA
Chr	TU62	NA	NA	slr1118
Chr	TU63	sll1063	hypothetical protein	NA
Chr	TU64	NA	NA	NA
Chr	TU65	slr1119	hypothetical protein	sll1061; sll1062
Chr	TU66	NA	NA	slr1119
Chr	TU68	NA	NA	sll1061; sll1062
Chr	TU67	sll1061; sll1062	unknown protein ; unknown protein	slr1119
Chr	TU69	ssl2069; sll1060	hypothetical protein ; hypothetical protein	NA
Chr	TU70	ssr1853	unknown protein	NA
Chr	TU71	slr1120	type 4 prepilin peptidase	NA
Chr	TU72	sll1058; sll1059	dihydrodipicolinate reductase ; adenylate kinase	NA
Chr	TU73	sll1057	thioredoxin	NA
Chr	TU74	ssl2064; ssl2065	hypothetical protein ; unknown protein	NA
Chr	TU76	NA	NA	sll1056
Chr	TU75	sll1056	phosphoribosylformylglycinamidine synthase II	NA
Chr	TU77	slr1122	hypothetical protein	sll1053; sll1054
Chr	TU78	sll1053; sll1054	hypothetical protein ; hypothetical protein	slr1122
Chr	TU79	PsiR2	NA	NA
Chr	TU80	slr1124; slr1125	phosphoglycerate mutase ; probable glucosyl transferase	NA
Chr	TU81	NA	NA	slr1124; slr1125
Chr	TU82	sll1051; sll1052	phycocyanin alpha-subunit phycocyanobilin lyase ; hypothetical protein	NA
Chr	TU83	sll1049	hypothetical protein	NA
Chr	TU84	slr1127; slr1128	unknown protein ; hypothetical protein	NA
Chr	TU85	NA	NA	slr1127; slr1128
Chr	TU86	NA	NA	slr1127; slr1128
Chr	TU87	ncr0020; slr1129; slr1130	ncRNA; ribonuclease E ; ribonuclease HII	ncl0020
Chr	TU88	ncl0020	NA	ncr0020; slr1129; slr1130
Chr	TU89	NA	NA	ncr0020; slr1129; slr1130
Chr	TU91	NA	NA	sll1043
Chr	TU92	NA	NA	sll1043
Chr	TU90	sll1043	polynucleotide phosphorylase	NA
Chr	TU94	NA	NA	sll0716
Chr	TU93	sll0716	leader peptidase I	NA
Chr	TU95	slr0721	malic enzyme	sll0712
Chr	TU96	sll0712	cysteine synthase A	slr0721
Chr	TU98	NA	NA	sll0709; sll0710; sll0711
Chr	TU97	sll0709; sll0710; sll0711	putative endonuclease ; unknown protein ; isopentenyl monophosphate kinase	NA
Chr	TU99	SyR8	NA	ncr0030
Chr	TU101	NA	NA	sll0708
Chr	TU100	sll0708	dimethyladenosine transferase	smr0012; ncr0040
Chr	TU102	slr0722	hypothetical protein	NA
Chr	TU103	slr0723	hypothetical protein	NA
Chr	TU104	slr0724; slr0725; slr0727	HtaR suppressor protein homolog ; hypothetical protein ; unknown protein	NA
Chr	TU105	ncr0050; slr0728	ncRNA; hypothetical protein	NA
Chr	TU106	NA	NA	ncr0050; slr0728
Chr	TU107	slr0729; slr0730; slr0731	hypothetical protein ; hypothetical protein ; hypothetical protein	sll0704
Chr	TU108	sll0704	NifS protein	slr0729; slr0730; slr0731
Chr	TU109	slr0732	hypothetical protein	NA
Chr	TU110	ncr0060; slr0733	ncRNA; integrase-recombinase protein	NA
Chr	TU111	slr0734	hypothetical protein	sll0698; sll0699; sll0700
Chr	TU112	sll0698; sll0699; sll0700	drug sensory protein A; low temperature sensor; tw o-component sensor histidine kinase ; putative transposase [ISY100_i] ; putative transposase [ISY100_i]	slr0734
Chr	TU113	slr0737; slr0738	photosystem I subunit II ; anthranilate synthetase alpha-subunit	NA
Chr	TU114	slr0739	geranylgeranyl pyrophosphate synthase	NA
Chr	TU116	slr0740	hypothetical protein	NA
Chr	TU115	NA	NA	slr0739; slr0740
Chr	TU117	NA	NA	slr0740
Chr	TU118	slr0741	pho regulon negative regulator	sll0696
